,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
149749,0,ARG1,2000-07-30,Boca Juniors,Argentinos Juniors,4,0,4,W
149750,0,ARG1,2000-07-30,Chacarita Juniors,Union de Santa Fe,0,0,0,D
149751,0,ARG1,2000-07-30,CA Colon,Huracan,1,1,0,D
149752,0,ARG1,2000-07-30,Estudiantes,River Plate,1,1,0,D
149753,0,ARG1,2000-07-30,Independiente,Belgrano Cordoba,0,0,0,D
149754,0,ARG1,2000-07-30,Los Andes,Newells Old Boys,1,1,0,D
149755,0,ARG1,2000-07-30,Rosario Central,Club Almagro,1,1,0,D
149756,0,ARG1,2000-07-30,San Lorenzo,GyE La Plata,3,0,3,W
149757,0,ARG1,2000-07-30,Talleres Cordoba,Racing Club,3,0,3,W
149758,0,ARG1,2000-07-30,Velez Sarsfield,CA Lanus,1,0,1,W
149759,0,ARG1,2000-08-06,Club Almagro,Independiente,1,1,0,D
149760,0,ARG1,2000-08-06,Argentinos Juniors,Estudiantes,1,1,0,D
149761,0,ARG1,2000-08-06,Belgrano Cordoba,Talleres Cordoba,1,1,0,D
149762,0,ARG1,2000-08-06,GyE La Plata,Chacarita Juniors,2,0,2,W
149763,0,ARG1,2000-08-06,Huracan,Rosario Central,3,1,2,W
149764,0,ARG1,2000-08-06,CA Lanus,CA Colon,0,2,-2,L
149765,0,ARG1,2000-08-06,Newells Old Boys,San Lorenzo,1,0,1,W
149766,0,ARG1,2000-08-06,Racing Club,Los Andes,1,2,-1,L
149767,0,ARG1,2000-08-06,River Plate,Velez Sarsfield,2,1,1,W
149768,0,ARG1,2000-08-06,Union de Santa Fe,Boca Juniors,1,2,-1,L
149769,0,ARG1,2000-08-20,Argentinos Juniors,Union de Santa Fe,4,0,4,W
149770,0,ARG1,2000-08-20,Boca Juniors,GyE La Plata,3,3,0,D
149771,0,ARG1,2000-08-20,Chacarita Juniors,Newells Old Boys,0,2,-2,L
149772,0,ARG1,2000-08-20,CA Colon,River Plate,1,2,-1,L
149773,0,ARG1,2000-08-20,Estudiantes,Velez Sarsfield,0,0,0,D
149774,0,ARG1,2000-08-20,Independiente,Huracan,0,2,-2,L
149775,0,ARG1,2000-08-20,Los Andes,Belgrano Cordoba,2,2,0,D
149776,0,ARG1,2000-08-20,Rosario Central,CA Lanus,1,1,0,D
149777,0,ARG1,2000-08-20,San Lorenzo,Racing Club,3,1,2,W
149778,0,ARG1,2000-08-20,Talleres Cordoba,Club Almagro,1,0,1,W
149779,0,ARG1,2000-08-27,Club Almagro,Los Andes,2,2,0,D
149780,0,ARG1,2000-08-27,Belgrano Cordoba,San Lorenzo,0,1,-1,L
149781,0,ARG1,2000-08-27,GyE La Plata,Argentinos Juniors,1,1,0,D
149782,0,ARG1,2000-08-27,Huracan,Talleres Cordoba,1,1,0,D
149783,0,ARG1,2000-08-27,CA Lanus,Independiente,2,1,1,W
149784,0,ARG1,2000-08-27,Newells Old Boys,Boca Juniors,1,3,-2,L
149785,0,ARG1,2000-08-27,Racing Club,Chacarita Juniors,0,0,0,D
149786,0,ARG1,2000-08-27,River Plate,Rosario Central,4,1,3,W
149787,0,ARG1,2000-08-27,Union de Santa Fe,Estudiantes,0,1,-1,L
149788,0,ARG1,2000-08-27,Velez Sarsfield,CA Colon,1,1,0,D
149789,0,ARG1,2000-09-06,Argentinos Juniors,Newells Old Boys,0,1,-1,L
149790,0,ARG1,2000-09-06,Boca Juniors,Racing Club,1,1,0,D
149791,0,ARG1,2000-09-06,Chacarita Juniors,Belgrano Cordoba,2,2,0,D
149792,0,ARG1,2000-09-06,Estudiantes,CA Colon,2,0,2,W
149793,0,ARG1,2000-09-06,Independiente,River Plate,0,1,-1,L
149794,0,ARG1,2000-09-06,Los Andes,Huracan,1,0,1,W
149795,0,ARG1,2000-09-06,Rosario Central,Velez Sarsfield,2,2,0,D
149796,0,ARG1,2000-09-06,San Lorenzo,Club Almagro,2,0,2,W
149797,0,ARG1,2000-09-06,Talleres Cordoba,CA Lanus,3,0,3,W
149798,0,ARG1,2000-09-06,Union de Santa Fe,GyE La Plata,0,2,-2,L
149799,0,ARG1,2000-09-10,Club Almagro,Chacarita Juniors,0,1,-1,L
149800,0,ARG1,2000-09-10,Belgrano Cordoba,Boca Juniors,1,3,-2,L
149801,0,ARG1,2000-09-10,CA Colon,Rosario Central,1,0,1,W
149802,0,ARG1,2000-09-10,GyE La Plata,Estudiantes,3,2,1,W
149803,0,ARG1,2000-09-10,Huracan,San Lorenzo,2,1,1,W
149804,0,ARG1,2000-09-10,CA Lanus,Los Andes,6,0,6,W
149805,0,ARG1,2000-09-10,Newells Old Boys,Union de Santa Fe,0,0,0,D
149806,0,ARG1,2000-09-10,Racing Club,Argentinos Juniors,0,0,0,D
149807,0,ARG1,2000-09-10,River Plate,Talleres Cordoba,4,1,3,W
149808,0,ARG1,2000-09-10,Velez Sarsfield,Independiente,1,1,0,D
149809,0,ARG1,2000-09-17,Argentinos Juniors,Belgrano Cordoba,1,1,0,D
149810,0,ARG1,2000-09-17,Boca Juniors,Club Almagro,2,0,2,W
149811,0,ARG1,2000-09-17,Chacarita Juniors,Huracan,1,2,-1,L
149812,0,ARG1,2000-09-17,GyE La Plata,Newells Old Boys,4,3,1,W
149813,0,ARG1,2000-09-17,Independiente,CA Colon,2,1,1,W
149814,0,ARG1,2000-09-17,Los Andes,River Plate,0,4,-4,L
149815,0,ARG1,2000-09-17,Rosario Central,Estudiantes,2,3,-1,L
149816,0,ARG1,2000-09-17,San Lorenzo,CA Lanus,4,2,2,W
149817,0,ARG1,2000-09-17,Talleres Cordoba,Velez Sarsfield,1,0,1,W
149818,0,ARG1,2000-09-17,Union de Santa Fe,Racing Club,2,0,2,W
149819,0,ARG1,2000-09-24,Club Almagro,Argentinos Juniors,0,0,0,D
149820,0,ARG1,2000-09-24,Belgrano Cordoba,Union de Santa Fe,1,1,0,D
149821,0,ARG1,2000-09-24,CA Colon,Talleres Cordoba,4,2,2,W
149822,0,ARG1,2000-09-24,Estudiantes,Newells Old Boys,0,0,0,D
149823,0,ARG1,2000-09-24,Huracan,Boca Juniors,0,1,-1,L
149824,0,ARG1,2000-09-24,CA Lanus,Chacarita Juniors,0,1,-1,L
149825,0,ARG1,2000-09-24,Racing Club,GyE La Plata,0,2,-2,L
149826,0,ARG1,2000-09-24,River Plate,San Lorenzo,2,2,0,D
149827,0,ARG1,2000-09-24,Rosario Central,Independiente,1,1,0,D
149828,0,ARG1,2000-09-24,Velez Sarsfield,Los Andes,3,1,2,W
149829,0,ARG1,2000-10-01,Argentinos Juniors,Huracan,1,1,0,D
149830,0,ARG1,2000-10-01,Boca Juniors,CA Lanus,3,2,1,W
149831,0,ARG1,2000-10-01,Chacarita Juniors,River Plate,1,0,1,W
149832,0,ARG1,2000-10-01,GyE La Plata,Belgrano Cordoba,2,2,0,D
149833,0,ARG1,2000-10-01,Independiente,Estudiantes,0,1,-1,L
149834,0,ARG1,2000-10-01,Los Andes,CA Colon,0,1,-1,L
149835,0,ARG1,2000-10-01,Newells Old Boys,Racing Club,1,1,0,D
149836,0,ARG1,2000-10-01,San Lorenzo,Velez Sarsfield,0,1,-1,L
149837,0,ARG1,2000-10-01,Talleres Cordoba,Rosario Central,2,0,2,W
149838,0,ARG1,2000-10-01,Union de Santa Fe,Club Almagro,3,0,3,W
149839,0,ARG1,2000-10-15,Club Almagro,GyE La Plata,0,1,-1,L
149840,0,ARG1,2000-10-15,Belgrano Cordoba,Newells Old Boys,5,1,4,W
149841,0,ARG1,2000-10-15,CA Colon,San Lorenzo,3,2,1,W
149842,0,ARG1,2000-10-15,Estudiantes,Racing Club,1,1,0,D
149843,0,ARG1,2000-10-15,Huracan,Union de Santa Fe,0,1,-1,L
149844,0,ARG1,2000-10-15,Independiente,Talleres Cordoba,1,2,-1,L
149845,0,ARG1,2000-10-15,CA Lanus,Argentinos Juniors,1,1,0,D
149846,0,ARG1,2000-10-15,River Plate,Boca Juniors,1,1,0,D
149847,0,ARG1,2000-10-15,Rosario Central,Los Andes,6,2,4,W
149848,0,ARG1,2000-10-15,Velez Sarsfield,Chacarita Juniors,1,0,1,W
149849,0,ARG1,2000-10-22,Argentinos Juniors,River Plate,2,2,0,D
149850,0,ARG1,2000-10-22,Boca Juniors,Velez Sarsfield,3,1,2,W
