,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
167268,0,AUS1,2000-10-13,Parramatta Power,Marconi-Fairfield Stallions,0,2,-2,L
167269,0,AUS1,2000-10-13,Adelaide City Force,South Melbourne Lakers,1,3,-2,L
167270,0,AUS1,2000-10-14,Wollongong City Wolves,Perth Glory,1,1,0,D
167271,0,AUS1,2000-10-14,Brisbane Strikers,Melbourne Knights,1,2,-1,L
167272,0,AUS1,2000-10-14,Eastern Pride,Newcastle United Jets,1,1,0,D
167273,0,AUS1,2000-10-15,Sydney United Pumas,Northern Spirit,2,1,1,W
167274,0,AUS1,2000-10-15,Sydney Olympic,Auckland Football Kingz,2,0,2,W
167275,0,AUS1,2000-10-20,Auckland Football Kingz,Eastern Pride,2,1,1,W
167276,0,AUS1,2000-10-20,Northern Spirit,Sydney Olympic,0,0,0,D
167277,0,AUS1,2000-10-20,Newcastle United Jets,Brisbane Strikers,0,2,-2,L
167278,0,AUS1,2000-10-20,Adelaide City Force,Sydney United Pumas,0,2,-2,L
167279,0,AUS1,2000-10-21,Marconi-Fairfield Stallions,Canberra Cosmos,1,0,1,W
167280,0,AUS1,2000-10-21,Perth Glory,South Melbourne Lakers,1,0,1,W
167281,0,AUS1,2000-10-22,Melbourne Knights,Parramatta Power,2,1,1,W
167282,0,AUS1,2000-10-27,Auckland Football Kingz,Newcastle United Jets,5,1,4,W
167283,0,AUS1,2000-10-27,Parramatta Power,Brisbane Strikers,3,1,2,W
167284,0,AUS1,2000-10-28,Canberra Cosmos,Melbourne Knights,3,0,3,W
167285,0,AUS1,2000-10-28,Wollongong City Wolves,Marconi-Fairfield Stallions,1,0,1,W
167286,0,AUS1,2000-10-28,Eastern Pride,Northern Spirit,0,2,-2,L
167287,0,AUS1,2000-10-29,Sydney United Pumas,Perth Glory,2,1,1,W
167288,0,AUS1,2000-10-29,Sydney Olympic,Adelaide City Force,3,0,3,W
167289,0,AUS1,2000-11-03,Northern Spirit,Auckland Football Kingz,4,2,2,W
167290,0,AUS1,2000-11-03,Newcastle United Jets,Parramatta Power,0,2,-2,L
167291,0,AUS1,2000-11-03,Adelaide City Force,Eastern Pride,4,3,1,W
167292,0,AUS1,2000-11-04,Brisbane Strikers,Canberra Cosmos,2,2,0,D
167293,0,AUS1,2000-11-04,Marconi-Fairfield Stallions,South Melbourne Lakers,1,1,0,D
167294,0,AUS1,2000-11-04,Perth Glory,Sydney Olympic,1,1,0,D
167295,0,AUS1,2000-11-05,Melbourne Knights,Wollongong City Wolves,1,2,-1,L
167296,0,AUS1,2000-11-10,Auckland Football Kingz,Adelaide City Force,0,1,-1,L
167297,0,AUS1,2000-11-10,Wollongong City Wolves,Brisbane Strikers,2,1,1,W
167298,0,AUS1,2000-11-11,Eastern Pride,Perth Glory,2,3,-1,L
167299,0,AUS1,2000-11-11,Northern Spirit,Newcastle United Jets,0,0,0,D
167300,0,AUS1,2000-11-11,Parramatta Power,Canberra Cosmos,2,3,-1,L
167301,0,AUS1,2000-11-12,Sydney United Pumas,Marconi-Fairfield Stallions,2,2,0,D
167302,0,AUS1,2000-11-12,South Melbourne Lakers,Melbourne Knights,4,1,3,W
167303,0,AUS1,2000-11-17,Newcastle United Jets,Canberra Cosmos,2,1,1,W
167304,0,AUS1,2000-11-17,Adelaide City Force,Northern Spirit,3,2,1,W
167305,0,AUS1,2000-11-18,Marconi-Fairfield Stallions,Sydney Olympic,2,3,-1,L
167306,0,AUS1,2000-11-18,Perth Glory,Auckland Football Kingz,5,1,4,W
167307,0,AUS1,2000-11-19,Parramatta Power,Wollongong City Wolves,0,2,-2,L
167308,0,AUS1,2000-11-19,South Melbourne Lakers,Brisbane Strikers,3,0,3,W
167309,0,AUS1,2000-11-19,Melbourne Knights,Sydney United Pumas,4,0,4,W
167310,0,AUS1,2000-11-24,Eastern Pride,Marconi-Fairfield Stallions,0,0,0,D
167311,0,AUS1,2000-11-24,Northern Spirit,Perth Glory,2,0,2,W
167312,0,AUS1,2000-11-24,Wollongong City Wolves,Canberra Cosmos,2,3,-1,L
167313,0,AUS1,2000-11-24,Adelaide City Force,Newcastle United Jets,1,1,0,D
167314,0,AUS1,2000-11-26,Sydney United Pumas,Brisbane Strikers,1,1,0,D
167315,0,AUS1,2000-11-26,South Melbourne Lakers,Parramatta Power,1,1,0,D
167316,0,AUS1,2000-11-26,Sydney Olympic,Melbourne Knights,1,0,1,W
167317,0,AUS1,2000-12-01,Parramatta Power,Sydney United Pumas,3,2,1,W
167318,0,AUS1,2000-12-01,Newcastle United Jets,Wollongong City Wolves,1,3,-2,L
167319,0,AUS1,2000-12-02,Canberra Cosmos,South Melbourne Lakers,1,3,-2,L
167320,0,AUS1,2000-12-02,Brisbane Strikers,Sydney Olympic,2,1,1,W
167321,0,AUS1,2000-12-02,Marconi-Fairfield Stallions,Auckland Football Kingz,3,1,2,W
167322,0,AUS1,2000-12-02,Perth Glory,Adelaide City Force,2,0,2,W
167323,0,AUS1,2000-12-03,Melbourne Knights,Eastern Pride,2,1,1,W
167324,0,AUS1,2000-12-08,Auckland Football Kingz,Melbourne Knights,2,2,0,D
167325,0,AUS1,2000-12-08,Northern Spirit,Marconi-Fairfield Stallions,0,0,0,D
167326,0,AUS1,2000-12-09,Eastern Pride,Brisbane Strikers,2,2,0,D
167327,0,AUS1,2000-12-10,South Melbourne Lakers,Wollongong City Wolves,4,2,2,W
167328,0,AUS1,2000-12-10,Sydney United Pumas,Canberra Cosmos,2,2,0,D
167329,0,AUS1,2000-12-10,Sydney Olympic,Parramatta Power,0,2,-2,L
167330,0,AUS1,2000-12-10,Perth Glory,Newcastle United Jets,4,0,4,W
167331,0,AUS1,2000-12-15,Newcastle United Jets,South Melbourne Lakers,0,0,0,D
167332,0,AUS1,2000-12-16,Canberra Cosmos,Sydney Olympic,2,3,-1,L
167333,0,AUS1,2000-12-16,Wollongong City Wolves,Sydney United Pumas,2,0,2,W
167334,0,AUS1,2000-12-16,Brisbane Strikers,Auckland Football Kingz,1,1,0,D
167335,0,AUS1,2000-12-16,Marconi-Fairfield Stallions,Adelaide City Force,0,2,-2,L
167336,0,AUS1,2000-12-16,Parramatta Power,Eastern Pride,2,0,2,W
167337,0,AUS1,2000-12-17,Melbourne Knights,Northern Spirit,1,1,0,D
167338,0,AUS1,2000-12-22,Auckland Football Kingz,Parramatta Power,0,1,-1,L
167339,0,AUS1,2000-12-22,Northern Spirit,Brisbane Strikers,1,0,1,W
167340,0,AUS1,2000-12-22,Adelaide City Force,Melbourne Knights,3,2,1,W
167341,0,AUS1,2000-12-23,Sydney United Pumas,South Melbourne Lakers,0,3,-3,L
167342,0,AUS1,2000-12-23,Sydney Olympic,Wollongong City Wolves,2,2,0,D
167343,0,AUS1,2000-12-23,Eastern Pride,Canberra Cosmos,3,1,2,W
167344,0,AUS1,2000-12-23,Perth Glory,Marconi-Fairfield Stallions,0,1,-1,L
167345,0,AUS1,2000-12-29,Parramatta Power,Northern Spirit,3,0,3,W
167346,0,AUS1,2000-12-29,Newcastle United Jets,Sydney United Pumas,1,1,0,D
167347,0,AUS1,2000-12-29,Wollongong City Wolves,Eastern Pride,4,2,2,W
167348,0,AUS1,2000-12-30,Melbourne Knights,Perth Glory,1,1,0,D
167349,0,AUS1,2000-12-30,Canberra Cosmos,Auckland Football Kingz,0,2,-2,L
167350,0,AUS1,2000-12-30,Brisbane Strikers,Adelaide City Force,6,2,4,W
167351,0,AUS1,2000-12-30,South Melbourne Lakers,Sydney Olympic,1,0,1,W
167352,0,AUS1,2001-01-05,Wollongong City Wolves,Auckland Football Kingz,1,1,0,D
167353,0,AUS1,2001-01-05,Adelaide City Force,Parramatta Power,3,0,3,W
167354,0,AUS1,2001-01-06,Eastern Pride,South Melbourne Lakers,0,0,0,D
167355,0,AUS1,2001-01-06,Marconi-Fairfield Stallions,Newcastle United Jets,2,2,0,D
167356,0,AUS1,2001-01-06,Northern Spirit,Canberra Cosmos,0,2,-2,L
167357,0,AUS1,2001-01-06,Perth Glory,Brisbane Strikers,7,2,5,W
167358,0,AUS1,2001-01-07,Sydney Olympic,Sydney United Pumas,3,1,2,W
