,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
179238,0,AUT1,2000-07-04,FC Innsbruck,Admira Wacker,6,1,5,W
179239,0,AUT1,2000-07-05,RB Salzburg,Rapid Wien,0,3,-3,L
179240,0,AUT1,2000-07-05,Austria Wien,Grazer AK,4,0,4,W
179241,0,AUT1,2000-07-05,SV Ried,Schwarz Weiss Bregenz,3,1,2,W
179242,0,AUT1,2000-07-05,Sturm Graz,LASK Linz,5,1,4,W
179243,0,AUT1,2000-07-11,Admira Wacker,Austria Wien,0,0,0,D
179244,0,AUT1,2000-07-12,Rapid Wien,Sturm Graz,4,1,3,W
179245,0,AUT1,2000-07-12,Schwarz Weiss Bregenz,FC Innsbruck,2,2,0,D
179246,0,AUT1,2000-07-12,Grazer AK,SV Ried,0,3,-3,L
179247,0,AUT1,2000-07-12,LASK Linz,RB Salzburg,0,2,-2,L
179248,0,AUT1,2000-07-15,Admira Wacker,Sturm Graz,0,1,-1,L
179249,0,AUT1,2000-07-18,Rapid Wien,LASK Linz,2,0,2,W
179250,0,AUT1,2000-07-19,Sturm Graz,Austria Wien,1,1,0,D
179251,0,AUT1,2000-07-19,RB Salzburg,Schwarz Weiss Bregenz,2,0,2,W
179252,0,AUT1,2000-07-19,SV Ried,Admira Wacker,3,2,1,W
179253,0,AUT1,2000-07-19,FC Innsbruck,Grazer AK,1,1,0,D
179254,0,AUT1,2000-07-25,LASK Linz,FC Innsbruck,0,2,-2,L
179255,0,AUT1,2000-07-26,Schwarz Weiss Bregenz,Rapid Wien,1,1,0,D
179256,0,AUT1,2000-07-29,RB Salzburg,Admira Wacker,3,1,2,W
179257,0,AUT1,2000-07-29,LASK Linz,Schwarz Weiss Bregenz,3,1,2,W
179258,0,AUT1,2000-07-29,Rapid Wien,Grazer AK,1,1,0,D
179259,0,AUT1,2000-07-29,Sturm Graz,SV Ried,4,2,2,W
179260,0,AUT1,2000-07-30,FC Innsbruck,Austria Wien,0,2,-2,L
179261,0,AUT1,2000-08-02,Admira Wacker,Rapid Wien,2,4,-2,L
179262,0,AUT1,2000-08-02,Grazer AK,LASK Linz,3,1,2,W
179263,0,AUT1,2000-08-02,SV Ried,FC Innsbruck,1,1,0,D
179264,0,AUT1,2000-08-05,Austria Wien,SV Ried,2,1,1,W
179265,0,AUT1,2000-08-05,Grazer AK,RB Salzburg,1,1,0,D
179266,0,AUT1,2000-08-12,Schwarz Weiss Bregenz,Grazer AK,2,1,1,W
179267,0,AUT1,2000-08-12,RB Salzburg,SV Ried,0,0,0,D
179268,0,AUT1,2000-08-12,Sturm Graz,FC Innsbruck,3,0,3,W
179269,0,AUT1,2000-08-12,LASK Linz,Admira Wacker,1,1,0,D
179270,0,AUT1,2000-08-13,Rapid Wien,Austria Wien,1,1,0,D
179271,0,AUT1,2000-08-19,Admira Wacker,Schwarz Weiss Bregenz,0,1,-1,L
179272,0,AUT1,2000-08-19,Austria Wien,LASK Linz,5,0,5,W
179273,0,AUT1,2000-08-19,Grazer AK,Sturm Graz,2,0,2,W
179274,0,AUT1,2000-08-19,FC Innsbruck,RB Salzburg,2,0,2,W
179275,0,AUT1,2000-08-20,SV Ried,Rapid Wien,2,3,-1,L
179276,0,AUT1,2000-08-26,RB Salzburg,Sturm Graz,1,0,1,W
179277,0,AUT1,2000-08-26,Grazer AK,Admira Wacker,5,1,4,W
179278,0,AUT1,2000-08-26,LASK Linz,SV Ried,1,1,0,D
179279,0,AUT1,2000-08-27,Rapid Wien,FC Innsbruck,2,1,1,W
179280,0,AUT1,2000-09-05,Sturm Graz,RB Salzburg,1,2,-1,L
179281,0,AUT1,2000-09-06,Admira Wacker,Grazer AK,0,4,-4,L
179282,0,AUT1,2000-09-06,Austria Wien,Schwarz Weiss Bregenz,2,1,1,W
179283,0,AUT1,2000-09-06,SV Ried,LASK Linz,1,0,1,W
179284,0,AUT1,2000-09-08,FC Innsbruck,Rapid Wien,1,0,1,W
179285,0,AUT1,2000-09-09,Austria Wien,RB Salzburg,3,1,2,W
179286,0,AUT1,2000-09-09,Schwarz Weiss Bregenz,Sturm Graz,2,1,1,W
179287,0,AUT1,2000-09-15,LASK Linz,Sturm Graz,2,1,1,W
179288,0,AUT1,2000-09-16,Schwarz Weiss Bregenz,SV Ried,0,0,0,D
179289,0,AUT1,2000-09-16,Rapid Wien,RB Salzburg,3,0,3,W
179290,0,AUT1,2000-09-17,Admira Wacker,FC Innsbruck,1,0,1,W
179291,0,AUT1,2000-09-17,Grazer AK,Austria Wien,1,0,1,W
179292,0,AUT1,2000-09-22,SV Ried,Grazer AK,2,3,-1,L
179293,0,AUT1,2000-09-23,Austria Wien,Admira Wacker,0,0,0,D
179294,0,AUT1,2000-09-23,RB Salzburg,LASK Linz,4,1,3,W
179295,0,AUT1,2000-09-23,FC Innsbruck,Schwarz Weiss Bregenz,2,0,2,W
179296,0,AUT1,2000-09-24,Sturm Graz,Rapid Wien,1,1,0,D
179297,0,AUT1,2000-09-29,Admira Wacker,SV Ried,0,5,-5,L
179298,0,AUT1,2000-09-30,Schwarz Weiss Bregenz,RB Salzburg,5,1,4,W
179299,0,AUT1,2000-10-01,LASK Linz,Rapid Wien,2,1,1,W
179300,0,AUT1,2000-10-01,Grazer AK,FC Innsbruck,0,2,-2,L
179301,0,AUT1,2000-10-01,Austria Wien,Sturm Graz,1,2,-1,L
179302,0,AUT1,2000-10-14,Rapid Wien,Schwarz Weiss Bregenz,2,1,1,W
179303,0,AUT1,2000-10-14,Sturm Graz,Admira Wacker,5,0,5,W
179304,0,AUT1,2000-10-14,FC Innsbruck,LASK Linz,3,0,3,W
179305,0,AUT1,2000-10-14,SV Ried,Austria Wien,1,3,-2,L
179306,0,AUT1,2000-10-15,RB Salzburg,Grazer AK,4,0,4,W
