,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
131439,0,BEL1,2000-08-12,Beveren,Charleroi,1,2,-1,L
131440,0,BEL1,2000-08-12,Mechelen,Genk,0,0,0,D
131441,0,BEL1,2000-08-12,Louvieroise,Lokeren,0,0,0,D
131442,0,BEL1,2000-08-12,Mouscron,Germinal,3,0,3,W
131443,0,BEL1,2000-08-12,Westerlo,Antwerp,2,1,1,W
131444,0,BEL1,2000-08-13,Aalst,Lierse,1,3,-2,L
131445,0,BEL1,2000-08-13,Club Brugge,Gent,6,2,4,W
131446,0,BEL1,2000-08-13,Harelbeke,Standard,3,4,-1,L
131447,0,BEL1,2000-08-13,St Truiden,Anderlecht,0,0,0,D
131448,0,BEL1,2000-08-19,Gent,Mechelen,2,1,1,W
131449,0,BEL1,2000-08-19,Anderlecht,Westerlo,3,2,1,W
131450,0,BEL1,2000-08-19,Antwerp,Beveren,0,1,-1,L
131451,0,BEL1,2000-08-19,Charleroi,Harelbeke,5,0,5,W
131452,0,BEL1,2000-08-19,Genk,Aalst,3,1,2,W
131453,0,BEL1,2000-08-19,Lokeren,Germinal,2,0,2,W
131454,0,BEL1,2000-08-19,St Truiden,Lierse,0,1,-1,L
131455,0,BEL1,2000-08-19,Standard,Louvieroise,3,0,3,W
131456,0,BEL1,2000-08-20,Mouscron,Club Brugge,1,2,-1,L
131457,0,BEL1,2000-08-25,Germinal,Standard,1,0,1,W
131458,0,BEL1,2000-08-26,Anderlecht,Beveren,4,0,4,W
131459,0,BEL1,2000-08-26,Mechelen,Mouscron,1,5,-4,L
131460,0,BEL1,2000-08-26,St Truiden,Genk,2,2,0,D
131461,0,BEL1,2000-08-27,Aalst,Gent,1,4,-3,L
131462,0,BEL1,2000-08-27,Charleroi,Antwerp,1,0,1,W
131463,0,BEL1,2000-08-27,Club Brugge,Lokeren,3,1,2,W
131464,0,BEL1,2000-08-27,Harelbeke,Louvieroise,2,2,0,D
131465,0,BEL1,2000-08-27,Westerlo,Lierse,1,0,1,W
131466,0,BEL1,2000-09-05,Anderlecht,Charleroi,7,2,5,W
131467,0,BEL1,2000-09-06,Gent,St Truiden,2,1,1,W
131468,0,BEL1,2000-09-06,Antwerp,Harelbeke,2,0,2,W
131469,0,BEL1,2000-09-06,Genk,Westerlo,1,2,-1,L
131470,0,BEL1,2000-09-06,Louvieroise,Germinal,0,5,-5,L
131471,0,BEL1,2000-09-06,Lierse,Beveren,3,0,3,W
131472,0,BEL1,2000-09-06,Lokeren,Mechelen,3,2,1,W
131473,0,BEL1,2000-09-06,Mouscron,Aalst,2,0,2,W
131474,0,BEL1,2000-09-06,Standard,Club Brugge,0,4,-4,L
131475,0,BEL1,2000-09-09,Antwerp,Anderlecht,0,3,-3,L
131476,0,BEL1,2000-09-09,Beveren,Genk,2,0,2,W
131477,0,BEL1,2000-09-09,Charleroi,Lierse,2,0,2,W
131478,0,BEL1,2000-09-09,Mechelen,Standard,0,4,-4,L
131479,0,BEL1,2000-09-09,St Truiden,Mouscron,1,4,-3,L
131480,0,BEL1,2000-09-09,Westerlo,Gent,0,0,0,D
131481,0,BEL1,2000-09-10,Aalst,Lokeren,2,2,0,D
131482,0,BEL1,2000-09-10,Club Brugge,Louvieroise,3,0,3,W
131483,0,BEL1,2000-09-10,Harelbeke,Germinal,3,0,3,W
131484,0,BEL1,2000-09-16,Gent,Beveren,5,0,5,W
131485,0,BEL1,2000-09-16,Anderlecht,Harelbeke,4,3,1,W
131486,0,BEL1,2000-09-16,Louvieroise,Mechelen,2,2,0,D
131487,0,BEL1,2000-09-16,Lierse,Antwerp,4,1,3,W
131488,0,BEL1,2000-09-16,Lokeren,St Truiden,2,1,1,W
131489,0,BEL1,2000-09-16,Mouscron,Westerlo,3,5,-2,L
131490,0,BEL1,2000-09-16,Standard,Aalst,7,0,7,W
131491,0,BEL1,2000-09-17,Germinal,Club Brugge,2,3,-1,L
131492,0,BEL1,2000-09-17,Genk,Charleroi,2,1,1,W
131493,0,BEL1,2000-09-22,Anderlecht,Lierse,5,2,3,W
131494,0,BEL1,2000-09-23,Beveren,Mouscron,0,0,0,D
131495,0,BEL1,2000-09-23,Charleroi,Gent,4,3,1,W
131496,0,BEL1,2000-09-23,Mechelen,Germinal,2,3,-1,L
131497,0,BEL1,2000-09-23,St Truiden,Standard,1,1,0,D
131498,0,BEL1,2000-09-23,Westerlo,Lokeren,1,1,0,D
131499,0,BEL1,2000-09-24,Aalst,Louvieroise,1,0,1,W
131500,0,BEL1,2000-09-24,Harelbeke,Club Brugge,0,6,-6,L
131501,0,BEL1,2000-09-29,Mouscron,Charleroi,3,0,3,W
131502,0,BEL1,2000-09-30,Germinal,Aalst,2,0,2,W
131503,0,BEL1,2000-09-30,Louvieroise,St Truiden,1,0,1,W
131504,0,BEL1,2000-09-30,Lierse,Harelbeke,4,1,3,W
131505,0,BEL1,2000-09-30,Lokeren,Beveren,1,1,0,D
131506,0,BEL1,2000-09-30,Standard,Westerlo,5,3,2,W
131507,0,BEL1,2000-10-01,Gent,Antwerp,4,2,2,W
131508,0,BEL1,2000-10-01,Club Brugge,Mechelen,5,2,3,W
131509,0,BEL1,2000-10-01,Genk,Anderlecht,1,1,0,D
131510,0,BEL1,2000-10-13,Lierse,Genk,1,1,0,D
131511,0,BEL1,2000-10-14,Anderlecht,Gent,2,1,1,W
131512,0,BEL1,2000-10-14,Antwerp,Mouscron,1,0,1,W
