,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
292590,11,BRA2,2011-05-21,Bragantino,ABC FC,1,1,0,D
292591,11,BRA2,2011-05-21,Salgueiro AC,Sao Caetano,1,1,0,D
292592,11,BRA2,2011-05-21,Goias Esporte Clube,Gremio Barueri,1,0,1,W
292593,11,BRA2,2011-05-21,Portuguesa,Clube Nautico,4,0,4,W
292594,11,BRA2,2011-05-21,Ponte Preta,Agremiacao Sportiva Arapiraquense,5,0,5,W
292595,11,BRA2,2011-05-21,Sport Club Recife,Icasa,1,0,1,W
292596,11,BRA2,2011-05-21,Americana Futebol,Duque de Caxias,1,1,0,D
292597,11,BRA2,2011-05-21,Criciuma Esporte Clube,Guarani FC,2,2,0,D
292598,11,BRA2,2011-05-21,Esporte Clube Vitoria BA,Vila Nova FC GO,1,0,1,W
292599,11,BRA2,2011-05-22,Boa Esporte Clube,Parana Clube,1,2,-1,L
292600,11,BRA2,2011-05-25,Agremiacao Sportiva Arapiraquense,Americana Futebol,2,1,1,W
292601,11,BRA2,2011-05-25,Parana Clube,Portuguesa,1,1,0,D
292602,11,BRA2,2011-05-28,Sao Caetano,Boa Esporte Clube,0,2,-2,L
292603,11,BRA2,2011-05-28,Gremio Barueri,Bragantino,3,2,1,W
292604,11,BRA2,2011-05-28,Vila Nova FC GO,Ponte Preta,3,1,2,W
292605,11,BRA2,2011-05-28,Guarani FC,Sport Club Recife,1,1,0,D
292606,11,BRA2,2011-05-28,Duque de Caxias,Criciuma Esporte Clube,1,2,-1,L
292607,11,BRA2,2011-05-28,Clube Nautico,Goias Esporte Clube,1,0,1,W
292608,11,BRA2,2011-05-28,Icasa,Esporte Clube Vitoria BA,3,1,2,W
292609,11,BRA2,2011-05-29,ABC FC,Salgueiro AC,1,1,0,D
292610,11,BRA2,2011-06-01,Sport Club Recife,Gremio Barueri,1,0,1,W
292611,11,BRA2,2011-06-01,Goias Esporte Clube,Agremiacao Sportiva Arapiraquense,4,1,3,W
292612,11,BRA2,2011-06-04,Bragantino,Sao Caetano,1,2,-1,L
292613,11,BRA2,2011-06-04,Portuguesa,ABC FC,2,3,-1,L
292614,11,BRA2,2011-06-04,Esporte Clube Vitoria BA,Guarani FC,0,1,-1,L
292615,11,BRA2,2011-06-04,Ponte Preta,Icasa,4,1,3,W
292616,11,BRA2,2011-06-04,Americana Futebol,Parana Clube,1,0,1,W
292617,11,BRA2,2011-06-04,Salgueiro AC,Duque de Caxias,2,0,2,W
