,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
229618,4,CHL1,2004-02-06,Santiago Wanderers,CD Cobreloa,1,0,1,W
229619,4,CHL1,2004-02-07,Union Espanola,CD Palestino,3,5,-2,L
229620,4,CHL1,2004-02-07,Deportes Temuco,Universidad de Concepcion,0,5,-5,L
229621,4,CHL1,2004-02-07,Universidad Catolica,Audax Italiano,3,2,1,W
229622,4,CHL1,2004-02-07,CSD Rangers,La Serena,1,4,-3,L
229623,4,CHL1,2004-02-07,Coquimbo Unido,CD Cobresal,2,1,1,W
229624,4,CHL1,2004-02-08,Puerto Montt,Everton CD,3,2,1,W
229625,4,CHL1,2004-02-08,CD Huachipato,Union San Felipe,0,0,0,D
229626,4,CHL1,2004-02-08,Colo Colo,Universidad de Chile,0,4,-4,L
229627,4,CHL1,2004-02-13,Audax Italiano,Coquimbo Unido,5,2,3,W
229628,4,CHL1,2004-02-14,CD Palestino,Puerto Montt,2,0,2,W
229629,4,CHL1,2004-02-14,Universidad de Chile,CSD Rangers,2,0,2,W
229630,4,CHL1,2004-02-14,Universidad de Concepcion,Santiago Wanderers,2,1,1,W
229631,4,CHL1,2004-02-14,La Serena,Union Espanola,2,4,-2,L
229632,4,CHL1,2004-02-14,CD Cobresal,Colo Colo,0,1,-1,L
229633,4,CHL1,2004-02-15,Everton CD,Union San Felipe,0,1,-1,L
229634,4,CHL1,2004-02-15,CD Cobreloa,Universidad Catolica,2,1,1,W
229635,4,CHL1,2004-02-15,Deportes Temuco,CD Huachipato,1,3,-2,L
229636,4,CHL1,2004-02-20,Santiago Wanderers,Deportes Temuco,2,0,2,W
229637,4,CHL1,2004-02-21,CSD Rangers,CD Cobresal,2,4,-2,L
229638,4,CHL1,2004-02-21,Union Espanola,Universidad de Chile,3,1,2,W
229639,4,CHL1,2004-02-21,Union San Felipe,CD Palestino,2,3,-1,L
229640,4,CHL1,2004-02-21,Universidad Catolica,Universidad de Concepcion,3,4,-1,L
229641,4,CHL1,2004-02-21,Coquimbo Unido,CD Cobreloa,3,3,0,D
229642,4,CHL1,2004-02-22,Puerto Montt,La Serena,1,2,-1,L
229643,4,CHL1,2004-02-22,CD Huachipato,Everton CD,2,4,-2,L
229644,4,CHL1,2004-02-22,Colo Colo,Audax Italiano,2,1,1,W
229645,4,CHL1,2004-02-27,CD Palestino,Everton CD,4,0,4,W
229646,4,CHL1,2004-02-27,Universidad de Concepcion,Coquimbo Unido,5,0,5,W
229647,4,CHL1,2004-02-28,Deportes Temuco,Universidad Catolica,1,0,1,W
229648,4,CHL1,2004-02-28,Universidad de Chile,Puerto Montt,6,1,5,W
229649,4,CHL1,2004-02-28,Santiago Wanderers,CD Huachipato,0,2,-2,L
229650,4,CHL1,2004-02-28,La Serena,Union San Felipe,3,0,3,W
229651,4,CHL1,2004-02-29,CD Cobresal,Union Espanola,3,4,-1,L
229652,4,CHL1,2004-02-29,Audax Italiano,CSD Rangers,3,1,2,W
