,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
163590,0,CHN1,2000-03-19,Dalian Haichang,Beijing Guoan,2,0,2,W
163591,0,CHN1,2000-03-19,Qingdao,Shanghai Greenland,1,1,0,D
163592,0,CHN1,2000-03-19,Shandong Luneng,Yunnan Hongta,0,1,-1,L
163593,0,CHN1,2000-03-19,Guangzhou Rich and Force,Chongqing Lifan,0,0,0,D
163594,0,CHN1,2000-03-19,Shenzhen FC,Sichuan Guancheng,0,0,0,D
163595,0,CHN1,2000-03-19,Tianjin Teda,Changchun Yatai,2,0,2,W
163596,0,CHN1,2000-03-19,Xiamen Xiaxin,Liaoning,3,0,3,W
163597,0,CHN1,2000-03-25,Chongqing Lifan,Dalian Haichang,2,0,2,W
163598,0,CHN1,2000-03-25,Liaoning,Guangzhou Rich and Force,0,0,0,D
163599,0,CHN1,2000-03-25,Shanghai Greenland,Changchun Yatai,2,1,1,W
163600,0,CHN1,2000-03-25,Sichuan Guancheng,Qingdao,3,1,2,W
163601,0,CHN1,2000-03-25,Xiamen Xiaxin,Shandong Luneng,0,2,-2,L
163602,0,CHN1,2000-03-25,Yunnan Hongta,Shenzhen FC,1,0,1,W
163603,0,CHN1,2000-03-26,Beijing Guoan,Tianjin Teda,1,2,-1,L
163604,0,CHN1,2000-04-02,Dalian Haichang,Liaoning,0,0,0,D
163605,0,CHN1,2000-04-02,Changchun Yatai,Sichuan Guancheng,0,0,0,D
163606,0,CHN1,2000-04-02,Qingdao,Yunnan Hongta,2,0,2,W
163607,0,CHN1,2000-04-02,Shanghai Greenland,Beijing Guoan,1,0,1,W
163608,0,CHN1,2000-04-02,Guangzhou Rich and Force,Xiamen Xiaxin,2,0,2,W
163609,0,CHN1,2000-04-02,Shenzhen FC,Shandong Luneng,1,2,-1,L
163610,0,CHN1,2000-04-02,Tianjin Teda,Chongqing Lifan,0,0,0,D
163611,0,CHN1,2000-04-09,Chongqing Lifan,Shanghai Greenland,0,0,0,D
163612,0,CHN1,2000-04-09,Liaoning,Tianjin Teda,1,1,0,D
163613,0,CHN1,2000-04-09,Shandong Luneng,Guangzhou Rich and Force,3,0,3,W
163614,0,CHN1,2000-04-09,Shenzhen FC,Qingdao,2,0,2,W
163615,0,CHN1,2000-04-09,Sichuan Guancheng,Beijing Guoan,0,0,0,D
163616,0,CHN1,2000-04-09,Xiamen Xiaxin,Dalian Haichang,0,2,-2,L
163617,0,CHN1,2000-04-09,Yunnan Hongta,Changchun Yatai,2,0,2,W
163618,0,CHN1,2000-04-16,Beijing Guoan,Yunnan Hongta,2,1,1,W
163619,0,CHN1,2000-04-16,Dalian Haichang,Guangzhou Rich and Force,1,1,0,D
163620,0,CHN1,2000-04-16,Changchun Yatai,Shenzhen FC,0,1,-1,L
163621,0,CHN1,2000-04-16,Qingdao,Shandong Luneng,1,0,1,W
163622,0,CHN1,2000-04-16,Shanghai Greenland,Liaoning,1,0,1,W
163623,0,CHN1,2000-04-16,Sichuan Guancheng,Chongqing Lifan,4,0,4,W
163624,0,CHN1,2000-04-16,Tianjin Teda,Xiamen Xiaxin,2,1,1,W
163625,0,CHN1,2000-04-20,Beijing Guoan,Shenzhen FC,3,0,3,W
163626,0,CHN1,2000-04-20,Chongqing Lifan,Yunnan Hongta,4,1,3,W
163627,0,CHN1,2000-04-20,Dalian Haichang,Shandong Luneng,5,0,5,W
163628,0,CHN1,2000-04-20,Changchun Yatai,Qingdao,1,1,0,D
163629,0,CHN1,2000-04-20,Liaoning,Sichuan Guancheng,0,1,-1,L
163630,0,CHN1,2000-04-20,Guangzhou Rich and Force,Tianjin Teda,5,1,4,W
163631,0,CHN1,2000-04-20,Xiamen Xiaxin,Shanghai Greenland,1,1,0,D
163632,0,CHN1,2000-04-23,Qingdao,Beijing Guoan,0,0,0,D
163633,0,CHN1,2000-04-23,Shandong Luneng,Changchun Yatai,2,0,2,W
163634,0,CHN1,2000-04-23,Shanghai Greenland,Guangzhou Rich and Force,3,1,2,W
163635,0,CHN1,2000-04-23,Shenzhen FC,Chongqing Lifan,1,2,-1,L
163636,0,CHN1,2000-04-23,Sichuan Guancheng,Xiamen Xiaxin,0,1,-1,L
163637,0,CHN1,2000-04-23,Tianjin Teda,Dalian Haichang,1,0,1,W
163638,0,CHN1,2000-04-23,Yunnan Hongta,Liaoning,1,0,1,W
163639,0,CHN1,2000-04-30,Chongqing Lifan,Qingdao,1,0,1,W
163640,0,CHN1,2000-04-30,Dalian Haichang,Shanghai Greenland,2,1,1,W
163641,0,CHN1,2000-04-30,Changchun Yatai,Beijing Guoan,2,1,1,W
163642,0,CHN1,2000-04-30,Liaoning,Shenzhen FC,2,1,1,W
163643,0,CHN1,2000-04-30,Shandong Luneng,Tianjin Teda,3,0,3,W
163644,0,CHN1,2000-04-30,Sichuan Guancheng,Guangzhou Rich and Force,2,1,1,W
163645,0,CHN1,2000-04-30,Yunnan Hongta,Xiamen Xiaxin,1,0,1,W
163646,0,CHN1,2000-05-14,Beijing Guoan,Shandong Luneng,0,1,-1,L
163647,0,CHN1,2000-05-14,Dalian Haichang,Sichuan Guancheng,5,2,3,W
163648,0,CHN1,2000-05-14,Changchun Yatai,Chongqing Lifan,0,1,-1,L
