,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
183366,0,DNK1,2000-07-22,Brondby,Aarhus,1,2,-1,L
183367,0,DNK1,2000-07-23,Akademisk,Silkeborg,1,1,0,D
183368,0,DNK1,2000-07-23,FC Kobenhavn,SonderjyskE,5,1,4,W
183369,0,DNK1,2000-07-23,Midtjylland,Lyngby,4,0,4,W
183370,0,DNK1,2000-07-24,Odense,Viborg,0,1,-1,L
183371,0,DNK1,2000-07-26,Herfolge,Aalborg,2,3,-1,L
183372,0,DNK1,2000-07-29,Brondby,Odense,0,0,0,D
183373,0,DNK1,2000-07-30,Aarhus,FC Kobenhavn,1,0,1,W
183374,0,DNK1,2000-07-30,SonderjyskE,Aalborg,1,2,-1,L
183375,0,DNK1,2000-07-30,Lyngby,Herfolge,3,1,2,W
183376,0,DNK1,2000-07-30,Viborg,Akademisk,1,1,0,D
183377,0,DNK1,2000-07-31,Silkeborg,Midtjylland,2,1,1,W
183378,0,DNK1,2000-08-04,Herfolge,Viborg,1,5,-4,L
183379,0,DNK1,2000-08-05,Midtjylland,Brondby,2,2,0,D
183380,0,DNK1,2000-08-06,Akademisk,SonderjyskE,4,0,4,W
183381,0,DNK1,2000-08-06,Odense,Aarhus,4,0,4,W
183382,0,DNK1,2000-08-06,FC Kobenhavn,Lyngby,1,2,-1,L
183383,0,DNK1,2000-08-07,Aalborg,Silkeborg,1,2,-1,L
183384,0,DNK1,2000-08-13,Aalborg,Akademisk,2,2,0,D
183385,0,DNK1,2000-08-13,Aarhus,Midtjylland,3,0,3,W
183386,0,DNK1,2000-08-13,SonderjyskE,Herfolge,1,2,-1,L
183387,0,DNK1,2000-08-13,Lyngby,Odense,0,2,-2,L
183388,0,DNK1,2000-08-13,Silkeborg,Brondby,1,7,-6,L
183389,0,DNK1,2000-08-13,Viborg,FC Kobenhavn,0,0,0,D
183390,0,DNK1,2000-08-19,Brondby,Herfolge,5,0,5,W
183391,0,DNK1,2000-08-20,Aarhus,Akademisk,1,3,-2,L
183392,0,DNK1,2000-08-20,Silkeborg,Odense,2,1,1,W
183393,0,DNK1,2000-08-20,Viborg,SonderjyskE,2,1,1,W
183394,0,DNK1,2000-08-20,Lyngby,Aalborg,2,1,1,W
183395,0,DNK1,2000-08-21,Midtjylland,FC Kobenhavn,1,0,1,W
183396,0,DNK1,2000-08-27,Aalborg,Viborg,1,0,1,W
183397,0,DNK1,2000-08-27,SonderjyskE,Silkeborg,1,1,0,D
183398,0,DNK1,2000-08-27,Herfolge,Aarhus,3,1,2,W
183399,0,DNK1,2000-08-27,Odense,Midtjylland,1,2,-1,L
183400,0,DNK1,2000-08-27,FC Kobenhavn,Brondby,2,1,1,W
183401,0,DNK1,2000-08-28,Akademisk,Lyngby,0,1,-1,L
183402,0,DNK1,2000-09-06,Aarhus,Lyngby,1,4,-3,L
