,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
245276,6,DZA1,2006-08-10,USM Blida,MC Alger,2,2,0,D
245277,6,DZA1,2006-08-10,ASO Chlef,NA Hussein Dey,4,1,3,W
245278,6,DZA1,2006-08-10,JSM Bejaia,OMR El Annasser,0,0,0,D
245279,6,DZA1,2006-08-10,ASM Oran,MC Oran,0,1,-1,L
245280,6,DZA1,2006-08-10,CR Belouizdad,CA Bordj Bou Arreridj,2,0,2,W
245281,6,DZA1,2006-08-10,Paradou AC,WA Tlemcen,4,1,3,W
245282,6,DZA1,2006-08-10,USM Alger,CA Batna,2,0,2,W
245283,6,DZA1,2006-08-21,USM Blida,ASM Oran,1,1,0,D
245284,6,DZA1,2006-08-21,WA Tlemcen,CA Batna,0,0,0,D
245285,6,DZA1,2006-08-21,CA Bordj Bou Arreridj,Paradou AC,1,1,0,D
245286,6,DZA1,2006-08-21,MC Oran,USM Alger,1,0,1,W
245287,6,DZA1,2006-08-21,OMR El Annasser,CR Belouizdad,1,1,0,D
245288,6,DZA1,2006-08-21,ES Setif,JSM Bejaia,0,0,0,D
245289,6,DZA1,2006-08-21,NA Hussein Dey,JS Kabylie,0,0,0,D
245290,6,DZA1,2006-08-21,MC Alger,ASO Chlef,1,0,1,W
245291,6,DZA1,2006-08-25,CA Batna,CA Bordj Bou Arreridj,3,2,1,W
245292,6,DZA1,2006-08-25,ASO Chlef,USM Blida,1,1,0,D
245293,6,DZA1,2006-08-25,JSM Bejaia,NA Hussein Dey,2,0,2,W
245294,6,DZA1,2006-08-25,ASM Oran,OMR El Annasser,1,1,0,D
245295,6,DZA1,2006-08-25,CR Belouizdad,ES Setif,1,2,-1,L
245296,6,DZA1,2006-08-25,Paradou AC,MC Oran,2,0,2,W
245297,6,DZA1,2006-08-25,USM Alger,WA Tlemcen,3,0,3,W
245298,6,DZA1,2006-08-31,MC Alger,JSM Bejaia,0,1,-1,L
245299,6,DZA1,2006-09-07,ASO Chlef,ASM Oran,1,1,0,D
245300,6,DZA1,2006-09-07,CA Bordj Bou Arreridj,WA Tlemcen,1,0,1,W
245301,6,DZA1,2006-09-07,MC Oran,CA Batna,0,0,0,D
245302,6,DZA1,2006-09-07,OMR El Annasser,Paradou AC,0,1,-1,L
245303,6,DZA1,2006-09-07,ES Setif,USM Alger,2,0,2,W
245304,6,DZA1,2006-09-07,NA Hussein Dey,CR Belouizdad,1,1,0,D
245305,6,DZA1,2006-09-11,Paradou AC,ES Setif,0,2,-2,L
245306,6,DZA1,2006-09-11,USM Alger,CA Bordj Bou Arreridj,2,1,1,W
245307,6,DZA1,2006-09-14,CA Batna,OMR El Annasser,4,1,3,W
245308,6,DZA1,2006-09-14,WA Tlemcen,MC Oran,0,0,0,D
245309,6,DZA1,2006-09-14,JSM Bejaia,USM Blida,0,0,0,D
245310,6,DZA1,2006-09-14,ASM Oran,NA Hussein Dey,1,1,0,D
245311,6,DZA1,2006-09-15,CR Belouizdad,MC Alger,0,2,-2,L
245312,6,DZA1,2006-09-21,USM Blida,CR Belouizdad,0,0,0,D
245313,6,DZA1,2006-09-21,ASO Chlef,JSM Bejaia,2,1,1,W
245314,6,DZA1,2006-09-21,JS Kabylie,Paradou AC,0,0,0,D
245315,6,DZA1,2006-09-21,NA Hussein Dey,USM Alger,2,0,2,W
245316,6,DZA1,2006-09-25,JS Kabylie,ES Setif,2,3,-1,L
245317,6,DZA1,2006-09-25,MC Oran,CA Bordj Bou Arreridj,4,0,4,W
245318,6,DZA1,2006-09-25,MC Alger,ASM Oran,1,1,0,D
245319,6,DZA1,2006-09-27,CA Batna,USM Blida,1,1,0,D
245320,6,DZA1,2006-09-27,WA Tlemcen,ASO Chlef,1,2,-1,L
245321,6,DZA1,2006-09-27,Paradou AC,NA Hussein Dey,2,0,2,W
245322,6,DZA1,2006-09-29,CA Bordj Bou Arreridj,OMR El Annasser,0,1,-1,L
245323,6,DZA1,2006-09-29,JSM Bejaia,JS Kabylie,1,0,1,W
245324,6,DZA1,2006-09-29,ASM Oran,ES Setif,0,1,-1,L
245325,6,DZA1,2006-09-29,CR Belouizdad,MC Oran,2,1,1,W
245326,6,DZA1,2006-09-29,USM Alger,MC Alger,2,2,0,D
245327,6,DZA1,2006-10-12,USM Blida,USM Alger,2,0,2,W
245328,6,DZA1,2006-10-12,ASO Chlef,CR Belouizdad,3,1,2,W
245329,6,DZA1,2006-10-12,JS Kabylie,ASM Oran,1,1,0,D
245330,6,DZA1,2006-10-12,JSM Bejaia,Paradou AC,2,1,1,W
245331,6,DZA1,2006-10-12,OMR El Annasser,MC Oran,1,0,1,W
245332,6,DZA1,2006-10-12,ES Setif,CA Bordj Bou Arreridj,2,1,1,W
245333,6,DZA1,2006-10-12,NA Hussein Dey,WA Tlemcen,2,1,1,W
245334,6,DZA1,2006-10-12,MC Alger,CA Batna,3,0,3,W
245335,6,DZA1,2006-10-16,ES Setif,CA Batna,2,0,2,W
245336,6,DZA1,2006-10-19,WA Tlemcen,MC Alger,1,0,1,W
245337,6,DZA1,2006-10-19,CA Bordj Bou Arreridj,USM Blida,2,1,1,W
245338,6,DZA1,2006-10-19,ASM Oran,JSM Bejaia,1,1,0,D
245339,6,DZA1,2006-10-19,CR Belouizdad,JS Kabylie,3,2,1,W
245340,6,DZA1,2006-10-19,Paradou AC,ASO Chlef,0,0,0,D
245341,6,DZA1,2006-10-19,USM Alger,OMR El Annasser,0,0,0,D
245342,6,DZA1,2006-10-20,CA Batna,NA Hussein Dey,1,1,0,D
245343,6,DZA1,2006-10-26,NA Hussein Dey,MC Oran,3,2,1,W
245344,6,DZA1,2006-10-27,USM Blida,WA Tlemcen,1,0,1,W
245345,6,DZA1,2006-10-27,ASO Chlef,CA Batna,1,0,1,W
245346,6,DZA1,2006-10-27,JS Kabylie,USM Alger,1,0,1,W
245347,6,DZA1,2006-10-27,JSM Bejaia,CR Belouizdad,1,1,0,D
245348,6,DZA1,2006-10-27,ASM Oran,Paradou AC,1,1,0,D
245349,6,DZA1,2006-10-27,ES Setif,OMR El Annasser,0,0,0,D
245350,6,DZA1,2006-11-02,OMR El Annasser,WA Tlemcen,1,2,-1,L
245351,6,DZA1,2006-11-02,MC Oran,ES Setif,0,2,-2,L
245352,6,DZA1,2006-11-09,CA Batna,JS Kabylie,1,1,0,D
245353,6,DZA1,2006-11-09,WA Tlemcen,ES Setif,1,0,1,W
245354,6,DZA1,2006-11-09,CA Bordj Bou Arreridj,NA Hussein Dey,1,0,1,W
245355,6,DZA1,2006-11-09,MC Oran,JSM Bejaia,1,0,1,W
245356,6,DZA1,2006-11-09,CR Belouizdad,ASM Oran,3,1,2,W
245357,6,DZA1,2006-11-09,Paradou AC,MC Alger,2,2,0,D
245358,6,DZA1,2006-11-09,USM Alger,ASO Chlef,2,0,2,W
245359,6,DZA1,2006-11-10,OMR El Annasser,USM Blida,3,1,2,W
245360,6,DZA1,2006-11-13,JS Kabylie,MC Alger,1,0,1,W
245361,6,DZA1,2006-11-23,USM Blida,MC Oran,0,0,0,D
245362,6,DZA1,2006-11-23,JS Kabylie,WA Tlemcen,1,0,1,W
245363,6,DZA1,2006-11-23,JSM Bejaia,CA Batna,1,0,1,W
245364,6,DZA1,2006-11-23,ASM Oran,USM Alger,2,1,1,W
245365,6,DZA1,2006-11-23,CR Belouizdad,Paradou AC,0,3,-3,L
245366,6,DZA1,2006-11-27,USM Blida,JS Kabylie,0,1,-1,L
245367,6,DZA1,2006-11-30,CA Batna,ASM Oran,1,1,0,D
245368,6,DZA1,2006-11-30,WA Tlemcen,JSM Bejaia,1,6,-5,L
245369,6,DZA1,2006-11-30,CA Bordj Bou Arreridj,JS Kabylie,1,0,1,W
245370,6,DZA1,2006-11-30,MC Oran,ASO Chlef,2,1,1,W
245371,6,DZA1,2006-11-30,OMR El Annasser,NA Hussein Dey,0,1,-1,L
245372,6,DZA1,2006-11-30,USM Alger,CR Belouizdad,2,1,1,W
