,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
256561,7,ECU1,2007-02-10,Deportivo Cuenca,LDU Quito,0,0,0,D
256562,7,ECU1,2007-02-10,SC Imbabura,Deportivo Azogues,1,1,0,D
256563,7,ECU1,2007-02-10,El Nacional,CS Emelec,4,2,2,W
256564,7,ECU1,2007-02-11,CD Olmedo,Deportivo Quito,2,0,2,W
256565,7,ECU1,2007-02-11,Barcelona SC,Macara,1,2,-1,L
256566,7,ECU1,2007-02-14,Macara,SC Imbabura,0,2,-2,L
256567,7,ECU1,2007-02-14,Deportivo Azogues,El Nacional,2,1,1,W
256568,7,ECU1,2007-02-14,Deportivo Quito,Deportivo Cuenca,2,1,1,W
256569,7,ECU1,2007-02-14,LDU Quito,Barcelona SC,2,1,1,W
256570,7,ECU1,2007-02-17,CD Olmedo,Macara,2,1,1,W
256571,7,ECU1,2007-02-17,Deportivo Cuenca,CS Emelec,1,0,1,W
256572,7,ECU1,2007-02-17,El Nacional,SC Imbabura,0,1,-1,L
256573,7,ECU1,2007-02-18,LDU Quito,Deportivo Quito,1,1,0,D
256574,7,ECU1,2007-02-18,Barcelona SC,Deportivo Azogues,2,2,0,D
256575,7,ECU1,2007-02-21,CS Emelec,CD Olmedo,1,1,0,D
256576,7,ECU1,2007-02-24,Deportivo Quito,El Nacional,2,2,0,D
256577,7,ECU1,2007-02-25,SC Imbabura,Barcelona SC,1,2,-1,L
256578,7,ECU1,2007-02-25,Macara,Deportivo Cuenca,2,1,1,W
256579,7,ECU1,2007-02-25,Deportivo Azogues,CD Olmedo,0,0,0,D
256580,7,ECU1,2007-02-25,CS Emelec,LDU Quito,4,3,1,W
256581,7,ECU1,2007-03-02,Deportivo Cuenca,Deportivo Azogues,3,1,2,W
256582,7,ECU1,2007-03-02,Barcelona SC,El Nacional,1,0,1,W
256583,7,ECU1,2007-03-03,CD Olmedo,SC Imbabura,1,0,1,W
256584,7,ECU1,2007-03-03,LDU Quito,Macara,2,1,1,W
256585,7,ECU1,2007-03-04,Deportivo Quito,CS Emelec,2,0,2,W
256586,7,ECU1,2007-03-09,Macara,Deportivo Quito,2,3,-1,L
256587,7,ECU1,2007-03-10,Deportivo Azogues,LDU Quito,2,1,1,W
256588,7,ECU1,2007-03-11,SC Imbabura,Deportivo Cuenca,1,2,-1,L
256589,7,ECU1,2007-03-11,El Nacional,CD Olmedo,1,2,-1,L
256590,7,ECU1,2007-03-11,Barcelona SC,CS Emelec,0,0,0,D
256591,7,ECU1,2007-03-16,Deportivo Cuenca,El Nacional,0,2,-2,L
256592,7,ECU1,2007-03-17,Deportivo Quito,Deportivo Azogues,0,1,-1,L
256593,7,ECU1,2007-03-18,CD Olmedo,Barcelona SC,4,1,3,W
256594,7,ECU1,2007-03-18,LDU Quito,SC Imbabura,4,1,3,W
256595,7,ECU1,2007-03-18,CS Emelec,Macara,0,0,0,D
256596,7,ECU1,2007-03-30,Deportivo Azogues,CS Emelec,1,2,-1,L
256597,7,ECU1,2007-03-31,El Nacional,Macara,3,0,3,W
256598,7,ECU1,2007-04-01,SC Imbabura,Deportivo Quito,1,2,-1,L
256599,7,ECU1,2007-04-01,Barcelona SC,Deportivo Cuenca,1,1,0,D
256600,7,ECU1,2007-04-06,Macara,Deportivo Azogues,2,4,-2,L
