,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
28213,0,ENG3,2000-08-12,Bristol Rovers,Bournemouth,1,1,0,D
28214,0,ENG3,2000-08-12,Cambridge,Bury,0,1,-1,L
28215,0,ENG3,2000-08-12,Luton Town,Notts County,0,1,-1,L
28216,0,ENG3,2000-08-12,Millwall,Reading,2,0,2,W
28217,0,ENG3,2000-08-12,Northampton Town,Brentford,1,1,0,D
28218,0,ENG3,2000-08-12,Oldham Athletic,Port Vale,4,1,3,W
28219,0,ENG3,2000-08-12,Oxford United,Peterborough United,0,1,-1,L
28220,0,ENG3,2000-08-12,Rotherham United,Walsall,2,3,-1,L
28221,0,ENG3,2000-08-12,Stoke City,Wycombe Wanderers,0,0,0,D
28222,0,ENG3,2000-08-12,Swansea City,Wigan Athletic,0,0,0,D
28223,0,ENG3,2000-08-12,Swindon Town,Colchester,0,0,0,D
28224,0,ENG3,2000-08-12,Wrexham,Bristol City,0,2,-2,L
28225,0,ENG3,2000-08-18,Colchester,Rotherham United,0,1,-1,L
28226,0,ENG3,2000-08-19,Bournemouth,Cambridge,1,1,0,D
28227,0,ENG3,2000-08-19,Brentford,Swansea City,0,0,0,D
28228,0,ENG3,2000-08-19,Bristol City,Stoke City,1,2,-1,L
28229,0,ENG3,2000-08-19,Bury,Wrexham,1,4,-3,L
28230,0,ENG3,2000-08-19,Notts County,Millwall,3,4,-1,L
28231,0,ENG3,2000-08-19,Port Vale,Oxford United,3,0,3,W
28232,0,ENG3,2000-08-19,Reading,Swindon Town,2,0,2,W
28233,0,ENG3,2000-08-19,Walsall,Oldham Athletic,3,2,1,W
28234,0,ENG3,2000-08-19,Wigan Athletic,Luton Town,2,1,1,W
28235,0,ENG3,2000-08-19,Wycombe Wanderers,Northampton Town,1,0,1,W
28236,0,ENG3,2000-08-20,Peterborough United,Bristol Rovers,2,2,0,D
28237,0,ENG3,2000-08-26,Cambridge,Bristol City,1,0,1,W
28238,0,ENG3,2000-08-26,Luton Town,Bournemouth,1,0,1,W
28239,0,ENG3,2000-08-26,Millwall,Wycombe Wanderers,1,2,-1,L
28240,0,ENG3,2000-08-26,Northampton Town,Reading,2,0,2,W
28241,0,ENG3,2000-08-26,Oldham Athletic,Peterborough United,1,4,-3,L
28242,0,ENG3,2000-08-26,Oxford United,Brentford,0,1,-1,L
28243,0,ENG3,2000-08-26,Rotherham United,Bury,1,2,-1,L
28244,0,ENG3,2000-08-26,Stoke City,Notts County,0,1,-1,L
28245,0,ENG3,2000-08-26,Swansea City,Colchester,0,2,-2,L
28246,0,ENG3,2000-08-26,Swindon Town,Walsall,1,4,-3,L
28247,0,ENG3,2000-08-26,Wrexham,Wigan Athletic,1,3,-2,L
28248,0,ENG3,2000-08-28,Brentford,Bristol Rovers,2,6,-4,L
28249,0,ENG3,2000-08-28,Bristol City,Rotherham United,0,1,-1,L
28250,0,ENG3,2000-08-28,Bury,Northampton Town,1,0,1,W
28251,0,ENG3,2000-08-28,Notts County,Cambridge,0,1,-1,L
28252,0,ENG3,2000-08-28,Peterborough United,Swansea City,0,2,-2,L
28253,0,ENG3,2000-08-28,Port Vale,Swindon Town,3,0,3,W
28254,0,ENG3,2000-08-28,Wycombe Wanderers,Luton Town,1,1,0,D
28255,0,ENG3,2000-08-29,Colchester,Oldham Athletic,1,1,0,D
28256,0,ENG3,2000-08-29,Reading,Stoke City,3,3,0,D
28257,0,ENG3,2000-08-29,Walsall,Oxford United,3,2,1,W
28258,0,ENG3,2000-09-02,Brentford,Wycombe Wanderers,0,0,0,D
28259,0,ENG3,2000-09-02,Colchester,Bournemouth,3,1,2,W
28260,0,ENG3,2000-09-02,Oldham Athletic,Notts County,0,1,-1,L
28261,0,ENG3,2000-09-02,Oxford United,Cambridge,1,1,0,D
28262,0,ENG3,2000-09-02,Peterborough United,Bury,1,1,0,D
28263,0,ENG3,2000-09-02,Port Vale,Reading,0,1,-1,L
28264,0,ENG3,2000-09-02,Rotherham United,Luton Town,1,1,0,D
28265,0,ENG3,2000-09-02,Walsall,Wigan Athletic,2,0,2,W
28266,0,ENG3,2000-09-08,Wycombe Wanderers,Oxford United,3,1,2,W
28267,0,ENG3,2000-09-09,Bournemouth,Port Vale,1,1,0,D
28268,0,ENG3,2000-09-09,Bristol City,Swindon Town,0,1,-1,L
28269,0,ENG3,2000-09-09,Bury,Walsall,2,0,2,W
28270,0,ENG3,2000-09-09,Cambridge,Rotherham United,6,1,5,W
28271,0,ENG3,2000-09-09,Luton Town,Northampton Town,0,2,-2,L
28272,0,ENG3,2000-09-09,Millwall,Swansea City,1,0,1,W
28273,0,ENG3,2000-09-09,Notts County,Bristol Rovers,1,1,0,D
28274,0,ENG3,2000-09-09,Reading,Brentford,4,0,4,W
28275,0,ENG3,2000-09-09,Stoke City,Peterborough United,3,0,3,W
28276,0,ENG3,2000-09-09,Wigan Athletic,Colchester,3,1,2,W
28277,0,ENG3,2000-09-09,Wrexham,Oldham Athletic,3,1,2,W
28278,0,ENG3,2000-09-12,Bournemouth,Swindon Town,3,0,3,W
28279,0,ENG3,2000-09-12,Bury,Colchester,0,0,0,D
28280,0,ENG3,2000-09-12,Cambridge,Port Vale,4,0,4,W
28281,0,ENG3,2000-09-12,Luton Town,Walsall,0,0,0,D
28282,0,ENG3,2000-09-12,Millwall,Northampton Town,0,1,-1,L
28283,0,ENG3,2000-09-12,Notts County,Swansea City,0,1,-1,L
28284,0,ENG3,2000-09-12,Reading,Oldham Athletic,5,0,5,W
28285,0,ENG3,2000-09-12,Wigan Athletic,Peterborough United,1,0,1,W
28286,0,ENG3,2000-09-12,Wrexham,Rotherham United,1,3,-2,L
28287,0,ENG3,2000-09-12,Wycombe Wanderers,Bristol Rovers,0,1,-1,L
28288,0,ENG3,2000-09-13,Stoke City,Oxford United,4,0,4,W
28289,0,ENG3,2000-09-16,Brentford,Millwall,1,1,0,D
28290,0,ENG3,2000-09-16,Bristol Rovers,Wigan Athletic,0,0,0,D
28291,0,ENG3,2000-09-16,Colchester,Wrexham,1,1,0,D
28292,0,ENG3,2000-09-16,Northampton Town,Notts County,1,0,1,W
28293,0,ENG3,2000-09-16,Oldham Athletic,Bristol City,0,0,0,D
28294,0,ENG3,2000-09-16,Oxford United,Bury,1,0,1,W
28295,0,ENG3,2000-09-16,Peterborough United,Reading,1,0,1,W
28296,0,ENG3,2000-09-16,Rotherham United,Wycombe Wanderers,1,0,1,W
28297,0,ENG3,2000-09-16,Swansea City,Luton Town,4,0,4,W
28298,0,ENG3,2000-09-16,Walsall,Bournemouth,1,1,0,D
28299,0,ENG3,2000-09-17,Port Vale,Stoke City,1,1,0,D
28300,0,ENG3,2000-09-23,Bournemouth,Oldham Athletic,1,1,0,D
28301,0,ENG3,2000-09-23,Bristol City,Colchester,1,1,0,D
28302,0,ENG3,2000-09-23,Bury,Port Vale,2,0,2,W
28303,0,ENG3,2000-09-23,Cambridge,Bristol Rovers,0,3,-3,L
28304,0,ENG3,2000-09-23,Luton Town,Swindon Town,2,3,-1,L
28305,0,ENG3,2000-09-23,Millwall,Oxford United,5,0,5,W
28306,0,ENG3,2000-09-23,Notts County,Brentford,2,2,0,D
28307,0,ENG3,2000-09-23,Reading,Swansea City,5,1,4,W
28308,0,ENG3,2000-09-23,Stoke City,Rotherham United,1,1,0,D
28309,0,ENG3,2000-09-23,Wigan Athletic,Northampton Town,2,1,1,W
28310,0,ENG3,2000-09-23,Wrexham,Walsall,0,1,-1,L
28311,0,ENG3,2000-09-23,Wycombe Wanderers,Peterborough United,2,0,2,W
28312,0,ENG3,2000-09-27,Bournemouth,Wrexham,1,2,-1,L
28313,0,ENG3,2000-09-30,Brentford,Bournemouth,3,2,1,W
28314,0,ENG3,2000-09-30,Bristol Rovers,Luton Town,3,3,0,D
28315,0,ENG3,2000-09-30,Colchester,Stoke City,0,1,-1,L
28316,0,ENG3,2000-09-30,Northampton Town,Wrexham,2,2,0,D
28317,0,ENG3,2000-09-30,Oldham Athletic,Cambridge,1,3,-2,L
28318,0,ENG3,2000-09-30,Oxford United,Bristol City,0,1,-1,L
28319,0,ENG3,2000-09-30,Peterborough United,Millwall,1,4,-3,L
28320,0,ENG3,2000-09-30,Port Vale,Wycombe Wanderers,0,1,-1,L
28321,0,ENG3,2000-09-30,Rotherham United,Reading,1,3,-2,L
28322,0,ENG3,2000-09-30,Swansea City,Bury,0,2,-2,L
28323,0,ENG3,2000-09-30,Swindon Town,Wigan Athletic,2,2,0,D
28324,0,ENG3,2000-09-30,Walsall,Notts County,5,1,4,W
28325,0,ENG3,2000-10-06,Bristol City,Bournemouth,3,3,0,D
28326,0,ENG3,2000-10-06,Bury,Bristol Rovers,1,0,1,W
