,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
204137,3,FIN1,2003-05-15,HJK Helsinki,Jokerit Helsinki,1,1,0,D
204138,3,FIN1,2003-05-15,Hameenlinna,Kuopion PS,4,3,1,W
204139,3,FIN1,2003-05-15,Tampere United,Haka Valkeakoski,0,2,-2,L
204140,3,FIN1,2003-05-15,KooTeePee,Anjalankoski,1,2,-1,L
204141,3,FIN1,2003-05-15,FC Lahti,Allianssi,0,2,-2,L
204142,3,FIN1,2003-05-15,Inter Turku,TPS Turku,0,2,-2,L
204143,3,FIN1,2003-05-15,Jazz Pori,FF Jaro,1,1,0,D
204144,3,FIN1,2003-05-18,Jokerit Helsinki,Inter Turku,4,0,4,W
204145,3,FIN1,2003-05-18,Hameenlinna,FF Jaro,1,1,0,D
204146,3,FIN1,2003-05-18,Anjalankoski,Jazz Pori,4,0,4,W
204147,3,FIN1,2003-05-18,TPS Turku,KooTeePee,4,2,2,W
204148,3,FIN1,2003-05-18,Kuopion PS,FC Lahti,1,1,0,D
204149,3,FIN1,2003-05-18,Haka Valkeakoski,HJK Helsinki,0,1,-1,L
204150,3,FIN1,2003-05-19,Allianssi,Tampere United,3,1,2,W
204151,3,FIN1,2003-05-21,Jokerit Helsinki,Jazz Pori,3,1,2,W
204152,3,FIN1,2003-05-22,Kuopion PS,HJK Helsinki,0,2,-2,L
204153,3,FIN1,2003-05-22,Haka Valkeakoski,KooTeePee,2,0,2,W
204154,3,FIN1,2003-05-22,FC Lahti,Tampere United,0,1,-1,L
204155,3,FIN1,2003-05-22,TPS Turku,FF Jaro,3,1,2,W
204156,3,FIN1,2003-05-22,Allianssi,Inter Turku,2,0,2,W
204157,3,FIN1,2003-05-22,Anjalankoski,Hameenlinna,0,0,0,D
204158,3,FIN1,2003-05-25,HJK Helsinki,Allianssi,2,2,0,D
204159,3,FIN1,2003-05-25,FF Jaro,Anjalankoski,0,2,-2,L
204160,3,FIN1,2003-05-25,Jazz Pori,TPS Turku,2,1,1,W
204161,3,FIN1,2003-05-25,Tampere United,Kuopion PS,4,1,3,W
204162,3,FIN1,2003-05-25,KooTeePee,Jokerit Helsinki,2,0,2,W
204163,3,FIN1,2003-05-26,FC Lahti,Hameenlinna,0,0,0,D
204164,3,FIN1,2003-05-26,Inter Turku,Haka Valkeakoski,2,4,-2,L
204165,3,FIN1,2003-05-29,HJK Helsinki,Anjalankoski,1,0,1,W
204166,3,FIN1,2003-05-29,Inter Turku,FF Jaro,1,1,0,D
204167,3,FIN1,2003-05-29,KooTeePee,Jazz Pori,3,0,3,W
204168,3,FIN1,2003-05-29,Kuopion PS,Haka Valkeakoski,0,3,-3,L
204169,3,FIN1,2003-05-29,Hameenlinna,Allianssi,0,3,-3,L
204170,3,FIN1,2003-05-29,FC Lahti,Jokerit Helsinki,0,1,-1,L
204171,3,FIN1,2003-05-29,Tampere United,TPS Turku,2,0,2,W
204172,3,FIN1,2003-06-01,Jazz Pori,Hameenlinna,2,0,2,W
204173,3,FIN1,2003-06-01,Anjalankoski,Inter Turku,2,2,0,D
204174,3,FIN1,2003-06-01,FF Jaro,KooTeePee,3,1,2,W
204175,3,FIN1,2003-06-01,Allianssi,Kuopion PS,5,2,3,W
204176,3,FIN1,2003-06-01,TPS Turku,HJK Helsinki,1,0,1,W
204177,3,FIN1,2003-06-02,Haka Valkeakoski,FC Lahti,5,1,4,W
204178,3,FIN1,2003-06-02,Jokerit Helsinki,Tampere United,0,1,-1,L
204179,3,FIN1,2003-06-14,Hameenlinna,Jokerit Helsinki,2,1,1,W
204180,3,FIN1,2003-06-15,Haka Valkeakoski,TPS Turku,1,0,1,W
204181,3,FIN1,2003-06-15,Allianssi,Anjalankoski,1,4,-3,L
204182,3,FIN1,2003-06-15,KooTeePee,Tampere United,2,1,1,W
