,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
114489,0,FRA1,2000-07-28,Olympique Marseille,Troyes,3,1,2,W
114490,0,FRA1,2000-07-28,Paris Saint-Germain,Strasbourg,3,1,2,W
114491,0,FRA1,2000-07-29,Auxerre,Sedan,0,1,-1,L
114492,0,FRA1,2000-07-29,Bordeaux,FC Metz,1,1,0,D
114493,0,FRA1,2000-07-29,Guingamp,St Etienne,2,2,0,D
114494,0,FRA1,2000-07-29,Lille,Monaco,1,1,0,D
114495,0,FRA1,2000-07-29,Olympique Lyonnais,Rennes,2,2,0,D
114496,0,FRA1,2000-07-29,Nantes,Lens,0,2,-2,L
114497,0,FRA1,2000-07-29,Toulouse,SC Bastia,0,1,-1,L
114498,0,FRA1,2000-08-03,Sedan,Olympique Lyonnais,1,1,0,D
114499,0,FRA1,2000-08-04,Monaco,Nantes,2,5,-3,L
114500,0,FRA1,2000-08-04,St Etienne,Olympique Marseille,3,0,3,W
114501,0,FRA1,2000-08-05,SC Bastia,Bordeaux,2,0,2,W
114502,0,FRA1,2000-08-05,Lens,Guingamp,3,2,1,W
114503,0,FRA1,2000-08-05,FC Metz,Auxerre,1,2,-1,L
114504,0,FRA1,2000-08-05,Rennes,Paris Saint-Germain,1,1,0,D
114505,0,FRA1,2000-08-05,Strasbourg,Lille,0,4,-4,L
114506,0,FRA1,2000-08-05,Troyes,Toulouse,1,1,0,D
114507,0,FRA1,2000-08-12,Auxerre,SC Bastia,1,0,1,W
114508,0,FRA1,2000-08-12,Bordeaux,Troyes,2,2,0,D
114509,0,FRA1,2000-08-12,Guingamp,Nantes,0,1,-1,L
114510,0,FRA1,2000-08-12,Lille,Rennes,1,0,1,W
114511,0,FRA1,2000-08-12,Olympique Lyonnais,FC Metz,0,0,0,D
114512,0,FRA1,2000-08-12,Strasbourg,Monaco,1,3,-2,L
114513,0,FRA1,2000-08-12,Toulouse,St Etienne,1,1,0,D
114514,0,FRA1,2000-08-13,Olympique Marseille,Lens,0,0,0,D
114515,0,FRA1,2000-08-13,Paris Saint-Germain,Sedan,2,1,1,W
114516,0,FRA1,2000-08-18,SC Bastia,Olympique Lyonnais,2,0,2,W
114517,0,FRA1,2000-08-19,Lens,Toulouse,2,1,1,W
114518,0,FRA1,2000-08-19,FC Metz,Paris Saint-Germain,1,0,1,W
114519,0,FRA1,2000-08-19,Nantes,Olympique Marseille,3,2,1,W
114520,0,FRA1,2000-08-19,Rennes,Strasbourg,3,0,3,W
114521,0,FRA1,2000-08-19,Sedan,Lille,1,0,1,W
114522,0,FRA1,2000-08-19,St Etienne,Bordeaux,1,0,1,W
114523,0,FRA1,2000-08-19,Troyes,Auxerre,1,0,1,W
114524,0,FRA1,2000-08-20,Monaco,Guingamp,1,0,1,W
114525,0,FRA1,2000-08-26,Bordeaux,Lens,1,1,0,D
114526,0,FRA1,2000-08-26,Lille,FC Metz,2,1,1,W
114527,0,FRA1,2000-08-26,Olympique Lyonnais,Troyes,1,0,1,W
114528,0,FRA1,2000-08-26,Olympique Marseille,Guingamp,3,1,2,W
114529,0,FRA1,2000-08-26,Rennes,Monaco,1,1,0,D
114530,0,FRA1,2000-08-26,Strasbourg,Sedan,3,2,1,W
114531,0,FRA1,2000-08-26,Toulouse,Nantes,1,1,0,D
114532,0,FRA1,2000-08-27,Auxerre,St Etienne,4,3,1,W
114533,0,FRA1,2000-08-27,Paris Saint-Germain,SC Bastia,3,1,2,W
114534,0,FRA1,2000-09-05,Monaco,Olympique Marseille,0,2,-2,L
114535,0,FRA1,2000-09-06,SC Bastia,Lille,1,0,1,W
114536,0,FRA1,2000-09-06,Guingamp,Toulouse,2,1,1,W
114537,0,FRA1,2000-09-06,Lens,Auxerre,1,0,1,W
114538,0,FRA1,2000-09-06,FC Metz,Strasbourg,1,0,1,W
114539,0,FRA1,2000-09-06,Nantes,Bordeaux,0,5,-5,L
114540,0,FRA1,2000-09-06,St Etienne,Olympique Lyonnais,2,2,0,D
114541,0,FRA1,2000-09-06,Troyes,Paris Saint-Germain,5,3,2,W
114542,0,FRA1,2000-09-09,Auxerre,Nantes,2,2,0,D
114543,0,FRA1,2000-09-09,Bordeaux,Guingamp,0,2,-2,L
114544,0,FRA1,2000-09-09,Lille,Troyes,1,2,-1,L
114545,0,FRA1,2000-09-09,Olympique Lyonnais,Lens,3,0,3,W
114546,0,FRA1,2000-09-09,Paris Saint-Germain,St Etienne,5,1,4,W
114547,0,FRA1,2000-09-09,Rennes,FC Metz,0,1,-1,L
114548,0,FRA1,2000-09-09,Sedan,Monaco,1,0,1,W
114549,0,FRA1,2000-09-09,Strasbourg,SC Bastia,1,4,-3,L
114550,0,FRA1,2000-09-10,Toulouse,Olympique Marseille,2,0,2,W
114551,0,FRA1,2000-09-16,SC Bastia,Rennes,0,2,-2,L
114552,0,FRA1,2000-09-16,Guingamp,Auxerre,1,0,1,W
114553,0,FRA1,2000-09-16,Lens,Paris Saint-Germain,1,1,0,D
114554,0,FRA1,2000-09-16,Olympique Marseille,Bordeaux,0,1,-1,L
114555,0,FRA1,2000-09-16,FC Metz,Sedan,1,0,1,W
114556,0,FRA1,2000-09-16,Monaco,Toulouse,3,0,3,W
114557,0,FRA1,2000-09-16,Troyes,Strasbourg,0,1,-1,L
114558,0,FRA1,2000-09-17,Nantes,Olympique Lyonnais,0,1,-1,L
114559,0,FRA1,2000-09-17,St Etienne,Lille,1,1,0,D
114560,0,FRA1,2000-09-23,Auxerre,Olympique Marseille,0,1,-1,L
114561,0,FRA1,2000-09-23,Bordeaux,Toulouse,2,1,1,W
114562,0,FRA1,2000-09-23,Olympique Lyonnais,Guingamp,0,1,-1,L
114563,0,FRA1,2000-09-23,FC Metz,Monaco,1,3,-2,L
114564,0,FRA1,2000-09-23,Paris Saint-Germain,Nantes,2,1,1,W
114565,0,FRA1,2000-09-23,Rennes,Troyes,0,2,-2,L
114566,0,FRA1,2000-09-23,Sedan,SC Bastia,3,3,0,D
114567,0,FRA1,2000-09-23,Strasbourg,St Etienne,3,2,1,W
114568,0,FRA1,2000-09-24,Lille,Lens,2,1,1,W
114569,0,FRA1,2000-09-30,SC Bastia,FC Metz,1,0,1,W
114570,0,FRA1,2000-09-30,Guingamp,Paris Saint-Germain,1,1,0,D
114571,0,FRA1,2000-09-30,Lens,Strasbourg,0,0,0,D
114572,0,FRA1,2000-09-30,Monaco,Bordeaux,2,2,0,D
114573,0,FRA1,2000-09-30,St Etienne,Rennes,0,2,-2,L
114574,0,FRA1,2000-09-30,Toulouse,Auxerre,0,1,-1,L
114575,0,FRA1,2000-09-30,Troyes,Sedan,1,1,0,D
114576,0,FRA1,2000-10-01,Olympique Marseille,Olympique Lyonnais,1,1,0,D
114577,0,FRA1,2000-10-01,Nantes,Lille,0,0,0,D
114578,0,FRA1,2000-10-10,Sedan,Rennes,2,1,1,W
114579,0,FRA1,2000-10-13,SC Bastia,Monaco,0,2,-2,L
114580,0,FRA1,2000-10-13,Paris Saint-Germain,Olympique Marseille,2,0,2,W
114581,0,FRA1,2000-10-14,Lille,Guingamp,1,1,0,D
114582,0,FRA1,2000-10-14,FC Metz,Troyes,2,2,0,D
114583,0,FRA1,2000-10-14,Rennes,Lens,1,0,1,W
114584,0,FRA1,2000-10-14,Sedan,St Etienne,2,1,1,W
114585,0,FRA1,2000-10-14,Strasbourg,Nantes,0,5,-5,L
114586,0,FRA1,2000-10-15,Auxerre,Bordeaux,0,2,-2,L
114587,0,FRA1,2000-10-21,Bordeaux,Olympique Lyonnais,1,1,0,D
114588,0,FRA1,2000-10-21,Guingamp,Strasbourg,2,1,1,W
114589,0,FRA1,2000-10-21,Lens,Sedan,1,1,0,D
114590,0,FRA1,2000-10-21,Monaco,Auxerre,1,1,0,D
114591,0,FRA1,2000-10-21,Nantes,Rennes,1,0,1,W
114592,0,FRA1,2000-10-21,St Etienne,FC Metz,2,0,2,W
114593,0,FRA1,2000-10-21,Toulouse,Paris Saint-Germain,2,3,-1,L
114594,0,FRA1,2000-10-21,Troyes,SC Bastia,0,0,0,D
114595,0,FRA1,2000-10-22,Olympique Marseille,Lille,0,1,-1,L
114596,0,FRA1,2000-10-28,Strasbourg,Olympique Marseille,1,1,0,D
114597,0,FRA1,2000-10-29,SC Bastia,St Etienne,0,0,0,D
114598,0,FRA1,2000-10-29,Lille,Toulouse,1,0,1,W
114599,0,FRA1,2000-10-29,Olympique Lyonnais,Auxerre,2,2,0,D
114600,0,FRA1,2000-10-29,FC Metz,Lens,2,1,1,W
114601,0,FRA1,2000-10-29,Paris Saint-Germain,Bordeaux,1,2,-1,L
114602,0,FRA1,2000-10-29,Rennes,Guingamp,1,2,-1,L
114603,0,FRA1,2000-10-29,Sedan,Nantes,2,0,2,W
114604,0,FRA1,2000-10-29,Troyes,Monaco,1,0,1,W
114605,0,FRA1,2000-11-03,Monaco,Olympique Lyonnais,0,2,-2,L
114606,0,FRA1,2000-11-04,Auxerre,Paris Saint-Germain,1,0,1,W
114607,0,FRA1,2000-11-04,Bordeaux,Lille,1,0,1,W
114608,0,FRA1,2000-11-04,Guingamp,Sedan,0,3,-3,L
114609,0,FRA1,2000-11-04,Lens,SC Bastia,4,0,4,W
114610,0,FRA1,2000-11-04,Olympique Marseille,Rennes,0,1,-1,L
114611,0,FRA1,2000-11-04,Nantes,FC Metz,2,0,2,W
114612,0,FRA1,2000-11-04,St Etienne,Troyes,4,1,3,W
114613,0,FRA1,2000-11-04,Toulouse,Strasbourg,0,0,0,D
114614,0,FRA1,2000-11-10,St Etienne,Monaco,1,0,1,W
114615,0,FRA1,2000-11-11,Lille,Auxerre,1,1,0,D
114616,0,FRA1,2000-11-11,FC Metz,Guingamp,1,1,0,D
114617,0,FRA1,2000-11-11,Paris Saint-Germain,Olympique Lyonnais,1,1,0,D
114618,0,FRA1,2000-11-11,Rennes,Toulouse,1,1,0,D
