,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
265373,8,GER3,2008-07-25,RW Erfurt,Dynamo Dresden,0,1,-1,L
265374,8,GER3,2008-07-26,Wacker Burghausen,Stuttgarter Kickers,2,0,2,W
265375,8,GER3,2008-07-26,Kickers Emden,Wuppertaler SV,1,0,1,W
265376,8,GER3,2008-07-26,Erzgebirge Aue,Braunschweig,0,2,-2,L
265377,8,GER3,2008-07-26,Jahn Regensburg,Carl Zeiss Jena,2,2,0,D
265378,8,GER3,2008-07-26,Sandhausen,Aalen,1,2,-1,L
265379,8,GER3,2008-07-26,Unterhaching,Werder Bremen II,3,0,3,W
265380,8,GER3,2008-07-26,VfB Stuttgart II,Kickers Offenbach,1,1,0,D
265381,8,GER3,2008-07-27,Bayern Munich II,Union Berlin,2,1,1,W
265382,8,GER3,2008-07-27,Fortuna Dusseldorf,Paderborn,1,4,-3,L
265383,8,GER3,2008-08-02,Paderborn,Unterhaching,1,1,0,D
265384,8,GER3,2008-08-02,Wuppertaler SV,Bayern Munich II,2,2,0,D
265385,8,GER3,2008-08-02,Union Berlin,VfB Stuttgart II,3,1,2,W
265386,8,GER3,2008-08-02,Kickers Offenbach,Wacker Burghausen,2,0,2,W
265387,8,GER3,2008-08-02,Stuttgarter Kickers,Fortuna Dusseldorf,0,2,-2,L
265388,8,GER3,2008-08-02,Aalen,Jahn Regensburg,1,1,0,D
265389,8,GER3,2008-08-02,Carl Zeiss Jena,Erzgebirge Aue,3,2,1,W
265390,8,GER3,2008-08-03,Braunschweig,RW Erfurt,1,1,0,D
265391,8,GER3,2008-08-09,Werder Bremen II,Sandhausen,4,3,1,W
265392,8,GER3,2008-08-13,Dynamo Dresden,Kickers Emden,1,2,-1,L
265393,8,GER3,2008-08-15,RW Erfurt,Carl Zeiss Jena,2,1,1,W
265394,8,GER3,2008-08-16,Bayern Munich II,Dynamo Dresden,1,0,1,W
265395,8,GER3,2008-08-16,Erzgebirge Aue,Aalen,0,0,0,D
265396,8,GER3,2008-08-16,Jahn Regensburg,Werder Bremen II,1,0,1,W
265397,8,GER3,2008-08-16,Sandhausen,Paderborn,4,0,4,W
265398,8,GER3,2008-08-16,Kickers Offenbach,Union Berlin,1,1,0,D
265399,8,GER3,2008-08-16,VfB Stuttgart II,Wuppertaler SV,2,0,2,W
265400,8,GER3,2008-08-16,Wacker Burghausen,Fortuna Dusseldorf,0,4,-4,L
265401,8,GER3,2008-08-17,Kickers Emden,Braunschweig,1,0,1,W
265402,8,GER3,2008-08-17,Unterhaching,Stuttgarter Kickers,2,0,2,W
265403,8,GER3,2008-08-22,Union Berlin,Wacker Burghausen,4,0,4,W
265404,8,GER3,2008-08-23,Aalen,RW Erfurt,0,2,-2,L
265405,8,GER3,2008-08-23,Carl Zeiss Jena,Kickers Emden,1,1,0,D
265406,8,GER3,2008-08-23,Braunschweig,Bayern Munich II,0,1,-1,L
265407,8,GER3,2008-08-23,Dynamo Dresden,VfB Stuttgart II,1,0,1,W
265408,8,GER3,2008-08-23,Wuppertaler SV,Kickers Offenbach,2,1,1,W
265409,8,GER3,2008-08-23,Fortuna Dusseldorf,Unterhaching,0,0,0,D
265410,8,GER3,2008-08-23,Paderborn,Jahn Regensburg,3,1,2,W
265411,8,GER3,2008-08-24,Werder Bremen II,Erzgebirge Aue,4,2,2,W
265412,8,GER3,2008-08-24,Stuttgarter Kickers,Sandhausen,0,1,-1,L
265413,8,GER3,2008-08-29,Bayern Munich II,Carl Zeiss Jena,2,1,1,W
265414,8,GER3,2008-08-30,RW Erfurt,Werder Bremen II,3,1,2,W
265415,8,GER3,2008-08-30,Erzgebirge Aue,Paderborn,0,2,-2,L
265416,8,GER3,2008-08-30,Jahn Regensburg,Stuttgarter Kickers,1,1,0,D
265417,8,GER3,2008-08-30,Union Berlin,Wuppertaler SV,0,0,0,D
265418,8,GER3,2008-08-30,Kickers Offenbach,Dynamo Dresden,2,2,0,D
265419,8,GER3,2008-08-30,VfB Stuttgart II,Braunschweig,4,0,4,W
265420,8,GER3,2008-08-30,Wacker Burghausen,Unterhaching,5,1,4,W
265421,8,GER3,2008-08-31,Kickers Emden,Aalen,5,2,3,W
265422,8,GER3,2008-08-31,Sandhausen,Fortuna Dusseldorf,2,0,2,W
265423,8,GER3,2008-09-12,Werder Bremen II,Kickers Emden,0,1,-1,L
265424,8,GER3,2008-09-13,Aalen,Bayern Munich II,0,0,0,D
265425,8,GER3,2008-09-13,Braunschweig,Kickers Offenbach,4,0,4,W
265426,8,GER3,2008-09-13,Dynamo Dresden,Union Berlin,0,1,-1,L
265427,8,GER3,2008-09-13,Wuppertaler SV,Wacker Burghausen,2,4,-2,L
265428,8,GER3,2008-09-13,Unterhaching,Sandhausen,2,0,2,W
265429,8,GER3,2008-09-13,Fortuna Dusseldorf,Jahn Regensburg,3,1,2,W
265430,8,GER3,2008-09-13,Stuttgarter Kickers,Erzgebirge Aue,1,2,-1,L
265431,8,GER3,2008-09-14,Carl Zeiss Jena,VfB Stuttgart II,0,6,-6,L
265432,8,GER3,2008-09-14,Paderborn,RW Erfurt,2,0,2,W
265433,8,GER3,2008-09-19,Bayern Munich II,Werder Bremen II,1,1,0,D
265434,8,GER3,2008-09-20,Kickers Emden,Paderborn,1,2,-1,L
265435,8,GER3,2008-09-20,RW Erfurt,Stuttgarter Kickers,3,2,1,W
