,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
137755,0,GRE1,2000-09-16,Olympiakos Piraeus,Ethnikos Asteras,6,0,6,W
137756,0,GRE1,2000-09-16,Panathinaikos,Yiannina,2,1,1,W
137757,0,GRE1,2000-09-17,Ionikos,Athinaikos,1,0,1,W
137758,0,GRE1,2000-09-17,Kalamata,PAOK,0,0,0,D
137759,0,GRE1,2000-09-17,Panahaiki,Xanthi,1,1,0,D
137760,0,GRE1,2000-09-17,Paniliakos,Panionios,1,1,0,D
137761,0,GRE1,2000-09-18,AEK,Iraklis,2,0,2,W
137762,0,GRE1,2000-09-18,OFI Heraklion,Aris,2,3,-1,L
137763,0,GRE1,2000-09-23,Panionios,Panathinaikos,0,2,-2,L
137764,0,GRE1,2000-09-24,Aris,Paniliakos,1,0,1,W
137765,0,GRE1,2000-09-24,Athinaikos,AEK,0,3,-3,L
137766,0,GRE1,2000-09-24,Ethnikos Asteras,Ionikos,1,0,1,W
137767,0,GRE1,2000-09-24,Iraklis,Panahaiki,2,0,2,W
137768,0,GRE1,2000-09-24,OFI Heraklion,Olympiakos Piraeus,1,2,-1,L
137769,0,GRE1,2000-09-24,Yiannina,PAOK,1,3,-2,L
137770,0,GRE1,2000-09-25,Xanthi,Kalamata,2,1,1,W
137771,0,GRE1,2000-09-30,Yiannina,Xanthi,1,1,0,D
137772,0,GRE1,2000-10-01,AEK,Ethnikos Asteras,2,2,0,D
137773,0,GRE1,2000-10-01,Kalamata,Iraklis,0,0,0,D
137774,0,GRE1,2000-10-01,Olympiakos Piraeus,Ionikos,3,3,0,D
137775,0,GRE1,2000-10-01,Panahaiki,Athinaikos,3,1,2,W
137776,0,GRE1,2000-10-01,Panathinaikos,Aris,2,2,0,D
137777,0,GRE1,2000-10-01,Paniliakos,OFI Heraklion,0,0,0,D
137778,0,GRE1,2000-10-02,PAOK,Panionios,1,1,0,D
137779,0,GRE1,2000-10-29,Athinaikos,Kalamata,3,2,1,W
137780,0,GRE1,2000-10-29,Ionikos,AEK,0,2,-2,L
137781,0,GRE1,2000-10-29,Iraklis,Yiannina,2,1,1,W
137782,0,GRE1,2000-10-29,OFI Heraklion,Panathinaikos,0,0,0,D
137783,0,GRE1,2000-10-29,Paniliakos,Olympiakos Piraeus,0,4,-4,L
137784,0,GRE1,2000-10-29,Panionios,Xanthi,0,0,0,D
137785,0,GRE1,2000-10-30,Ethnikos Asteras,Panahaiki,3,1,2,W
