,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
71483,0,HOL1,2000-08-18,Sparta Rotterdam,Roda,2,2,0,D
71484,0,HOL1,2000-08-19,De Graafschap,PSV Eindhoven,2,0,2,W
71485,0,HOL1,2000-08-19,Feyenoord Rotterdam,AZ Alkmaar,2,0,2,W
71486,0,HOL1,2000-08-19,NAC Breda,Waalwijk,0,1,-1,L
71487,0,HOL1,2000-08-20,Groningen,Willem II,1,1,0,D
71488,0,HOL1,2000-08-20,Roosendaal,NEC Nijmegen,2,3,-1,L
71489,0,HOL1,2000-08-20,Utrecht,Heerenveen,2,0,2,W
71490,0,HOL1,2000-08-20,Vitesse,Twente Enschede,3,1,2,W
71491,0,HOL1,2000-08-22,Ajax Amsterdam,For Sittard,5,0,5,W
71492,0,HOL1,2000-08-23,Groningen,NEC Nijmegen,4,4,0,D
71493,0,HOL1,2000-08-26,AZ Alkmaar,Roosendaal,3,0,3,W
71494,0,HOL1,2000-08-26,De Graafschap,Roda,1,3,-2,L
71495,0,HOL1,2000-08-26,For Sittard,Heerenveen,0,2,-2,L
71496,0,HOL1,2000-08-26,NAC Breda,Groningen,5,1,4,W
71497,0,HOL1,2000-08-26,Willem II,Waalwijk,2,0,2,W
71498,0,HOL1,2000-08-27,NEC Nijmegen,Vitesse,4,1,3,W
71499,0,HOL1,2000-08-27,Sparta Rotterdam,Ajax Amsterdam,3,0,3,W
71500,0,HOL1,2000-08-27,Twente Enschede,Feyenoord Rotterdam,1,2,-1,L
71501,0,HOL1,2000-08-27,Utrecht,PSV Eindhoven,1,3,-2,L
71502,0,HOL1,2000-09-03,Waalwijk,Roosendaal,2,1,1,W
71503,0,HOL1,2000-09-05,PSV Eindhoven,Willem II,2,2,0,D
71504,0,HOL1,2000-09-06,Ajax Amsterdam,NEC Nijmegen,0,0,0,D
71505,0,HOL1,2000-09-06,Groningen,De Graafschap,1,0,1,W
71506,0,HOL1,2000-09-06,NAC Breda,Roda,1,1,0,D
71507,0,HOL1,2000-09-06,Waalwijk,AZ Alkmaar,3,0,3,W
71508,0,HOL1,2000-09-06,Twente Enschede,Heerenveen,2,2,0,D
71509,0,HOL1,2000-09-06,Vitesse,Sparta Rotterdam,5,1,4,W
71510,0,HOL1,2000-09-08,For Sittard,PSV Eindhoven,0,3,-3,L
71511,0,HOL1,2000-09-09,Ajax Amsterdam,Groningen,3,1,2,W
71512,0,HOL1,2000-09-09,De Graafschap,AZ Alkmaar,4,2,2,W
71513,0,HOL1,2000-09-09,Feyenoord Rotterdam,Waalwijk,3,1,2,W
71514,0,HOL1,2000-09-09,Heerenveen,NAC Breda,2,1,1,W
71515,0,HOL1,2000-09-09,Roda,Twente Enschede,2,2,0,D
71516,0,HOL1,2000-09-09,Willem II,Vitesse,2,2,0,D
71517,0,HOL1,2000-09-10,NEC Nijmegen,Utrecht,1,1,0,D
71518,0,HOL1,2000-09-10,Sparta Rotterdam,Roosendaal,3,5,-2,L
71519,0,HOL1,2000-09-13,NAC Breda,Roosendaal,2,1,1,W
71520,0,HOL1,2000-09-16,NAC Breda,De Graafschap,3,0,3,W
71521,0,HOL1,2000-09-16,PSV Eindhoven,Sparta Rotterdam,2,1,1,W
71522,0,HOL1,2000-09-17,AZ Alkmaar,Ajax Amsterdam,3,2,1,W
71523,0,HOL1,2000-09-17,NEC Nijmegen,For Sittard,1,1,0,D
71524,0,HOL1,2000-09-17,Roosendaal,Groningen,0,2,-2,L
71525,0,HOL1,2000-09-17,Utrecht,Twente Enschede,1,2,-1,L
71526,0,HOL1,2000-09-17,Vitesse,Waalwijk,1,0,1,W
71527,0,HOL1,2000-09-22,Ajax Amsterdam,Roosendaal,2,0,2,W
