,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
201123,3,ISR1,2003-09-13,SC Ashdod,Hapoel Petach-Tikva,2,0,2,W
201124,3,ISR1,2003-09-13,Maccabi Tel Aviv,Maccabi Ahi Nazareth,2,0,2,W
201125,3,ISR1,2003-09-13,Bnei Sachnin FC,Hapoel Tel Aviv,1,1,0,D
201126,3,ISR1,2003-09-13,Bnei Yehuda Tel Aviv,Maccabi Netanya,2,0,2,W
201127,3,ISR1,2003-09-13,Maccabi Petach-Tikva,Hapoel Beer Sheva,1,2,-1,L
201128,3,ISR1,2003-09-14,Maccabi Haifa,Beitar Jerusalem,4,0,4,W
201129,3,ISR1,2003-09-20,Maccabi Ahi Nazareth,SC Ashdod,2,2,0,D
201130,3,ISR1,2003-09-20,Hapoel Tel Aviv,Maccabi Haifa,0,0,0,D
201131,3,ISR1,2003-09-20,Hapoel Beer Sheva,Bnei Sachnin FC,2,1,1,W
201132,3,ISR1,2003-09-20,Hapoel Petach-Tikva,Maccabi Petach-Tikva,1,1,0,D
201133,3,ISR1,2003-09-20,Maccabi Netanya,Beitar Jerusalem,1,0,1,W
201134,3,ISR1,2003-09-21,Bnei Yehuda Tel Aviv,Maccabi Tel Aviv,0,0,0,D
201135,3,ISR1,2003-10-01,Maccabi Haifa,Hapoel Beer Sheva,3,2,1,W
201136,3,ISR1,2003-10-04,Maccabi Tel Aviv,Maccabi Netanya,1,0,1,W
201137,3,ISR1,2003-10-04,Maccabi Petach-Tikva,Maccabi Ahi Nazareth,2,0,2,W
201138,3,ISR1,2003-10-04,Beitar Jerusalem,Hapoel Tel Aviv,1,1,0,D
201139,3,ISR1,2003-10-04,SC Ashdod,Bnei Yehuda Tel Aviv,1,2,-1,L
201140,3,ISR1,2003-10-11,Bnei Sachnin FC,Hapoel Petach-Tikva,1,1,0,D
201141,3,ISR1,2003-10-17,Bnei Yehuda Tel Aviv,Maccabi Petach-Tikva,1,0,1,W
201142,3,ISR1,2003-10-18,Maccabi Tel Aviv,SC Ashdod,0,1,-1,L
201143,3,ISR1,2003-10-18,Hapoel Beer Sheva,Beitar Jerusalem,2,0,2,W
201144,3,ISR1,2003-10-18,Hapoel Petach-Tikva,Maccabi Haifa,3,1,2,W
201145,3,ISR1,2003-10-19,Maccabi Netanya,Hapoel Tel Aviv,2,2,0,D
201146,3,ISR1,2003-10-20,Maccabi Ahi Nazareth,Bnei Sachnin FC,0,4,-4,L
201147,3,ISR1,2003-10-24,Bnei Sachnin FC,Bnei Yehuda Tel Aviv,2,3,-1,L
201148,3,ISR1,2003-10-25,SC Ashdod,Maccabi Netanya,4,0,4,W
201149,3,ISR1,2003-10-25,Hapoel Tel Aviv,Hapoel Beer Sheva,3,0,3,W
201150,3,ISR1,2003-10-25,Maccabi Haifa,Maccabi Ahi Nazareth,4,1,3,W
201151,3,ISR1,2003-10-26,Maccabi Petach-Tikva,Maccabi Tel Aviv,2,2,0,D
201152,3,ISR1,2003-10-27,Beitar Jerusalem,Hapoel Petach-Tikva,2,0,2,W
201153,3,ISR1,2003-10-31,Maccabi Netanya,Hapoel Beer Sheva,1,0,1,W
201154,3,ISR1,2003-11-01,Maccabi Ahi Nazareth,Beitar Jerusalem,2,1,1,W
201155,3,ISR1,2003-11-01,Bnei Yehuda Tel Aviv,Maccabi Haifa,1,2,-1,L
201156,3,ISR1,2003-11-01,Maccabi Tel Aviv,Bnei Sachnin FC,2,2,0,D
201157,3,ISR1,2003-11-02,Hapoel Petach-Tikva,Hapoel Tel Aviv,1,1,0,D
201158,3,ISR1,2003-11-03,SC Ashdod,Maccabi Petach-Tikva,3,2,1,W
201159,3,ISR1,2003-11-07,Maccabi Petach-Tikva,Maccabi Netanya,0,0,0,D
201160,3,ISR1,2003-11-08,Hapoel Beer Sheva,Hapoel Petach-Tikva,0,1,-1,L
201161,3,ISR1,2003-11-08,Hapoel Tel Aviv,Maccabi Ahi Nazareth,1,0,1,W
201162,3,ISR1,2003-11-08,Beitar Jerusalem,Bnei Yehuda Tel Aviv,0,0,0,D
201163,3,ISR1,2003-11-09,Maccabi Haifa,Maccabi Tel Aviv,0,1,-1,L
201164,3,ISR1,2003-11-10,Bnei Sachnin FC,SC Ashdod,1,0,1,W
201165,3,ISR1,2003-11-15,Maccabi Ahi Nazareth,Hapoel Beer Sheva,2,2,0,D
201166,3,ISR1,2003-11-15,Bnei Yehuda Tel Aviv,Hapoel Tel Aviv,1,1,0,D
201167,3,ISR1,2003-11-15,Maccabi Petach-Tikva,Bnei Sachnin FC,2,1,1,W
201168,3,ISR1,2003-11-15,Maccabi Tel Aviv,Beitar Jerusalem,2,1,1,W
201169,3,ISR1,2003-11-16,SC Ashdod,Maccabi Haifa,1,1,0,D
201170,3,ISR1,2003-11-17,Maccabi Netanya,Hapoel Petach-Tikva,2,1,1,W
201171,3,ISR1,2003-11-22,Bnei Sachnin FC,Maccabi Netanya,2,1,1,W
201172,3,ISR1,2003-11-22,Hapoel Beer Sheva,Bnei Yehuda Tel Aviv,0,0,0,D
201173,3,ISR1,2003-11-22,Maccabi Haifa,Maccabi Petach-Tikva,0,0,0,D
201174,3,ISR1,2003-11-22,Beitar Jerusalem,SC Ashdod,1,0,1,W
201175,3,ISR1,2003-11-23,Hapoel Tel Aviv,Maccabi Tel Aviv,0,2,-2,L
201176,3,ISR1,2003-11-24,Hapoel Petach-Tikva,Maccabi Ahi Nazareth,3,1,2,W
201177,3,ISR1,2003-11-29,Bnei Sachnin FC,Maccabi Haifa,0,1,-1,L
201178,3,ISR1,2003-11-29,Maccabi Netanya,Maccabi Ahi Nazareth,1,2,-1,L
201179,3,ISR1,2003-11-29,Maccabi Petach-Tikva,Beitar Jerusalem,1,0,1,W
201180,3,ISR1,2003-11-29,Maccabi Tel Aviv,Hapoel Beer Sheva,1,3,-2,L
201181,3,ISR1,2003-11-30,SC Ashdod,Hapoel Tel Aviv,3,3,0,D
201182,3,ISR1,2003-12-01,Bnei Yehuda Tel Aviv,Hapoel Petach-Tikva,3,3,0,D
201183,3,ISR1,2003-12-06,Maccabi Ahi Nazareth,Bnei Yehuda Tel Aviv,1,2,-1,L
201184,3,ISR1,2003-12-06,Hapoel Beer Sheva,SC Ashdod,4,0,4,W
201185,3,ISR1,2003-12-06,Beitar Jerusalem,Bnei Sachnin FC,1,1,0,D
201186,3,ISR1,2003-12-06,Maccabi Haifa,Maccabi Netanya,4,0,4,W
201187,3,ISR1,2003-12-07,Hapoel Petach-Tikva,Maccabi Tel Aviv,1,0,1,W
201188,3,ISR1,2003-12-08,Hapoel Tel Aviv,Maccabi Petach-Tikva,1,0,1,W
201189,3,ISR1,2003-12-13,Hapoel Beer Sheva,Maccabi Petach-Tikva,2,1,1,W
201190,3,ISR1,2003-12-13,Hapoel Petach-Tikva,SC Ashdod,3,1,2,W
201191,3,ISR1,2003-12-13,Hapoel Tel Aviv,Bnei Sachnin FC,0,1,-1,L
201192,3,ISR1,2003-12-13,Maccabi Ahi Nazareth,Maccabi Tel Aviv,0,1,-1,L
201193,3,ISR1,2003-12-14,Beitar Jerusalem,Maccabi Haifa,1,0,1,W
201194,3,ISR1,2003-12-15,Maccabi Netanya,Bnei Yehuda Tel Aviv,3,3,0,D
201195,3,ISR1,2003-12-19,SC Ashdod,Maccabi Ahi Nazareth,3,5,-2,L
201196,3,ISR1,2003-12-20,Bnei Sachnin FC,Hapoel Beer Sheva,1,2,-1,L
201197,3,ISR1,2003-12-20,Beitar Jerusalem,Maccabi Netanya,0,0,0,D
201198,3,ISR1,2003-12-20,Maccabi Tel Aviv,Bnei Yehuda Tel Aviv,0,2,-2,L
201199,3,ISR1,2003-12-21,Maccabi Haifa,Hapoel Tel Aviv,1,0,1,W
201200,3,ISR1,2003-12-22,Maccabi Petach-Tikva,Hapoel Petach-Tikva,4,1,3,W
201201,3,ISR1,2004-01-03,Maccabi Ahi Nazareth,Maccabi Petach-Tikva,0,1,-1,L
201202,3,ISR1,2004-01-03,Hapoel Petach-Tikva,Bnei Sachnin FC,0,0,0,D
201203,3,ISR1,2004-01-03,Maccabi Netanya,Maccabi Tel Aviv,0,1,-1,L
201204,3,ISR1,2004-01-03,Hapoel Beer Sheva,Maccabi Haifa,2,2,0,D
201205,3,ISR1,2004-01-04,Hapoel Tel Aviv,Beitar Jerusalem,4,1,3,W
201206,3,ISR1,2004-01-05,Bnei Yehuda Tel Aviv,SC Ashdod,2,1,1,W
201207,3,ISR1,2004-01-10,Bnei Sachnin FC,Maccabi Ahi Nazareth,1,0,1,W
201208,3,ISR1,2004-01-10,Hapoel Tel Aviv,Maccabi Netanya,2,0,2,W
201209,3,ISR1,2004-01-10,SC Ashdod,Maccabi Tel Aviv,0,2,-2,L
201210,3,ISR1,2004-01-10,Maccabi Haifa,Hapoel Petach-Tikva,0,2,-2,L
201211,3,ISR1,2004-01-11,Beitar Jerusalem,Hapoel Beer Sheva,0,1,-1,L
201212,3,ISR1,2004-01-12,Maccabi Petach-Tikva,Bnei Yehuda Tel Aviv,0,0,0,D
201213,3,ISR1,2004-01-17,Maccabi Ahi Nazareth,Maccabi Haifa,0,2,-2,L
201214,3,ISR1,2004-01-17,Hapoel Beer Sheva,Hapoel Tel Aviv,0,0,0,D
201215,3,ISR1,2004-01-17,Maccabi Netanya,SC Ashdod,0,0,0,D
201216,3,ISR1,2004-01-17,Hapoel Petach-Tikva,Beitar Jerusalem,3,3,0,D
201217,3,ISR1,2004-01-18,Maccabi Tel Aviv,Maccabi Petach-Tikva,0,2,-2,L
201218,3,ISR1,2004-01-19,Bnei Yehuda Tel Aviv,Bnei Sachnin FC,0,1,-1,L
201219,3,ISR1,2004-01-24,Hapoel Tel Aviv,Hapoel Petach-Tikva,3,0,3,W
201220,3,ISR1,2004-01-24,Bnei Sachnin FC,Maccabi Tel Aviv,1,1,0,D
201221,3,ISR1,2004-01-24,Maccabi Petach-Tikva,SC Ashdod,4,1,3,W
201222,3,ISR1,2004-01-24,Hapoel Beer Sheva,Maccabi Netanya,2,0,2,W
201223,3,ISR1,2004-01-24,Beitar Jerusalem,Maccabi Ahi Nazareth,4,1,3,W
201224,3,ISR1,2004-01-25,Maccabi Haifa,Bnei Yehuda Tel Aviv,3,0,3,W
201225,3,ISR1,2004-01-31,Maccabi Ahi Nazareth,Hapoel Tel Aviv,0,2,-2,L
201226,3,ISR1,2004-01-31,Hapoel Petach-Tikva,Hapoel Beer Sheva,2,1,1,W
201227,3,ISR1,2004-01-31,Maccabi Netanya,Maccabi Petach-Tikva,3,0,3,W
201228,3,ISR1,2004-01-31,Maccabi Tel Aviv,Maccabi Haifa,0,3,-3,L
201229,3,ISR1,2004-02-01,Bnei Yehuda Tel Aviv,Beitar Jerusalem,1,1,0,D
201230,3,ISR1,2004-02-02,SC Ashdod,Bnei Sachnin FC,1,0,1,W
201231,3,ISR1,2004-02-07,Hapoel Beer Sheva,Maccabi Ahi Nazareth,1,2,-1,L
201232,3,ISR1,2004-02-07,Hapoel Petach-Tikva,Maccabi Netanya,4,0,4,W
201233,3,ISR1,2004-02-07,Maccabi Haifa,SC Ashdod,0,0,0,D
201234,3,ISR1,2004-02-07,Hapoel Tel Aviv,Bnei Yehuda Tel Aviv,3,0,3,W
201235,3,ISR1,2004-02-08,Beitar Jerusalem,Maccabi Tel Aviv,1,0,1,W
201236,3,ISR1,2004-02-09,Bnei Sachnin FC,Maccabi Petach-Tikva,0,0,0,D
201237,3,ISR1,2004-02-14,Bnei Yehuda Tel Aviv,Hapoel Beer Sheva,0,1,-1,L
