,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
53163,0,ITA1,2000-09-30,Bari 1908,Hellas Verona,1,1,0,D
53164,0,ITA1,2000-09-30,Napoli,Juventus,1,2,-1,L
53165,0,ITA1,2000-10-01,Atalanta,Lazio,2,2,0,D
53166,0,ITA1,2000-10-01,AC Milan,Vicenza,2,0,2,W
53167,0,ITA1,2000-10-01,Parma,Fiorentina,2,2,0,D
53168,0,ITA1,2000-10-01,Perugia,Lecce,1,1,0,D
53169,0,ITA1,2000-10-01,Reggina,Internazionale Milano,2,1,1,W
53170,0,ITA1,2000-10-01,Roma,Bologna,2,0,2,W
53171,0,ITA1,2000-10-01,Udinese,Brescia,4,2,2,W
53172,0,ITA1,2000-10-14,Internazionale Milano,Napoli,3,1,2,W
53173,0,ITA1,2000-10-14,Lazio,Perugia,3,0,3,W
53174,0,ITA1,2000-10-15,Bologna,AC Milan,2,1,1,W
53175,0,ITA1,2000-10-15,Brescia,Parma,0,0,0,D
53176,0,ITA1,2000-10-15,Fiorentina,Reggina,2,1,1,W
53177,0,ITA1,2000-10-15,Juventus,Bari 1908,2,0,2,W
53178,0,ITA1,2000-10-15,Lecce,Roma,0,4,-4,L
53179,0,ITA1,2000-10-15,Hellas Verona,Udinese,1,1,0,D
53180,0,ITA1,2000-10-15,Vicenza,Atalanta,1,2,-1,L
53181,0,ITA1,2000-10-21,AC Milan,Juventus,2,2,0,D
53182,0,ITA1,2000-10-21,Udinese,Internazionale Milano,3,0,3,W
53183,0,ITA1,2000-10-22,Bari 1908,Atalanta,0,2,-2,L
53184,0,ITA1,2000-10-22,Brescia,Fiorentina,1,1,0,D
53185,0,ITA1,2000-10-22,Napoli,Bologna,1,5,-4,L
53186,0,ITA1,2000-10-22,Perugia,Parma,3,1,2,W
53187,0,ITA1,2000-10-22,Reggina,Lecce,0,1,-1,L
53188,0,ITA1,2000-10-22,Roma,Vicenza,3,1,2,W
53189,0,ITA1,2000-10-22,Hellas Verona,Lazio,2,0,2,W
53190,0,ITA1,2000-11-01,Atalanta,Hellas Verona,3,0,3,W
53191,0,ITA1,2000-11-01,Bologna,Reggina,2,0,2,W
53192,0,ITA1,2000-11-01,Fiorentina,Bari 1908,2,2,0,D
53193,0,ITA1,2000-11-01,Internazionale Milano,Roma,2,0,2,W
53194,0,ITA1,2000-11-01,Juventus,Udinese,1,2,-1,L
