,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
220961,4,KOR1,2004-04-03,Incheon United,Jeonbuk FC,0,0,0,D
220962,4,KOR1,2004-04-03,Daejeon Citizen,Pohang Steelers,0,1,-1,L
220963,4,KOR1,2004-04-03,Gwangju Sangmu,Seongnam FC,1,0,1,W
220964,4,KOR1,2004-04-03,Chunnam Dragons,Daegu FC,4,1,3,W
220965,4,KOR1,2004-04-03,Bucheon SK,Ulsan Hyundai,0,1,-1,L
220966,4,KOR1,2004-04-03,FC Seoul,Busan IPark,1,1,0,D
220967,4,KOR1,2004-04-10,Busan IPark,Bucheon SK,0,0,0,D
220968,4,KOR1,2004-04-10,Ulsan Hyundai,Chunnam Dragons,1,1,0,D
220969,4,KOR1,2004-04-10,Daegu FC,Gwangju Sangmu,4,2,2,W
220970,4,KOR1,2004-04-10,Seongnam FC,Daejeon Citizen,2,1,1,W
220971,4,KOR1,2004-04-10,Pohang Steelers,Incheon United,2,1,1,W
220972,4,KOR1,2004-04-10,Jeonbuk FC,Suwon Bluewings,1,1,0,D
220973,4,KOR1,2004-04-17,Incheon United,Seongnam FC,1,0,1,W
220974,4,KOR1,2004-04-17,Daejeon Citizen,Daegu FC,1,1,0,D
220975,4,KOR1,2004-04-17,Gwangju Sangmu,Ulsan Hyundai,0,0,0,D
220976,4,KOR1,2004-04-17,Chunnam Dragons,Busan IPark,0,1,-1,L
220977,4,KOR1,2004-04-17,Bucheon SK,FC Seoul,1,1,0,D
220978,4,KOR1,2004-04-17,Suwon Bluewings,Pohang Steelers,1,2,-1,L
220979,4,KOR1,2004-04-24,FC Seoul,Chunnam Dragons,0,0,0,D
220980,4,KOR1,2004-04-24,Busan IPark,Gwangju Sangmu,0,0,0,D
220981,4,KOR1,2004-04-24,Ulsan Hyundai,Daejeon Citizen,0,0,0,D
220982,4,KOR1,2004-04-24,Daegu FC,Incheon United,5,0,5,W
220983,4,KOR1,2004-04-24,Seongnam FC,Suwon Bluewings,2,2,0,D
220984,4,KOR1,2004-04-24,Pohang Steelers,Jeonbuk FC,0,2,-2,L
220985,4,KOR1,2004-05-05,Incheon United,Ulsan Hyundai,2,3,-1,L
220986,4,KOR1,2004-05-05,Daejeon Citizen,Busan IPark,2,0,2,W
220987,4,KOR1,2004-05-05,Gwangju Sangmu,FC Seoul,0,1,-1,L
220988,4,KOR1,2004-05-05,Suwon Bluewings,Daegu FC,1,0,1,W
220989,4,KOR1,2004-05-05,Chunnam Dragons,Bucheon SK,0,0,0,D
220990,4,KOR1,2004-05-05,Jeonbuk FC,Seongnam FC,2,0,2,W
220991,4,KOR1,2004-05-08,Bucheon SK,Gwangju Sangmu,0,0,0,D
220992,4,KOR1,2004-05-08,FC Seoul,Daejeon Citizen,0,0,0,D
220993,4,KOR1,2004-05-08,Busan IPark,Incheon United,1,1,0,D
220994,4,KOR1,2004-05-08,Daegu FC,Jeonbuk FC,2,3,-1,L
220995,4,KOR1,2004-05-08,Seongnam FC,Pohang Steelers,1,2,-1,L
220996,4,KOR1,2004-05-09,Ulsan Hyundai,Suwon Bluewings,0,2,-2,L
220997,4,KOR1,2004-05-15,Daejeon Citizen,Bucheon SK,1,1,0,D
220998,4,KOR1,2004-05-15,Incheon United,FC Seoul,1,3,-2,L
220999,4,KOR1,2004-05-15,Pohang Steelers,Daegu FC,2,1,1,W
221000,4,KOR1,2004-05-16,Jeonbuk FC,Ulsan Hyundai,1,2,-1,L
221001,4,KOR1,2004-05-16,Suwon Bluewings,Busan IPark,1,2,-1,L
221002,4,KOR1,2004-05-16,Gwangju Sangmu,Chunnam Dragons,2,2,0,D
221003,4,KOR1,2004-05-23,Bucheon SK,Incheon United,0,0,0,D
221004,4,KOR1,2004-05-23,FC Seoul,Suwon Bluewings,1,0,1,W
221005,4,KOR1,2004-05-23,Busan IPark,Jeonbuk FC,0,0,0,D
221006,4,KOR1,2004-05-23,Daegu FC,Seongnam FC,2,3,-1,L
221007,4,KOR1,2004-05-23,Ulsan Hyundai,Pohang Steelers,0,1,-1,L
221008,4,KOR1,2004-05-23,Chunnam Dragons,Daejeon Citizen,3,1,2,W
221009,4,KOR1,2004-05-26,Incheon United,Chunnam Dragons,0,2,-2,L
221010,4,KOR1,2004-05-26,Pohang Steelers,Busan IPark,1,1,0,D
221011,4,KOR1,2004-05-26,Jeonbuk FC,FC Seoul,1,1,0,D
221012,4,KOR1,2004-05-26,Daejeon Citizen,Gwangju Sangmu,1,1,0,D
221013,4,KOR1,2004-05-26,Seongnam FC,Ulsan Hyundai,0,2,-2,L
221014,4,KOR1,2004-05-26,Suwon Bluewings,Bucheon SK,3,1,2,W
221015,4,KOR1,2004-05-30,Busan IPark,Seongnam FC,1,1,0,D
221016,4,KOR1,2004-05-30,Bucheon SK,Jeonbuk FC,0,3,-3,L
221017,4,KOR1,2004-05-30,FC Seoul,Pohang Steelers,1,1,0,D
221018,4,KOR1,2004-05-30,Ulsan Hyundai,Daegu FC,0,0,0,D
221019,4,KOR1,2004-05-30,Gwangju Sangmu,Incheon United,1,0,1,W
221020,4,KOR1,2004-05-30,Chunnam Dragons,Suwon Bluewings,2,2,0,D
221021,4,KOR1,2004-06-13,Incheon United,Daejeon Citizen,1,0,1,W
221022,4,KOR1,2004-06-13,Daegu FC,Busan IPark,1,0,1,W
221023,4,KOR1,2004-06-13,Jeonbuk FC,Chunnam Dragons,2,1,1,W
221024,4,KOR1,2004-06-13,Suwon Bluewings,Gwangju Sangmu,3,2,1,W
221025,4,KOR1,2004-06-13,Seongnam FC,FC Seoul,2,1,1,W
221026,4,KOR1,2004-06-13,Pohang Steelers,Bucheon SK,1,1,0,D
221027,4,KOR1,2004-06-20,Chunnam Dragons,Pohang Steelers,2,2,0,D
221028,4,KOR1,2004-06-20,Busan IPark,Ulsan Hyundai,0,0,0,D
221029,4,KOR1,2004-06-20,Daejeon Citizen,Suwon Bluewings,1,0,1,W
221030,4,KOR1,2004-06-20,Gwangju Sangmu,Jeonbuk FC,1,0,1,W
221031,4,KOR1,2004-06-20,Bucheon SK,Seongnam FC,1,1,0,D
221032,4,KOR1,2004-06-20,FC Seoul,Daegu FC,1,1,0,D
221033,4,KOR1,2004-06-27,Ulsan Hyundai,FC Seoul,2,1,1,W
221034,4,KOR1,2004-06-27,Daegu FC,Bucheon SK,1,2,-1,L
221035,4,KOR1,2004-06-27,Seongnam FC,Chunnam Dragons,1,0,1,W
221036,4,KOR1,2004-06-27,Pohang Steelers,Gwangju Sangmu,1,1,0,D
221037,4,KOR1,2004-06-27,Jeonbuk FC,Daejeon Citizen,1,1,0,D
221038,4,KOR1,2004-06-27,Suwon Bluewings,Incheon United,3,2,1,W
221039,4,KOR1,2004-08-29,Ulsan Hyundai,Busan IPark,0,0,0,D
221040,4,KOR1,2004-08-29,Daegu FC,FC Seoul,2,2,0,D
221041,4,KOR1,2004-08-29,Seongnam FC,Bucheon SK,1,1,0,D
221042,4,KOR1,2004-08-29,Pohang Steelers,Chunnam Dragons,1,0,1,W
221043,4,KOR1,2004-08-29,Jeonbuk FC,Gwangju Sangmu,0,0,0,D
221044,4,KOR1,2004-08-29,Suwon Bluewings,Daejeon Citizen,1,2,-1,L
221045,4,KOR1,2004-09-01,Daejeon Citizen,Incheon United,0,1,-1,L
221046,4,KOR1,2004-09-01,Gwangju Sangmu,Suwon Bluewings,1,0,1,W
221047,4,KOR1,2004-09-01,Chunnam Dragons,Jeonbuk FC,0,0,0,D
221048,4,KOR1,2004-09-01,Bucheon SK,Pohang Steelers,0,0,0,D
221049,4,KOR1,2004-09-01,FC Seoul,Seongnam FC,2,0,2,W
221050,4,KOR1,2004-09-01,Busan IPark,Daegu FC,2,1,1,W
221051,4,KOR1,2004-09-07,Jeonbuk FC,Bucheon SK,3,1,2,W
221052,4,KOR1,2004-09-11,Daegu FC,Ulsan Hyundai,1,0,1,W
221053,4,KOR1,2004-09-11,Seongnam FC,Busan IPark,1,1,0,D
221054,4,KOR1,2004-09-11,Suwon Bluewings,Chunnam Dragons,2,1,1,W
221055,4,KOR1,2004-09-11,Pohang Steelers,FC Seoul,0,1,-1,L
221056,4,KOR1,2004-09-12,Incheon United,Gwangju Sangmu,0,0,0,D
221057,4,KOR1,2004-09-19,Gwangju Sangmu,Daejeon Citizen,1,1,0,D
221058,4,KOR1,2004-09-19,Bucheon SK,Suwon Bluewings,1,1,0,D
221059,4,KOR1,2004-09-19,Busan IPark,Pohang Steelers,1,1,0,D
221060,4,KOR1,2004-09-19,Chunnam Dragons,Incheon United,2,1,1,W
221061,4,KOR1,2004-09-26,FC Seoul,Jeonbuk FC,0,0,0,D
221062,4,KOR1,2004-09-26,Ulsan Hyundai,Seongnam FC,2,1,1,W
221063,4,KOR1,2004-10-03,Incheon United,Bucheon SK,3,1,2,W
221064,4,KOR1,2004-10-03,Daejeon Citizen,Chunnam Dragons,0,2,-2,L
221065,4,KOR1,2004-10-03,Seongnam FC,Daegu FC,1,0,1,W
221066,4,KOR1,2004-10-03,Pohang Steelers,Ulsan Hyundai,0,1,-1,L
221067,4,KOR1,2004-10-03,Jeonbuk FC,Busan IPark,2,0,2,W
221068,4,KOR1,2004-10-03,Suwon Bluewings,FC Seoul,1,0,1,W
221069,4,KOR1,2004-10-06,Chunnam Dragons,Gwangju Sangmu,1,0,1,W
221070,4,KOR1,2004-10-06,Bucheon SK,Daejeon Citizen,1,0,1,W
221071,4,KOR1,2004-10-06,FC Seoul,Incheon United,1,0,1,W
221072,4,KOR1,2004-10-06,Busan IPark,Suwon Bluewings,0,1,-1,L
221073,4,KOR1,2004-10-06,Ulsan Hyundai,Jeonbuk FC,1,0,1,W
221074,4,KOR1,2004-10-09,Daegu FC,Pohang Steelers,1,0,1,W
221075,4,KOR1,2004-10-16,Incheon United,Busan IPark,2,2,0,D
221076,4,KOR1,2004-10-16,Daejeon Citizen,FC Seoul,1,0,1,W
221077,4,KOR1,2004-10-16,Gwangju Sangmu,Bucheon SK,0,1,-1,L
221078,4,KOR1,2004-10-16,Pohang Steelers,Seongnam FC,1,1,0,D
221079,4,KOR1,2004-10-16,Jeonbuk FC,Daegu FC,0,2,-2,L
221080,4,KOR1,2004-10-16,Suwon Bluewings,Ulsan Hyundai,1,0,1,W
221081,4,KOR1,2004-10-30,Ulsan Hyundai,Incheon United,2,1,1,W
221082,4,KOR1,2004-10-31,Bucheon SK,Chunnam Dragons,1,1,0,D
221083,4,KOR1,2004-10-31,FC Seoul,Gwangju Sangmu,1,0,1,W
221084,4,KOR1,2004-10-31,Busan IPark,Daejeon Citizen,2,0,2,W
221085,4,KOR1,2004-10-31,Daegu FC,Suwon Bluewings,0,1,-1,L
221086,4,KOR1,2004-10-31,Seongnam FC,Jeonbuk FC,1,0,1,W
221087,4,KOR1,2004-11-03,Incheon United,Daegu FC,1,1,0,D
221088,4,KOR1,2004-11-03,Daejeon Citizen,Ulsan Hyundai,1,3,-2,L
