,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
249499,6,MAR1,2006-09-16,Ittihad Khemisset,FAR de Rabat,1,1,0,D
249500,6,MAR1,2006-09-16,Hassania US Agadir,Wydad AC,1,2,-1,L
249501,6,MAR1,2006-09-17,Moghreb de Tetouan,Maghrib de Fes,4,3,1,W
249502,6,MAR1,2006-09-17,Difaa Jadida,Olympique de Safi,1,0,1,W
249503,6,MAR1,2006-09-17,AS Sale,Olympique de Khouribga,1,3,-2,L
249504,6,MAR1,2006-09-17,Mouloudia Oujda,Ittihad Tanger,1,1,0,D
249505,6,MAR1,2006-09-17,Raja Casablanca,JS El Massira,1,0,1,W
249506,6,MAR1,2006-09-23,Kawkab AC Marrakech,Hassania US Agadir,0,0,0,D
249507,6,MAR1,2006-09-23,Wydad AC,AS Sale,1,1,0,D
249508,6,MAR1,2006-09-23,Olympique de Safi,Ittihad Khemisset,0,2,-2,L
249509,6,MAR1,2006-09-24,JS El Massira,Moghreb de Tetouan,1,1,0,D
249510,6,MAR1,2006-09-24,Ittihad Tanger,COD Meknes,0,0,0,D
249511,6,MAR1,2006-09-24,Maghrib de Fes,Mouloudia Oujda,1,2,-1,L
249512,6,MAR1,2006-09-30,COD Meknes,Kawkab AC Marrakech,0,1,-1,L
249513,6,MAR1,2006-09-30,Olympique de Khouribga,Difaa Jadida,1,0,1,W
249514,6,MAR1,2006-10-01,FAR de Rabat,Raja Casablanca,1,0,1,W
249515,6,MAR1,2006-10-07,Maghrib de Fes,JS El Massira,1,0,1,W
249516,6,MAR1,2006-10-07,Raja Casablanca,Olympique de Safi,2,1,1,W
249517,6,MAR1,2006-10-07,Hassania US Agadir,Ittihad Tanger,2,1,1,W
249518,6,MAR1,2006-10-08,Difaa Jadida,Wydad AC,0,0,0,D
249519,6,MAR1,2006-10-08,AS Sale,Kawkab AC Marrakech,0,1,-1,L
249520,6,MAR1,2006-10-08,Moghreb de Tetouan,FAR de Rabat,1,0,1,W
249521,6,MAR1,2006-10-08,Mouloudia Oujda,COD Meknes,0,1,-1,L
249522,6,MAR1,2006-10-14,Wydad AC,Ittihad Khemisset,3,1,2,W
249523,6,MAR1,2006-10-14,Kawkab AC Marrakech,Difaa Jadida,0,1,-1,L
249524,6,MAR1,2006-10-14,Ittihad Tanger,AS Sale,1,1,0,D
249525,6,MAR1,2006-10-15,JS El Massira,Mouloudia Oujda,4,1,3,W
249526,6,MAR1,2006-10-15,Olympique de Safi,Moghreb de Tetouan,1,2,-1,L
249527,6,MAR1,2006-10-15,COD Meknes,Hassania US Agadir,1,0,1,W
249528,6,MAR1,2006-10-18,Ittihad Khemisset,Olympique de Khouribga,0,0,0,D
249529,6,MAR1,2006-10-18,FAR de Rabat,Maghrib de Fes,4,1,3,W
