,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
194444,2,MEX1,2002-08-03,Atletico Celaya,Pumas de la UNAM,0,1,-1,L
194445,2,MEX1,2002-08-03,Deportivo Toluca,Club Necaxa,3,0,3,W
194446,2,MEX1,2002-08-03,Atletico San Luis,Monarcas Morelia,3,4,-1,L
194447,2,MEX1,2002-08-03,Cruz Azul,Tecos FC,1,2,-1,L
194448,2,MEX1,2002-08-03,Jaguares Chiapas,Tigres de la Universidad Autonoma,1,3,-2,L
194449,2,MEX1,2002-08-03,Atlas Guadalajara,Santos Laguna,1,2,-1,L
194450,2,MEX1,2002-08-03,CF Monterrey,CF Atlante,2,0,2,W
194451,2,MEX1,2002-08-04,Puebla FC,Deportivo Guadalajara,1,1,0,D
194452,2,MEX1,2002-08-04,Gallos Blancos Queretaro FC,San Luis FC,1,1,0,D
194453,2,MEX1,2002-08-10,Tecos FC,Atletico Celaya,3,2,1,W
194454,2,MEX1,2002-08-10,Monarcas Morelia,CF Monterrey,2,0,2,W
194455,2,MEX1,2002-08-10,San Luis FC,Puebla FC,1,0,1,W
194456,2,MEX1,2002-08-11,Pumas de la UNAM,Atletico San Luis,2,1,1,W
194457,2,MEX1,2002-08-11,CF Pachuca,Jaguares Chiapas,3,3,0,D
194458,2,MEX1,2002-08-11,Deportivo Guadalajara,Club de Futbol America,0,1,-1,L
194459,2,MEX1,2002-08-11,Club Necaxa,Atlas Guadalajara,2,3,-1,L
194460,2,MEX1,2002-08-11,Santos Laguna,Gallos Blancos Queretaro FC,0,0,0,D
194461,2,MEX1,2002-08-11,CF Atlante,Deportivo Toluca,2,3,-1,L
194462,2,MEX1,2002-08-11,Tigres de la Universidad Autonoma,Cruz Azul,0,1,-1,L
194463,2,MEX1,2002-08-17,Deportivo Toluca,Monarcas Morelia,4,1,3,W
194464,2,MEX1,2002-08-17,Atletico Celaya,Atletico San Luis,1,1,0,D
194465,2,MEX1,2002-08-17,Jaguares Chiapas,Deportivo Guadalajara,1,1,0,D
194466,2,MEX1,2002-08-17,CF Monterrey,Pumas de la UNAM,1,2,-1,L
194467,2,MEX1,2002-08-17,Atlas Guadalajara,CF Atlante,2,1,1,W
194468,2,MEX1,2002-08-18,Gallos Blancos Queretaro FC,Club Necaxa,1,3,-2,L
194469,2,MEX1,2002-08-18,Puebla FC,Santos Laguna,3,1,2,W
194470,2,MEX1,2002-08-18,Tecos FC,Tigres de la Universidad Autonoma,1,3,-2,L
194471,2,MEX1,2002-08-18,Club de Futbol America,San Luis FC,2,1,1,W
194472,2,MEX1,2002-08-24,Atletico San Luis,CF Monterrey,1,1,0,D
194473,2,MEX1,2002-08-24,Monarcas Morelia,Atlas Guadalajara,2,0,2,W
194474,2,MEX1,2002-08-24,San Luis FC,Jaguares Chiapas,0,1,-1,L
194475,2,MEX1,2002-08-24,Tigres de la Universidad Autonoma,Atletico Celaya,6,1,5,W
194476,2,MEX1,2002-08-25,CF Pachuca,Tecos FC,0,2,-2,L
194477,2,MEX1,2002-08-25,Deportivo Guadalajara,Cruz Azul,1,1,0,D
194478,2,MEX1,2002-08-25,CF Atlante,Gallos Blancos Queretaro FC,2,1,1,W
194479,2,MEX1,2002-08-25,Pumas de la UNAM,Deportivo Toluca,1,4,-3,L
194480,2,MEX1,2002-08-25,Club Necaxa,Puebla FC,2,0,2,W
194481,2,MEX1,2002-08-25,Santos Laguna,Club de Futbol America,0,1,-1,L
194482,2,MEX1,2002-08-31,Deportivo Toluca,Atletico San Luis,1,1,0,D
194483,2,MEX1,2002-08-31,Atletico Celaya,CF Monterrey,1,0,1,W
194484,2,MEX1,2002-08-31,Jaguares Chiapas,Santos Laguna,2,0,2,W
194485,2,MEX1,2002-08-31,Cruz Azul,San Luis FC,0,1,-1,L
194486,2,MEX1,2002-08-31,Club de Futbol America,Club Necaxa,2,1,1,W
194487,2,MEX1,2002-08-31,Tigres de la Universidad Autonoma,CF Pachuca,1,1,0,D
