,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
270954,8,NOR1,2008-03-29,Valerenga IF,Aalesunds FK,1,0,1,W
270955,8,NOR1,2008-03-30,Bodo/Glimt,Hamarkameratene,2,0,2,W
270956,8,NOR1,2008-03-30,Lillestrom SK,Tromso IL,1,1,0,D
270957,8,NOR1,2008-03-30,Molde FK,Stabaek IF,0,0,0,D
270958,8,NOR1,2008-03-30,Viking Stavanger,Stromsgodset IF,1,0,1,W
270959,8,NOR1,2008-03-30,Brann Bergen,Fredrikstad FK,4,2,2,W
270960,8,NOR1,2008-03-31,Rosenborg Trondheim,Lyn Oslo,2,1,1,W
270961,8,NOR1,2008-04-05,Aalesunds FK,Brann Bergen,4,2,2,W
270962,8,NOR1,2008-04-06,Fredrikstad FK,Molde FK,2,1,1,W
270963,8,NOR1,2008-04-06,Hamarkameratene,Viking Stavanger,3,2,1,W
270964,8,NOR1,2008-04-06,Lyn Oslo,Bodo/Glimt,3,1,2,W
270965,8,NOR1,2008-04-06,Tromso IL,Valerenga IF,2,0,2,W
270966,8,NOR1,2008-04-06,Stabaek IF,Lillestrom SK,4,2,2,W
270967,8,NOR1,2008-04-07,Stromsgodset IF,Rosenborg Trondheim,3,2,1,W
270968,8,NOR1,2008-04-12,Rosenborg Trondheim,Fredrikstad FK,1,2,-1,L
270969,8,NOR1,2008-04-13,Bodo/Glimt,Stabaek IF,1,1,0,D
270970,8,NOR1,2008-04-13,Lyn Oslo,Hamarkameratene,2,1,1,W
270971,8,NOR1,2008-04-13,Molde FK,Tromso IL,0,0,0,D
270972,8,NOR1,2008-04-13,Viking Stavanger,Aalesunds FK,2,1,1,W
270973,8,NOR1,2008-04-13,Lillestrom SK,Valerenga IF,0,3,-3,L
270974,8,NOR1,2008-04-14,Brann Bergen,Stromsgodset IF,1,1,0,D
270975,8,NOR1,2008-04-19,Stabaek IF,Brann Bergen,3,0,3,W
270976,8,NOR1,2008-04-20,Lillestrom SK,Molde FK,1,1,0,D
270977,8,NOR1,2008-04-20,Stromsgodset IF,Lyn Oslo,2,1,1,W
270978,8,NOR1,2008-04-20,Tromso IL,Viking Stavanger,0,1,-1,L
270979,8,NOR1,2008-04-20,Aalesunds FK,Hamarkameratene,5,0,5,W
270980,8,NOR1,2008-04-20,Valerenga IF,Rosenborg Trondheim,1,1,0,D
270981,8,NOR1,2008-04-21,Fredrikstad FK,Bodo/Glimt,2,0,2,W
270982,8,NOR1,2008-04-26,Rosenborg Trondheim,Tromso IL,0,1,-1,L
270983,8,NOR1,2008-04-27,Bodo/Glimt,Aalesunds FK,2,1,1,W
270984,8,NOR1,2008-04-27,Hamarkameratene,Stabaek IF,0,2,-2,L
270985,8,NOR1,2008-04-27,Lyn Oslo,Fredrikstad FK,0,0,0,D
270986,8,NOR1,2008-04-27,Molde FK,Stromsgodset IF,0,0,0,D
270987,8,NOR1,2008-04-27,Brann Bergen,Lillestrom SK,2,1,1,W
270988,8,NOR1,2008-04-28,Viking Stavanger,Valerenga IF,2,3,-1,L
270989,8,NOR1,2008-05-03,Tromso IL,Brann Bergen,0,0,0,D
270990,8,NOR1,2008-05-04,Fredrikstad FK,Hamarkameratene,2,1,1,W
270991,8,NOR1,2008-05-04,Stromsgodset IF,Bodo/Glimt,1,2,-1,L
270992,8,NOR1,2008-05-04,Valerenga IF,Molde FK,1,2,-1,L
270993,8,NOR1,2008-05-04,Aalesunds FK,Lyn Oslo,0,4,-4,L
270994,8,NOR1,2008-05-04,Stabaek IF,Rosenborg Trondheim,1,0,1,W
270995,8,NOR1,2008-05-05,Lillestrom SK,Viking Stavanger,2,0,2,W
270996,8,NOR1,2008-05-16,Bodo/Glimt,Tromso IL,2,0,2,W
270997,8,NOR1,2008-05-16,Fredrikstad FK,Aalesunds FK,5,0,5,W
270998,8,NOR1,2008-05-16,Lyn Oslo,Stabaek IF,0,2,-2,L
270999,8,NOR1,2008-05-16,Molde FK,Viking Stavanger,2,3,-1,L
271000,8,NOR1,2008-05-16,Rosenborg Trondheim,Lillestrom SK,4,0,4,W
271001,8,NOR1,2008-05-16,Brann Bergen,Valerenga IF,1,0,1,W
271002,8,NOR1,2008-05-19,Hamarkameratene,Stromsgodset IF,1,1,0,D
271003,8,NOR1,2008-05-24,Molde FK,Rosenborg Trondheim,1,2,-1,L
271004,8,NOR1,2008-05-25,Lillestrom SK,Hamarkameratene,0,0,0,D
271005,8,NOR1,2008-05-25,Stromsgodset IF,Fredrikstad FK,1,0,1,W
271006,8,NOR1,2008-05-25,Tromso IL,Lyn Oslo,2,0,2,W
271007,8,NOR1,2008-05-25,Valerenga IF,Bodo/Glimt,0,0,0,D
271008,8,NOR1,2008-05-25,Viking Stavanger,Brann Bergen,1,2,-1,L
271009,8,NOR1,2008-05-26,Stabaek IF,Aalesunds FK,2,1,1,W
271010,8,NOR1,2008-05-31,Brann Bergen,Molde FK,3,4,-1,L
271011,8,NOR1,2008-06-01,Fredrikstad FK,Stabaek IF,0,3,-3,L
271012,8,NOR1,2008-06-01,Rosenborg Trondheim,Viking Stavanger,2,0,2,W
271013,8,NOR1,2008-06-01,Aalesunds FK,Stromsgodset IF,3,1,2,W
271014,8,NOR1,2008-06-01,Lyn Oslo,Valerenga IF,2,0,2,W
271015,8,NOR1,2008-06-02,Bodo/Glimt,Lillestrom SK,1,0,1,W
271016,8,NOR1,2008-06-04,Rosenborg Trondheim,Brann Bergen,1,1,0,D
271017,8,NOR1,2008-06-05,Valerenga IF,Hamarkameratene,3,0,3,W
271018,8,NOR1,2008-06-07,Stromsgodset IF,Stabaek IF,0,0,0,D
271019,8,NOR1,2008-06-08,Lillestrom SK,Aalesunds FK,3,0,3,W
271020,8,NOR1,2008-06-08,Molde FK,Lyn Oslo,0,1,-1,L
271021,8,NOR1,2008-06-08,Tromso IL,Fredrikstad FK,0,1,-1,L
271022,8,NOR1,2008-06-08,Viking Stavanger,Bodo/Glimt,2,0,2,W
271023,8,NOR1,2008-06-27,Bodo/Glimt,Rosenborg Trondheim,1,1,0,D
271024,8,NOR1,2008-06-28,Hamarkameratene,Brann Bergen,0,0,0,D
