,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
244554,6,NZL1,2006-10-14,Canterbury United,Hawkes Bay United FC,2,1,1,W
244555,6,NZL1,2006-10-14,Auckland City FC,Otago United,2,2,0,D
244556,6,NZL1,2006-10-15,Team Wellington,YoungHeart Manawatu,1,2,-1,L
244557,6,NZL1,2006-10-15,Waikato FC,Waitakere United,1,3,-2,L
244558,6,NZL1,2006-10-21,YoungHeart Manawatu,Auckland City FC,1,0,1,W
244559,6,NZL1,2006-10-21,Waitakere United,Canterbury United,2,1,1,W
244560,6,NZL1,2006-10-21,Otago United,Waikato FC,1,1,0,D
244561,6,NZL1,2006-10-21,Hawkes Bay United FC,Team Wellington,0,0,0,D
244562,6,NZL1,2006-10-23,YoungHeart Manawatu,Otago United,4,1,3,W
244563,6,NZL1,2006-10-23,Canterbury United,Waikato FC,1,1,0,D
244564,6,NZL1,2006-10-23,Auckland City FC,Hawkes Bay United FC,6,2,4,W
244565,6,NZL1,2006-10-23,Team Wellington,Waitakere United,1,1,0,D
244566,6,NZL1,2006-10-28,Hawkes Bay United FC,YoungHeart Manawatu,1,1,0,D
244567,6,NZL1,2006-10-28,Otago United,Canterbury United,2,1,1,W
244568,6,NZL1,2006-10-29,Waikato FC,Team Wellington,0,5,-5,L
244569,6,NZL1,2006-10-29,Waitakere United,Auckland City FC,0,0,0,D
244570,6,NZL1,2006-11-04,Auckland City FC,Waikato FC,3,2,1,W
244571,6,NZL1,2006-11-04,Hawkes Bay United FC,Otago United,0,2,-2,L
244572,6,NZL1,2006-11-04,Team Wellington,Canterbury United,0,0,0,D
244573,6,NZL1,2006-11-05,YoungHeart Manawatu,Waitakere United,0,1,-1,L
244574,6,NZL1,2006-11-11,Canterbury United,Auckland City FC,1,1,0,D
244575,6,NZL1,2006-11-11,Team Wellington,Otago United,2,1,1,W
244576,6,NZL1,2006-11-11,Waitakere United,Hawkes Bay United FC,2,1,1,W
244577,6,NZL1,2006-11-12,Waikato FC,YoungHeart Manawatu,1,6,-5,L
244578,6,NZL1,2006-11-18,Auckland City FC,Team Wellington,1,0,1,W
244579,6,NZL1,2006-11-18,Hawkes Bay United FC,Waikato FC,2,1,1,W
244580,6,NZL1,2006-11-19,Otago United,Waitakere United,1,2,-1,L
244581,6,NZL1,2006-11-19,YoungHeart Manawatu,Canterbury United,6,2,4,W
244582,6,NZL1,2006-11-25,Hawkes Bay United FC,Canterbury United,1,2,-1,L
244583,6,NZL1,2006-11-26,Otago United,Auckland City FC,1,5,-4,L
244584,6,NZL1,2006-11-26,Waitakere United,Waikato FC,1,0,1,W
244585,6,NZL1,2006-11-26,YoungHeart Manawatu,Team Wellington,1,1,0,D
244586,6,NZL1,2006-12-02,Canterbury United,Waitakere United,1,0,1,W
244587,6,NZL1,2006-12-02,Team Wellington,Hawkes Bay United FC,3,2,1,W
244588,6,NZL1,2006-12-03,Auckland City FC,YoungHeart Manawatu,2,2,0,D
244589,6,NZL1,2006-12-03,Waikato FC,Otago United,0,0,0,D
244590,6,NZL1,2006-12-09,Otago United,YoungHeart Manawatu,0,5,-5,L
244591,6,NZL1,2006-12-10,Waikato FC,Canterbury United,0,4,-4,L
244592,6,NZL1,2006-12-10,Waitakere United,Team Wellington,1,0,1,W
244593,6,NZL1,2006-12-16,Canterbury United,Otago United,1,0,1,W
244594,6,NZL1,2006-12-16,Team Wellington,Waikato FC,0,0,0,D
244595,6,NZL1,2006-12-17,YoungHeart Manawatu,Hawkes Bay United FC,3,2,1,W
244596,6,NZL1,2006-12-20,Auckland City FC,Waitakere United,4,3,1,W
244597,6,NZL1,2007-01-06,Canterbury United,Team Wellington,4,1,3,W
244598,6,NZL1,2007-01-06,Otago United,Hawkes Bay United FC,1,1,0,D
244599,6,NZL1,2007-01-06,Waitakere United,YoungHeart Manawatu,2,0,2,W
244600,6,NZL1,2007-01-07,Waikato FC,Auckland City FC,1,1,0,D
244601,6,NZL1,2007-01-10,Hawkes Bay United FC,Auckland City FC,1,2,-1,L
244602,6,NZL1,2007-01-13,Auckland City FC,Canterbury United,2,0,2,W
244603,6,NZL1,2007-01-13,Hawkes Bay United FC,Waitakere United,1,3,-2,L
244604,6,NZL1,2007-01-13,Otago United,Team Wellington,1,5,-4,L
244605,6,NZL1,2007-01-14,YoungHeart Manawatu,Waikato FC,5,2,3,W
244606,6,NZL1,2007-01-20,Canterbury United,YoungHeart Manawatu,1,3,-2,L
244607,6,NZL1,2007-01-20,Waitakere United,Otago United,5,1,4,W
244608,6,NZL1,2007-01-21,Waikato FC,Hawkes Bay United FC,2,0,2,W
244609,6,NZL1,2007-01-27,Auckland City FC,YoungHeart Manawatu,5,3,2,W
244610,6,NZL1,2007-01-27,Canterbury United,Waitakere United,2,1,1,W
244611,6,NZL1,2007-01-27,Waikato FC,Otago United,1,0,1,W
244612,6,NZL1,2007-01-28,Team Wellington,Hawkes Bay United FC,7,0,7,W
244613,6,NZL1,2007-02-03,Hawkes Bay United FC,Canterbury United,2,1,1,W
