,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
143312,0,POR1,2000-08-18,Beira Mar,Boavista,2,4,-2,L
143313,0,POR1,2000-08-19,Porto,Benfica,2,0,2,W
143314,0,POR1,2000-08-19,Sporting Braga,Guimaraes,1,0,1,W
143315,0,POR1,2000-08-20,Alverca,Maritimo,0,0,0,D
143316,0,POR1,2000-08-20,Aves,Belenenses,0,1,-1,L
143317,0,POR1,2000-08-20,Gil Vicente,Campomaiorense,1,1,0,D
143318,0,POR1,2000-08-20,Salgueiros,Pacos Ferreira,1,0,1,W
143319,0,POR1,2000-08-20,Sporting Lisbon,Farense,1,0,1,W
143320,0,POR1,2000-08-20,Leiria,Estrela Amadora,2,0,2,W
143321,0,POR1,2000-08-25,Estrela Amadora,Sporting Braga,0,1,-1,L
143322,0,POR1,2000-08-26,Campomaiorense,Salgueiros,2,3,-1,L
143323,0,POR1,2000-08-26,Guimaraes,Sporting Lisbon,1,4,-3,L
143324,0,POR1,2000-08-27,Belenenses,Porto,2,0,2,W
143325,0,POR1,2000-08-27,Pacos Ferreira,Aves,2,0,2,W
143326,0,POR1,2000-08-27,Benfica,Beira Mar,4,1,3,W
143327,0,POR1,2000-08-27,Farense,Alverca,2,0,2,W
143328,0,POR1,2000-08-28,Boavista,Leiria,4,0,4,W
143329,0,POR1,2000-09-02,Maritimo,Gil Vicente,1,0,1,W
143330,0,POR1,2000-09-08,Sporting Braga,Sporting Lisbon,3,2,1,W
143331,0,POR1,2000-09-09,Porto,Pacos Ferreira,2,1,1,W
143332,0,POR1,2000-09-09,Leiria,Benfica,1,1,0,D
143333,0,POR1,2000-09-10,Aves,Campomaiorense,2,2,0,D
143334,0,POR1,2000-09-10,Beira Mar,Belenenses,2,2,0,D
143335,0,POR1,2000-09-10,Estrela Amadora,Boavista,0,0,0,D
143336,0,POR1,2000-09-10,Gil Vicente,Farense,0,0,0,D
143337,0,POR1,2000-09-10,Salgueiros,Maritimo,1,0,1,W
143338,0,POR1,2000-09-11,Alverca,Guimaraes,1,3,-2,L
143339,0,POR1,2000-09-15,Guimaraes,Gil Vicente,3,1,2,W
143340,0,POR1,2000-09-16,Sporting Lisbon,Alverca,1,1,0,D
143341,0,POR1,2000-09-17,Belenenses,Leiria,1,1,0,D
143342,0,POR1,2000-09-17,Maritimo,Aves,2,1,1,W
143343,0,POR1,2000-09-17,Pacos Ferreira,Beira Mar,3,2,1,W
143344,0,POR1,2000-09-17,Farense,Salgueiros,2,1,1,W
143345,0,POR1,2000-09-18,Boavista,Sporting Braga,1,2,-1,L
143346,0,POR1,2000-09-18,Campomaiorense,Porto,0,5,-5,L
143347,0,POR1,2000-09-18,Benfica,Estrela Amadora,2,1,1,W
143348,0,POR1,2000-09-22,Salgueiros,Guimaraes,2,1,1,W
143349,0,POR1,2000-09-23,Boavista,Benfica,1,0,1,W
143350,0,POR1,2000-09-23,Gil Vicente,Sporting Lisbon,0,2,-2,L
143351,0,POR1,2000-09-24,Aves,Farense,3,1,2,W
143352,0,POR1,2000-09-24,Beira Mar,Campomaiorense,0,0,0,D
143353,0,POR1,2000-09-24,Estrela Amadora,Belenenses,0,2,-2,L
143354,0,POR1,2000-09-24,Porto,Maritimo,1,0,1,W
143355,0,POR1,2000-09-24,Sporting Braga,Alverca,1,1,0,D
143356,0,POR1,2000-09-24,Leiria,Pacos Ferreira,1,4,-3,L
143357,0,POR1,2000-09-30,Guimaraes,Aves,2,2,0,D
143358,0,POR1,2000-10-01,Alverca,Gil Vicente,2,0,2,W
143359,0,POR1,2000-10-01,Campomaiorense,Leiria,1,1,0,D
143360,0,POR1,2000-10-01,Maritimo,Beira Mar,2,1,1,W
143361,0,POR1,2000-10-01,Pacos Ferreira,Estrela Amadora,4,1,3,W
143362,0,POR1,2000-10-01,Sporting Lisbon,Salgueiros,2,0,2,W
143363,0,POR1,2000-10-02,Belenenses,Boavista,2,2,0,D
143364,0,POR1,2000-10-02,Benfica,Sporting Braga,2,2,0,D
143365,0,POR1,2000-10-02,Farense,Porto,1,3,-2,L
143366,0,POR1,2000-10-13,Boavista,Pacos Ferreira,1,0,1,W
143367,0,POR1,2000-10-14,Aves,Sporting Lisbon,3,4,-1,L
143368,0,POR1,2000-10-14,Sporting Braga,Gil Vicente,3,1,2,W
143369,0,POR1,2000-10-14,Leiria,Maritimo,1,0,1,W
143370,0,POR1,2000-10-15,Beira Mar,Farense,0,2,-2,L
143371,0,POR1,2000-10-15,Estrela Amadora,Campomaiorense,4,0,4,W
143372,0,POR1,2000-10-15,Porto,Guimaraes,2,0,2,W
143373,0,POR1,2000-10-15,Benfica,Belenenses,1,0,1,W
