,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
158148,0,RUS1,2000-03-24,Lokomotiv Moscow,CSKA Moscow,1,0,1,W
158149,0,RUS1,2000-03-25,Fakel Voronezh,Rostselmash Rostov,1,1,0,D
158150,0,RUS1,2000-03-25,Spartak Moscow,Alania Vladikavkaz,3,1,2,W
158151,0,RUS1,2000-03-25,Krylia Sovetov,Uralan Elista,1,0,1,W
158152,0,RUS1,2000-03-25,Dinamo Moscow,FK Saturn,2,0,2,W
158153,0,RUS1,2000-03-25,Lokomotiv Nizhni Novgorod,Chernomorets Novorossisk,0,0,0,D
158154,0,RUS1,2000-03-25,Rotor Volgograd,Zenit St Petersburg,2,0,2,W
158155,0,RUS1,2000-04-01,Alania Vladikavkaz,Fakel Voronezh,1,1,0,D
158156,0,RUS1,2000-04-01,Rostselmash Rostov,Rotor Volgograd,1,1,0,D
158157,0,RUS1,2000-04-01,Zenit St Petersburg,Anzhi Makhachkala,1,0,1,W
158158,0,RUS1,2000-04-01,Torpedo Moscow,Lokomotiv Nizhni Novgorod,2,1,1,W
158159,0,RUS1,2000-04-01,Chernomorets Novorossisk,Dinamo Moscow,4,0,4,W
158160,0,RUS1,2000-04-01,Lokomotiv Moscow,Krylia Sovetov,2,0,2,W
158161,0,RUS1,2000-04-01,CSKA Moscow,FK Saturn,0,0,0,D
158162,0,RUS1,2000-04-01,Uralan Elista,Spartak Moscow,0,2,-2,L
158163,0,RUS1,2000-04-07,Dinamo Moscow,Torpedo Moscow,0,0,0,D
158164,0,RUS1,2000-04-08,Lokomotiv Nizhni Novgorod,Zenit St Petersburg,1,2,-1,L
158165,0,RUS1,2000-04-08,Anzhi Makhachkala,Rostselmash Rostov,1,0,1,W
158166,0,RUS1,2000-04-08,Rotor Volgograd,Alania Vladikavkaz,2,1,1,W
158167,0,RUS1,2000-04-08,Fakel Voronezh,Uralan Elista,1,1,0,D
158168,0,RUS1,2000-04-08,Spartak Moscow,Lokomotiv Moscow,0,0,0,D
158169,0,RUS1,2000-04-08,Krylia Sovetov,CSKA Moscow,2,0,2,W
158170,0,RUS1,2000-04-08,FK Saturn,Chernomorets Novorossisk,0,0,0,D
158171,0,RUS1,2000-04-15,CSKA Moscow,Chernomorets Novorossisk,0,3,-3,L
158172,0,RUS1,2000-04-15,Uralan Elista,Rotor Volgograd,2,0,2,W
158173,0,RUS1,2000-04-15,Alania Vladikavkaz,Anzhi Makhachkala,2,3,-1,L
158174,0,RUS1,2000-04-15,Rostselmash Rostov,Lokomotiv Nizhni Novgorod,0,0,0,D
158175,0,RUS1,2000-04-15,Zenit St Petersburg,Dinamo Moscow,0,1,-1,L
158176,0,RUS1,2000-04-15,Torpedo Moscow,FK Saturn,2,0,2,W
158177,0,RUS1,2000-04-15,Krylia Sovetov,Spartak Moscow,1,2,-1,L
158178,0,RUS1,2000-04-15,Lokomotiv Moscow,Fakel Voronezh,1,0,1,W
158179,0,RUS1,2000-04-22,Chernomorets Novorossisk,Torpedo Moscow,1,0,1,W
158180,0,RUS1,2000-04-22,FK Saturn,Zenit St Petersburg,1,0,1,W
158181,0,RUS1,2000-04-22,Dinamo Moscow,Rostselmash Rostov,0,0,0,D
158182,0,RUS1,2000-04-22,Lokomotiv Nizhni Novgorod,Alania Vladikavkaz,1,1,0,D
158183,0,RUS1,2000-04-22,Anzhi Makhachkala,Uralan Elista,2,1,1,W
158184,0,RUS1,2000-04-22,Spartak Moscow,CSKA Moscow,1,0,1,W
158185,0,RUS1,2000-04-22,Rotor Volgograd,Lokomotiv Moscow,0,4,-4,L
158186,0,RUS1,2000-04-22,Fakel Voronezh,Krylia Sovetov,3,2,1,W
158187,0,RUS1,2000-04-30,CSKA Moscow,Torpedo Moscow,0,2,-2,L
158188,0,RUS1,2000-04-30,Lokomotiv Moscow,Anzhi Makhachkala,1,0,1,W
158189,0,RUS1,2000-04-30,Uralan Elista,Lokomotiv Nizhni Novgorod,0,0,0,D
158190,0,RUS1,2000-04-30,Alania Vladikavkaz,Dinamo Moscow,0,1,-1,L
158191,0,RUS1,2000-04-30,Rostselmash Rostov,FK Saturn,2,0,2,W
158192,0,RUS1,2000-04-30,Zenit St Petersburg,Chernomorets Novorossisk,0,0,0,D
158193,0,RUS1,2000-04-30,Spartak Moscow,Fakel Voronezh,3,1,2,W
158194,0,RUS1,2000-04-30,Krylia Sovetov,Rotor Volgograd,0,1,-1,L
158195,0,RUS1,2000-05-03,Anzhi Makhachkala,Torpedo Moscow,0,0,0,D
158196,0,RUS1,2000-05-07,Fakel Voronezh,CSKA Moscow,2,1,1,W
158197,0,RUS1,2000-05-07,Torpedo Moscow,Zenit St Petersburg,1,1,0,D
158198,0,RUS1,2000-05-07,Chernomorets Novorossisk,Rostselmash Rostov,1,2,-1,L
158199,0,RUS1,2000-05-07,FK Saturn,Alania Vladikavkaz,2,0,2,W
158200,0,RUS1,2000-05-07,Dinamo Moscow,Uralan Elista,1,0,1,W
158201,0,RUS1,2000-05-07,Lokomotiv Nizhni Novgorod,Lokomotiv Moscow,0,1,-1,L
158202,0,RUS1,2000-05-07,Anzhi Makhachkala,Krylia Sovetov,1,0,1,W
158203,0,RUS1,2000-05-07,Rotor Volgograd,Spartak Moscow,1,6,-5,L
158204,0,RUS1,2000-05-12,CSKA Moscow,Zenit St Petersburg,4,1,3,W
158205,0,RUS1,2000-05-13,Lokomotiv Moscow,Dinamo Moscow,1,0,1,W
158206,0,RUS1,2000-05-13,Uralan Elista,FK Saturn,1,2,-1,L
158207,0,RUS1,2000-05-13,Alania Vladikavkaz,Chernomorets Novorossisk,1,0,1,W
158208,0,RUS1,2000-05-13,Rostselmash Rostov,Torpedo Moscow,0,1,-1,L
158209,0,RUS1,2000-05-13,Fakel Voronezh,Rotor Volgograd,2,2,0,D
158210,0,RUS1,2000-05-13,Spartak Moscow,Anzhi Makhachkala,1,0,1,W
158211,0,RUS1,2000-05-13,Krylia Sovetov,Lokomotiv Nizhni Novgorod,2,1,1,W
158212,0,RUS1,2000-05-17,Lokomotiv Nizhni Novgorod,Spartak Moscow,0,2,-2,L
158213,0,RUS1,2000-05-17,Anzhi Makhachkala,Fakel Voronezh,4,0,4,W
158214,0,RUS1,2000-05-17,Rotor Volgograd,CSKA Moscow,0,1,-1,L
158215,0,RUS1,2000-05-17,Zenit St Petersburg,Rostselmash Rostov,0,0,0,D
158216,0,RUS1,2000-05-17,Torpedo Moscow,Alania Vladikavkaz,2,0,2,W
158217,0,RUS1,2000-05-17,Chernomorets Novorossisk,Uralan Elista,3,1,2,W
158218,0,RUS1,2000-05-17,FK Saturn,Lokomotiv Moscow,1,1,0,D
158219,0,RUS1,2000-05-17,Dinamo Moscow,Krylia Sovetov,2,0,2,W
158220,0,RUS1,2000-05-22,Zenit St Petersburg,Lokomotiv Nizhni Novgorod,2,0,2,W
158221,0,RUS1,2000-05-22,Rostselmash Rostov,Anzhi Makhachkala,0,1,-1,L
158222,0,RUS1,2000-05-26,Fakel Voronezh,Lokomotiv Nizhni Novgorod,1,1,0,D
158223,0,RUS1,2000-05-26,Uralan Elista,Torpedo Moscow,2,3,-1,L
158224,0,RUS1,2000-05-26,Spartak Moscow,Dinamo Moscow,3,1,2,W
158225,0,RUS1,2000-05-26,Krylia Sovetov,FK Saturn,3,2,1,W
158226,0,RUS1,2000-05-26,Lokomotiv Moscow,Chernomorets Novorossisk,0,3,-3,L
158227,0,RUS1,2000-05-26,Alania Vladikavkaz,Zenit St Petersburg,1,0,1,W
158228,0,RUS1,2000-05-26,Rotor Volgograd,Anzhi Makhachkala,2,2,0,D
158229,0,RUS1,2000-05-27,CSKA Moscow,Rostselmash Rostov,1,1,0,D
158230,0,RUS1,2000-06-08,Torpedo Moscow,Lokomotiv Moscow,1,1,0,D
158231,0,RUS1,2000-06-08,Chernomorets Novorossisk,Krylia Sovetov,3,0,3,W
158232,0,RUS1,2000-06-08,FK Saturn,Spartak Moscow,2,0,2,W
158233,0,RUS1,2000-06-08,Dinamo Moscow,Fakel Voronezh,2,2,0,D
158234,0,RUS1,2000-06-08,Lokomotiv Nizhni Novgorod,Rotor Volgograd,0,1,-1,L
158235,0,RUS1,2000-06-08,Anzhi Makhachkala,CSKA Moscow,4,1,3,W
158236,0,RUS1,2000-06-08,Rostselmash Rostov,Alania Vladikavkaz,0,1,-1,L
158237,0,RUS1,2000-06-08,Zenit St Petersburg,Uralan Elista,3,0,3,W
158238,0,RUS1,2000-06-12,Anzhi Makhachkala,Lokomotiv Nizhni Novgorod,4,0,4,W
158239,0,RUS1,2000-06-12,Rotor Volgograd,Dinamo Moscow,2,4,-2,L
158240,0,RUS1,2000-06-12,Uralan Elista,Rostselmash Rostov,0,0,0,D
158241,0,RUS1,2000-06-12,Fakel Voronezh,FK Saturn,0,1,-1,L
158242,0,RUS1,2000-06-12,Spartak Moscow,Chernomorets Novorossisk,3,1,2,W
158243,0,RUS1,2000-06-12,Krylia Sovetov,Torpedo Moscow,3,2,1,W
158244,0,RUS1,2000-06-12,Lokomotiv Moscow,Zenit St Petersburg,1,1,0,D
158245,0,RUS1,2000-06-13,CSKA Moscow,Alania Vladikavkaz,0,1,-1,L
158246,0,RUS1,2000-06-18,Alania Vladikavkaz,Uralan Elista,1,1,0,D
158247,0,RUS1,2000-06-18,Torpedo Moscow,Spartak Moscow,0,3,-3,L
158248,0,RUS1,2000-06-18,Chernomorets Novorossisk,Fakel Voronezh,3,1,2,W
158249,0,RUS1,2000-06-18,FK Saturn,Rotor Volgograd,2,0,2,W
