,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
91525,0,SCO4,2000-08-05,Albion Rovers,East Fife,0,1,-1,L
91526,0,SCO4,2000-08-05,Brechin City,Elgin City,2,1,1,W
91527,0,SCO4,2000-08-05,East Stirling,Cowdenbeath,0,2,-2,L
91528,0,SCO4,2000-08-05,Hamilton Academical,Dumbarton,2,0,2,W
91529,0,SCO4,2000-08-05,Peterhead,Montrose,2,0,2,W
91530,0,SCO4,2000-08-12,Cowdenbeath,Albion Rovers,5,0,5,W
91531,0,SCO4,2000-08-12,Dumbarton,Brechin City,0,2,-2,L
91532,0,SCO4,2000-08-12,East Fife,Peterhead,1,1,0,D
91533,0,SCO4,2000-08-12,Elgin City,Hamilton Academical,0,2,-2,L
91534,0,SCO4,2000-08-12,Montrose,East Stirling,0,1,-1,L
91535,0,SCO4,2000-08-19,Albion Rovers,Elgin City,1,1,0,D
91536,0,SCO4,2000-08-19,Brechin City,Cowdenbeath,0,0,0,D
91537,0,SCO4,2000-08-19,East Stirling,East Fife,2,5,-3,L
91538,0,SCO4,2000-08-19,Hamilton Academical,Montrose,6,0,6,W
91539,0,SCO4,2000-08-19,Peterhead,Dumbarton,2,0,2,W
91540,0,SCO4,2000-08-26,Albion Rovers,Dumbarton,0,1,-1,L
91541,0,SCO4,2000-08-26,Cowdenbeath,Elgin City,3,1,2,W
91542,0,SCO4,2000-08-26,East Stirling,Hamilton Academical,0,0,0,D
91543,0,SCO4,2000-08-26,Montrose,East Fife,0,1,-1,L
91544,0,SCO4,2000-08-26,Peterhead,Brechin City,1,2,-1,L
91545,0,SCO4,2000-09-09,Brechin City,Montrose,6,1,5,W
91546,0,SCO4,2000-09-09,Dumbarton,East Stirling,1,2,-1,L
91547,0,SCO4,2000-09-09,East Fife,Cowdenbeath,0,2,-2,L
91548,0,SCO4,2000-09-09,Elgin City,Peterhead,1,3,-2,L
91549,0,SCO4,2000-09-09,Hamilton Academical,Albion Rovers,0,2,-2,L
91550,0,SCO4,2000-09-16,Albion Rovers,Brechin City,1,3,-2,L
91551,0,SCO4,2000-09-16,Cowdenbeath,Hamilton Academical,2,0,2,W
91552,0,SCO4,2000-09-16,East Fife,Elgin City,1,1,0,D
91553,0,SCO4,2000-09-16,Montrose,Dumbarton,2,2,0,D
91554,0,SCO4,2000-09-16,Peterhead,East Stirling,2,4,-2,L
91555,0,SCO4,2000-09-23,Brechin City,East Fife,3,1,2,W
91556,0,SCO4,2000-09-23,Dumbarton,Cowdenbeath,2,4,-2,L
91557,0,SCO4,2000-09-23,East Stirling,Albion Rovers,1,1,0,D
91558,0,SCO4,2000-09-23,Elgin City,Montrose,1,1,0,D
91559,0,SCO4,2000-09-23,Hamilton Academical,Peterhead,3,0,3,W
91560,0,SCO4,2000-09-30,Albion Rovers,Peterhead,0,0,0,D
91561,0,SCO4,2000-09-30,Brechin City,East Stirling,4,1,3,W
91562,0,SCO4,2000-09-30,Cowdenbeath,Montrose,2,0,2,W
91563,0,SCO4,2000-09-30,East Fife,Hamilton Academical,1,2,-1,L
91564,0,SCO4,2000-09-30,Elgin City,Dumbarton,2,0,2,W
91565,0,SCO4,2000-10-07,Dumbarton,East Fife,2,3,-1,L
91566,0,SCO4,2000-10-07,East Stirling,Elgin City,0,2,-2,L
91567,0,SCO4,2000-10-07,Hamilton Academical,Brechin City,4,1,3,W
91568,0,SCO4,2000-10-07,Montrose,Albion Rovers,0,2,-2,L
91569,0,SCO4,2000-10-07,Peterhead,Cowdenbeath,3,0,3,W
91570,0,SCO4,2000-10-14,Cowdenbeath,East Stirling,3,0,3,W
91571,0,SCO4,2000-10-14,Dumbarton,Hamilton Academical,2,3,-1,L
91572,0,SCO4,2000-10-14,East Fife,Albion Rovers,0,0,0,D
91573,0,SCO4,2000-10-14,Elgin City,Brechin City,2,2,0,D
91574,0,SCO4,2000-10-14,Montrose,Peterhead,0,2,-2,L
91575,0,SCO4,2000-10-21,Albion Rovers,Cowdenbeath,1,0,1,W
91576,0,SCO4,2000-10-21,Brechin City,Dumbarton,3,1,2,W
91577,0,SCO4,2000-10-21,East Stirling,Montrose,1,2,-1,L
91578,0,SCO4,2000-10-21,Hamilton Academical,Elgin City,4,1,3,W
91579,0,SCO4,2000-10-21,Peterhead,East Fife,0,0,0,D
91580,0,SCO4,2000-10-24,Hamilton Academical,East Stirling,4,0,4,W
91581,0,SCO4,2000-10-28,Brechin City,Peterhead,3,2,1,W
91582,0,SCO4,2000-10-28,Dumbarton,Albion Rovers,0,1,-1,L
91583,0,SCO4,2000-10-28,East Fife,Montrose,3,1,2,W
91584,0,SCO4,2000-10-28,Elgin City,Cowdenbeath,2,3,-1,L
91585,0,SCO4,2000-11-04,Albion Rovers,Hamilton Academical,1,1,0,D
91586,0,SCO4,2000-11-04,Cowdenbeath,East Fife,1,0,1,W
91587,0,SCO4,2000-11-04,East Stirling,Dumbarton,1,1,0,D
91588,0,SCO4,2000-11-04,Montrose,Brechin City,1,1,0,D
91589,0,SCO4,2000-11-04,Peterhead,Elgin City,1,0,1,W
91590,0,SCO4,2000-11-11,Albion Rovers,East Stirling,2,1,1,W
91591,0,SCO4,2000-11-11,Cowdenbeath,Dumbarton,1,1,0,D
91592,0,SCO4,2000-11-11,East Fife,Brechin City,1,0,1,W
91593,0,SCO4,2000-11-11,Montrose,Elgin City,0,0,0,D
91594,0,SCO4,2000-11-11,Peterhead,Hamilton Academical,1,1,0,D
91595,0,SCO4,2000-11-18,Brechin City,Albion Rovers,2,1,1,W
91596,0,SCO4,2000-11-18,Dumbarton,Montrose,1,0,1,W
91597,0,SCO4,2000-11-18,East Stirling,Peterhead,1,3,-2,L
91598,0,SCO4,2000-11-18,Elgin City,East Fife,1,3,-2,L
91599,0,SCO4,2000-11-18,Hamilton Academical,Cowdenbeath,0,0,0,D
91600,0,SCO4,2000-11-25,Albion Rovers,Montrose,3,2,1,W
91601,0,SCO4,2000-11-25,Brechin City,Hamilton Academical,0,0,0,D
91602,0,SCO4,2000-11-25,Cowdenbeath,Peterhead,2,0,2,W
91603,0,SCO4,2000-11-25,East Fife,Dumbarton,1,0,1,W
91604,0,SCO4,2000-11-25,Elgin City,East Stirling,1,2,-1,L
91605,0,SCO4,2000-12-02,Dumbarton,Elgin City,3,0,3,W
91606,0,SCO4,2000-12-02,East Stirling,Brechin City,0,1,-1,L
91607,0,SCO4,2000-12-02,Hamilton Academical,East Fife,1,1,0,D
91608,0,SCO4,2000-12-02,Montrose,Cowdenbeath,1,2,-1,L
91609,0,SCO4,2000-12-02,Peterhead,Albion Rovers,1,2,-1,L
91610,0,SCO4,2000-12-16,Brechin City,Elgin City,2,1,1,W
91611,0,SCO4,2000-12-16,Hamilton Academical,Dumbarton,2,0,2,W
91612,0,SCO4,2000-12-23,Albion Rovers,East Fife,1,2,-1,L
91613,0,SCO4,2000-12-23,Cowdenbeath,Brechin City,2,1,1,W
91614,0,SCO4,2000-12-23,Dumbarton,Peterhead,1,3,-2,L
91615,0,SCO4,2000-12-26,East Fife,East Stirling,3,1,2,W
91616,0,SCO4,2000-12-30,Peterhead,Brechin City,0,2,-2,L
91617,0,SCO4,2001-01-02,Dumbarton,East Stirling,3,0,3,W
91618,0,SCO4,2001-01-02,East Fife,Cowdenbeath,1,2,-1,L
91619,0,SCO4,2001-01-02,Hamilton Academical,Albion Rovers,3,2,1,W
91620,0,SCO4,2001-01-13,Peterhead,East Stirling,1,2,-1,L
