,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
95342,0,SPA1,2000-09-09,FC Barcelona,Malaga,2,1,1,W
95343,0,SPA1,2000-09-09,La Coruna,Athletic Bilbao,2,0,2,W
95344,0,SPA1,2000-09-09,Real Madrid,Valencia,2,1,1,W
95345,0,SPA1,2000-09-09,Real Sociedad,Santander,2,2,0,D
95346,0,SPA1,2000-09-09,Zaragoza,Espanyol Barcelona,1,2,-1,L
95347,0,SPA1,2000-09-10,Las Palmas,Alaves,0,3,-3,L
95348,0,SPA1,2000-09-10,Mallorca,Valladolid,1,1,0,D
95349,0,SPA1,2000-09-10,Numancia,Oviedo,1,0,1,W
95350,0,SPA1,2000-09-10,Osasuna,Celta de Vigo,0,2,-2,L
95351,0,SPA1,2000-09-10,Villarreal,Vallecano,1,5,-4,L
95352,0,SPA1,2000-09-16,Athletic Bilbao,FC Barcelona,3,1,2,W
95353,0,SPA1,2000-09-16,Malaga,Real Madrid,3,3,0,D
95354,0,SPA1,2000-09-16,Santander,La Coruna,0,3,-3,L
95355,0,SPA1,2000-09-16,Valencia,Mallorca,4,0,4,W
95356,0,SPA1,2000-09-16,Valladolid,Numancia,2,0,2,W
95357,0,SPA1,2000-09-17,Alaves,Villarreal,0,1,-1,L
95358,0,SPA1,2000-09-17,Celta de Vigo,Real Sociedad,4,1,3,W
95359,0,SPA1,2000-09-17,Espanyol Barcelona,Osasuna,1,2,-1,L
95360,0,SPA1,2000-09-17,Oviedo,Las Palmas,2,2,0,D
95361,0,SPA1,2000-09-17,Vallecano,Zaragoza,0,0,0,D
95362,0,SPA1,2000-09-23,FC Barcelona,Santander,3,1,2,W
95363,0,SPA1,2000-09-23,Las Palmas,Valladolid,1,1,0,D
95364,0,SPA1,2000-09-23,Real Madrid,Athletic Bilbao,4,1,3,W
95365,0,SPA1,2000-09-23,Real Sociedad,La Coruna,1,1,0,D
95366,0,SPA1,2000-09-23,Zaragoza,Alaves,2,2,0,D
95367,0,SPA1,2000-09-24,Celta de Vigo,Espanyol Barcelona,1,0,1,W
95368,0,SPA1,2000-09-24,Mallorca,Malaga,0,1,-1,L
95369,0,SPA1,2000-09-24,Numancia,Valencia,0,3,-3,L
95370,0,SPA1,2000-09-24,Osasuna,Vallecano,2,2,0,D
95371,0,SPA1,2000-09-24,Villarreal,Oviedo,1,0,1,W
95372,0,SPA1,2000-09-30,Santander,Real Madrid,0,0,0,D
