,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
174182,0,SWE1,2000-04-08,Orgryte IS,Helsingborgs IF,2,0,2,W
174183,0,SWE1,2000-04-09,Trelleborgs FF,Halmstads BK,0,2,-2,L
174184,0,SWE1,2000-04-09,GAIS Goteborg,Vastra Frolunda,0,0,0,D
174185,0,SWE1,2000-04-09,Orebro SK,IFK Norrkoping,1,1,0,D
174186,0,SWE1,2000-04-10,Hammarby IF,GIF Sundsvall,0,1,-1,L
174187,0,SWE1,2000-04-10,Hacken,IFK Goteborg,1,3,-2,L
174188,0,SWE1,2000-04-10,IF Elfsborg,AIK Solna,1,2,-1,L
174189,0,SWE1,2000-04-16,Vastra Frolunda,Trelleborgs FF,0,1,-1,L
174190,0,SWE1,2000-04-16,GIF Sundsvall,Orebro SK,2,2,0,D
174191,0,SWE1,2000-04-17,Helsingborgs IF,Hammarby IF,0,0,0,D
174192,0,SWE1,2000-04-17,IFK Goteborg,Orgryte IS,2,0,2,W
174193,0,SWE1,2000-04-17,AIK Solna,Hacken,1,1,0,D
174194,0,SWE1,2000-04-18,IFK Norrkoping,GAIS Goteborg,3,0,3,W
174195,0,SWE1,2000-04-21,Trelleborgs FF,IFK Goteborg,1,1,0,D
174196,0,SWE1,2000-04-21,Halmstads BK,AIK Solna,4,0,4,W
174197,0,SWE1,2000-04-21,IF Elfsborg,Helsingborgs IF,2,3,-1,L
174198,0,SWE1,2000-04-21,Orgryte IS,IFK Norrkoping,2,0,2,W
174199,0,SWE1,2000-04-21,Orebro SK,Vastra Frolunda,6,0,6,W
174200,0,SWE1,2000-04-22,Hammarby IF,GAIS Goteborg,2,1,1,W
174201,0,SWE1,2000-04-24,Hacken,GIF Sundsvall,2,1,1,W
174202,0,SWE1,2000-04-30,Vastra Frolunda,Halmstads BK,0,1,-1,L
174203,0,SWE1,2000-04-30,GIF Sundsvall,Orgryte IS,0,2,-2,L
174204,0,SWE1,2000-04-30,GAIS Goteborg,Orebro SK,2,2,0,D
174205,0,SWE1,2000-05-01,Helsingborgs IF,Hacken,2,2,0,D
174206,0,SWE1,2000-05-01,IFK Goteborg,IF Elfsborg,1,0,1,W
174207,0,SWE1,2000-05-01,AIK Solna,Trelleborgs FF,1,0,1,W
174208,0,SWE1,2000-05-02,IFK Norrkoping,Hammarby IF,0,1,-1,L
174209,0,SWE1,2000-05-04,Halmstads BK,IF Elfsborg,1,0,1,W
174210,0,SWE1,2000-05-07,Vastra Frolunda,IF Elfsborg,1,0,1,W
174211,0,SWE1,2000-05-07,Trelleborgs FF,Hacken,2,0,2,W
174212,0,SWE1,2000-05-07,Halmstads BK,Orgryte IS,0,1,-1,L
174213,0,SWE1,2000-05-08,GIF Sundsvall,IFK Norrkoping,1,2,-1,L
174214,0,SWE1,2000-05-08,Helsingborgs IF,GAIS Goteborg,2,0,2,W
174215,0,SWE1,2000-05-08,IFK Goteborg,Orebro SK,4,1,3,W
174216,0,SWE1,2000-05-08,AIK Solna,Hammarby IF,1,0,1,W
174217,0,SWE1,2000-05-14,Hacken,Halmstads BK,2,4,-2,L
174218,0,SWE1,2000-05-14,GAIS Goteborg,GIF Sundsvall,1,1,0,D
174219,0,SWE1,2000-05-14,IF Elfsborg,Trelleborgs FF,1,0,1,W
174220,0,SWE1,2000-05-15,IFK Norrkoping,Vastra Frolunda,3,1,2,W
174221,0,SWE1,2000-05-15,Orgryte IS,AIK Solna,0,2,-2,L
174222,0,SWE1,2000-05-15,Orebro SK,Helsingborgs IF,0,2,-2,L
174223,0,SWE1,2000-05-16,Hammarby IF,IFK Goteborg,1,0,1,W
174224,0,SWE1,2000-05-21,GIF Sundsvall,Vastra Frolunda,3,2,1,W
174225,0,SWE1,2000-05-21,Hacken,IF Elfsborg,2,3,-1,L
174226,0,SWE1,2000-05-21,Orgryte IS,Trelleborgs FF,0,2,-2,L
174227,0,SWE1,2000-05-22,IFK Norrkoping,Helsingborgs IF,0,1,-1,L
174228,0,SWE1,2000-05-22,Hammarby IF,Halmstads BK,2,4,-2,L
174229,0,SWE1,2000-05-22,GAIS Goteborg,IFK Goteborg,1,1,0,D
174230,0,SWE1,2000-05-22,Orebro SK,AIK Solna,1,0,1,W
174231,0,SWE1,2000-05-28,Trelleborgs FF,Hammarby IF,1,2,-1,L
