,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
253503,6,TUN1,2006-08-19,Esperance Tunis,Club Africain,1,1,0,D
253504,6,TUN1,2006-08-20,Club Sportif Sfaxien,EGS Gafsa,2,2,0,D
253505,6,TUN1,2006-08-20,CA Bizertin,Esperance Zarzis,1,1,0,D
253506,6,TUN1,2006-08-20,US Monastir,CS Hammam-Lif,1,0,1,W
253507,6,TUN1,2006-08-20,Stade Tunisien,Olympique Beja,3,0,3,W
253508,6,TUN1,2006-08-20,AS Marsa,EOG Kram,0,1,-1,L
253509,6,TUN1,2006-08-20,ES Sahel,ES Hammam Sousse,1,1,0,D
253510,6,TUN1,2006-09-09,Stade Tunisien,Club Africain,0,1,-1,L
253511,6,TUN1,2006-09-10,ES Hammam Sousse,CA Bizertin,0,0,0,D
253512,6,TUN1,2006-09-10,Esperance Zarzis,Olympique Beja,1,0,1,W
253513,6,TUN1,2006-09-10,CS Hammam-Lif,AS Marsa,0,0,0,D
253514,6,TUN1,2006-09-13,EOG Kram,ES Sahel,0,1,-1,L
253515,6,TUN1,2006-09-13,Esperance Tunis,EGS Gafsa,1,1,0,D
253516,6,TUN1,2006-09-14,Club Sportif Sfaxien,US Monastir,1,1,0,D
253517,6,TUN1,2006-09-16,Club Africain,Esperance Zarzis,1,0,1,W
253518,6,TUN1,2006-09-17,US Monastir,Esperance Tunis,1,1,0,D
253519,6,TUN1,2006-09-17,ES Sahel,CS Hammam-Lif,2,0,2,W
253520,6,TUN1,2006-09-17,CA Bizertin,EOG Kram,1,2,-1,L
253521,6,TUN1,2006-09-17,Olympique Beja,ES Hammam Sousse,1,0,1,W
253522,6,TUN1,2006-09-17,EGS Gafsa,Stade Tunisien,2,1,1,W
253523,6,TUN1,2006-09-20,AS Marsa,Club Sportif Sfaxien,0,3,-3,L
253524,6,TUN1,2006-09-23,Club Sportif Sfaxien,Club Africain,1,2,-1,L
253525,6,TUN1,2006-09-23,ES Hammam Sousse,AS Marsa,1,0,1,W
253526,6,TUN1,2006-09-23,CS Hammam-Lif,EGS Gafsa,1,2,-1,L
253527,6,TUN1,2006-09-24,EOG Kram,US Monastir,0,1,-1,L
253528,6,TUN1,2006-09-24,Stade Tunisien,CA Bizertin,2,1,1,W
253529,6,TUN1,2006-09-28,Esperance Zarzis,ES Sahel,0,2,-2,L
253530,6,TUN1,2006-09-28,Esperance Tunis,Olympique Beja,0,0,0,D
253531,6,TUN1,2006-10-01,EGS Gafsa,EOG Kram,1,0,1,W
253532,6,TUN1,2006-10-01,US Monastir,ES Hammam Sousse,1,0,1,W
253533,6,TUN1,2006-10-01,CA Bizertin,Esperance Tunis,1,1,0,D
253534,6,TUN1,2006-10-01,ES Sahel,Stade Tunisien,2,1,1,W
253535,6,TUN1,2006-10-01,Olympique Beja,Club Sportif Sfaxien,1,1,0,D
253536,6,TUN1,2006-10-01,AS Marsa,Esperance Zarzis,2,0,2,W
253537,6,TUN1,2006-10-01,Club Africain,CS Hammam-Lif,0,2,-2,L
253538,6,TUN1,2006-10-02,Club Sportif Sfaxien,EOG Kram,4,0,4,W
253539,6,TUN1,2006-10-15,ES Hammam Sousse,EGS Gafsa,1,0,1,W
