,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
288764,11,USA2,2011-04-10,Carolina RailHawks,Puerto Rico FC,1,2,-1,L
288765,11,USA2,2011-04-10,Tampa Bay Rowdies,Montreal Impact,1,0,1,W
288766,11,USA2,2011-04-10,Fort Lauderdale Strikers,FC Edmonton,1,2,-1,L
288767,11,USA2,2011-04-10,Atlanta Silverbacks,Minnesota,1,2,-1,L
288768,11,USA2,2011-04-16,Fort Lauderdale Strikers,Minnesota,1,1,0,D
288769,11,USA2,2011-04-17,Carolina RailHawks,Montreal Impact,2,1,1,W
288770,11,USA2,2011-04-17,Atlanta Silverbacks,FC Edmonton,0,1,-1,L
288771,11,USA2,2011-04-17,Tampa Bay Rowdies,Puerto Rico FC,0,2,-2,L
288772,11,USA2,2011-04-21,Carolina RailHawks,FC Edmonton,2,0,2,W
288773,11,USA2,2011-04-23,Montreal Impact,Tampa Bay Rowdies,0,0,0,D
288774,11,USA2,2011-04-24,Atlanta Silverbacks,Fort Lauderdale Strikers,1,2,-1,L
288775,11,USA2,2011-04-27,Puerto Rico FC,Minnesota,3,1,2,W
288776,11,USA2,2011-04-30,Puerto Rico FC,Fort Lauderdale Strikers,2,2,0,D
288777,11,USA2,2011-05-01,Tampa Bay Rowdies,Atlanta Silverbacks,1,1,0,D
288778,11,USA2,2011-05-01,Minnesota,Carolina RailHawks,1,1,0,D
288779,11,USA2,2011-05-02,FC Edmonton,Montreal Impact,0,5,-5,L
288780,11,USA2,2011-05-08,Tampa Bay Rowdies,Carolina RailHawks,1,3,-2,L
288781,11,USA2,2011-05-08,Atlanta Silverbacks,FC Edmonton,0,2,-2,L
288782,11,USA2,2011-05-08,Minnesota,Fort Lauderdale Strikers,1,1,0,D
288783,11,USA2,2011-05-12,Carolina RailHawks,Fort Lauderdale Strikers,4,2,2,W
288784,11,USA2,2011-05-12,Tampa Bay Rowdies,FC Edmonton,1,1,0,D
288785,11,USA2,2011-05-14,Montreal Impact,Carolina RailHawks,1,2,-1,L
288786,11,USA2,2011-05-15,Minnesota,Atlanta Silverbacks,3,0,3,W
288787,11,USA2,2011-05-19,Minnesota,Puerto Rico FC,2,0,2,W
288788,11,USA2,2011-05-22,Carolina RailHawks,Puerto Rico FC,3,0,3,W
288789,11,USA2,2011-05-22,Tampa Bay Rowdies,Montreal Impact,3,0,3,W
288790,11,USA2,2011-05-22,Atlanta Silverbacks,Fort Lauderdale Strikers,0,0,0,D
288791,11,USA2,2011-05-24,FC Edmonton,Minnesota,2,1,1,W
288792,11,USA2,2011-05-29,Carolina RailHawks,Atlanta Silverbacks,2,0,2,W
288793,11,USA2,2011-05-29,Fort Lauderdale Strikers,Montreal Impact,0,0,0,D
288794,11,USA2,2011-05-29,Minnesota,Tampa Bay Rowdies,0,0,0,D
288795,11,USA2,2011-06-01,FC Edmonton,Tampa Bay Rowdies,4,0,4,W
288796,11,USA2,2011-06-02,Puerto Rico FC,Minnesota,1,1,0,D
288797,11,USA2,2011-06-04,Montreal Impact,FC Edmonton,2,0,2,W
288798,11,USA2,2011-06-05,Tampa Bay Rowdies,Carolina RailHawks,1,2,-1,L
288799,11,USA2,2011-06-05,Atlanta Silverbacks,Minnesota,0,2,-2,L
288800,11,USA2,2011-06-05,Fort Lauderdale Strikers,Puerto Rico FC,3,2,1,W
288801,11,USA2,2011-06-09,Atlanta Silverbacks,Montreal Impact,2,1,1,W
288802,11,USA2,2011-06-11,FC Edmonton,Carolina RailHawks,0,1,-1,L
288803,11,USA2,2011-06-12,Fort Lauderdale Strikers,Minnesota,3,0,3,W
288804,11,USA2,2011-06-12,Tampa Bay Rowdies,Atlanta Silverbacks,3,2,1,W
288805,11,USA2,2011-06-12,Puerto Rico FC,Montreal Impact,2,1,1,W
288806,11,USA2,2011-06-16,FC Edmonton,Puerto Rico FC,3,0,3,W
288807,11,USA2,2011-06-18,Montreal Impact,Fort Lauderdale Strikers,0,0,0,D
288808,11,USA2,2011-06-19,Carolina RailHawks,Tampa Bay Rowdies,3,1,2,W
288809,11,USA2,2011-06-19,Minnesota,FC Edmonton,1,1,0,D
288810,11,USA2,2011-06-19,Puerto Rico FC,Atlanta Silverbacks,3,1,2,W
288811,11,USA2,2011-06-26,Atlanta Silverbacks,Carolina RailHawks,1,5,-4,L
288812,11,USA2,2011-06-26,Fort Lauderdale Strikers,Puerto Rico FC,1,1,0,D
288813,11,USA2,2011-06-26,FC Edmonton,Montreal Impact,1,0,1,W
288814,11,USA2,2011-06-30,Fort Lauderdale Strikers,Tampa Bay Rowdies,1,1,0,D
288815,11,USA2,2011-06-30,Montreal Impact,Puerto Rico FC,0,0,0,D
288816,11,USA2,2011-07-04,Carolina RailHawks,Montreal Impact,2,0,2,W
288817,11,USA2,2011-07-04,Atlanta Silverbacks,Puerto Rico FC,3,4,-1,L
288818,11,USA2,2011-07-04,Tampa Bay Rowdies,Fort Lauderdale Strikers,4,2,2,W
288819,11,USA2,2011-07-05,Minnesota,FC Edmonton,1,1,0,D
288820,11,USA2,2011-07-10,Fort Lauderdale Strikers,Atlanta Silverbacks,2,3,-1,L
288821,11,USA2,2011-07-10,Puerto Rico FC,Tampa Bay Rowdies,1,1,0,D
288822,11,USA2,2011-07-10,Minnesota,Carolina RailHawks,1,0,1,W
288823,11,USA2,2011-07-14,Montreal Impact,Fort Lauderdale Strikers,1,1,0,D
288824,11,USA2,2011-07-14,FC Edmonton,Carolina RailHawks,1,1,0,D
288825,11,USA2,2011-07-17,Montreal Impact,Atlanta Silverbacks,2,2,0,D
288826,11,USA2,2011-07-17,FC Edmonton,Tampa Bay Rowdies,1,2,-1,L
288827,11,USA2,2011-07-18,Minnesota,Puerto Rico FC,0,1,-1,L
288828,11,USA2,2011-07-21,Puerto Rico FC,Fort Lauderdale Strikers,3,1,2,W
288829,11,USA2,2011-07-23,Minnesota,Montreal Impact,1,0,1,W
288830,11,USA2,2011-07-24,Carolina RailHawks,FC Edmonton,4,1,3,W
288831,11,USA2,2011-07-24,Atlanta Silverbacks,Tampa Bay Rowdies,2,1,1,W
288832,11,USA2,2011-07-28,Tampa Bay Rowdies,FC Edmonton,3,1,2,W
288833,11,USA2,2011-07-31,Carolina RailHawks,Atlanta Silverbacks,1,0,1,W
288834,11,USA2,2011-07-31,Fort Lauderdale Strikers,FC Edmonton,3,0,3,W
288835,11,USA2,2011-07-31,Montreal Impact,Puerto Rico FC,1,0,1,W
288836,11,USA2,2011-08-07,Atlanta Silverbacks,Tampa Bay Rowdies,0,4,-4,L
288837,11,USA2,2011-08-07,Fort Lauderdale Strikers,Carolina RailHawks,2,1,1,W
288838,11,USA2,2011-08-07,Montreal Impact,Minnesota,1,3,-2,L
288839,11,USA2,2011-08-07,FC Edmonton,Puerto Rico FC,0,1,-1,L
288840,11,USA2,2011-08-11,Montreal Impact,Tampa Bay Rowdies,3,3,0,D
288841,11,USA2,2011-08-11,Puerto Rico FC,Atlanta Silverbacks,2,0,2,W
288842,11,USA2,2011-08-11,Minnesota,Fort Lauderdale Strikers,0,1,-1,L
288843,11,USA2,2011-08-14,Tampa Bay Rowdies,Minnesota,2,0,2,W
288844,11,USA2,2011-08-14,Puerto Rico FC,Carolina RailHawks,2,0,2,W
288845,11,USA2,2011-08-14,FC Edmonton,Fort Lauderdale Strikers,1,1,0,D
288846,11,USA2,2011-08-14,Montreal Impact,Atlanta Silverbacks,4,0,4,W
288847,11,USA2,2011-08-18,Carolina RailHawks,Minnesota,1,1,0,D
288848,11,USA2,2011-08-20,Montreal Impact,Minnesota,2,0,2,W
288849,11,USA2,2011-08-21,Carolina RailHawks,Fort Lauderdale Strikers,2,0,2,W
288850,11,USA2,2011-08-21,Tampa Bay Rowdies,Puerto Rico FC,1,2,-1,L
288851,11,USA2,2011-08-22,FC Edmonton,Atlanta Silverbacks,3,0,3,W
288852,11,USA2,2011-08-28,Fort Lauderdale Strikers,Tampa Bay Rowdies,0,2,-2,L
288853,11,USA2,2011-08-28,Atlanta Silverbacks,Carolina RailHawks,2,4,-2,L
288854,11,USA2,2011-08-28,Puerto Rico FC,FC Edmonton,3,2,1,W
288855,11,USA2,2011-08-28,Minnesota,Montreal Impact,0,2,-2,L
288856,11,USA2,2011-08-31,Puerto Rico FC,FC Edmonton,1,1,0,D
288857,11,USA2,2011-09-04,Carolina RailHawks,Tampa Bay Rowdies,2,0,2,W
288858,11,USA2,2011-09-04,Atlanta Silverbacks,Puerto Rico FC,2,0,2,W
288859,11,USA2,2011-09-04,Fort Lauderdale Strikers,Montreal Impact,1,0,1,W
288860,11,USA2,2011-09-04,FC Edmonton,Minnesota,3,1,2,W
288861,11,USA2,2011-09-07,Minnesota,Tampa Bay Rowdies,1,2,-1,L
288862,11,USA2,2011-09-08,Fort Lauderdale Strikers,Carolina RailHawks,1,0,1,W
288863,11,USA2,2011-09-08,Puerto Rico FC,Montreal Impact,1,1,0,D
288864,11,USA2,2011-09-08,FC Edmonton,Atlanta Silverbacks,2,1,1,W
288865,11,USA2,2011-09-11,Minnesota,Atlanta Silverbacks,2,0,2,W
288866,11,USA2,2011-09-11,Montreal Impact,Carolina RailHawks,1,0,1,W
288867,11,USA2,2011-09-12,FC Edmonton,Fort Lauderdale Strikers,1,2,-1,L
288868,11,USA2,2011-09-18,Tampa Bay Rowdies,Minnesota,1,1,0,D
288869,11,USA2,2011-09-18,Fort Lauderdale Strikers,Atlanta Silverbacks,1,1,0,D
288870,11,USA2,2011-09-18,Montreal Impact,FC Edmonton,2,0,2,W
288871,11,USA2,2011-09-18,Puerto Rico FC,Carolina RailHawks,1,0,1,W
288872,11,USA2,2011-09-22,Puerto Rico FC,Tampa Bay Rowdies,1,0,1,W
288873,11,USA2,2011-09-25,Tampa Bay Rowdies,Fort Lauderdale Strikers,2,0,2,W
288874,11,USA2,2011-09-25,Carolina RailHawks,Minnesota,1,2,-1,L
288875,11,USA2,2011-09-25,Atlanta Silverbacks,Montreal Impact,0,4,-4,L
288876,12,USA2,2012-04-08,Atlanta Silverbacks,San Antonio Scorpions,0,0,0,D
288877,12,USA2,2012-04-08,Fort Lauderdale Strikers,FC Edmonton,1,0,1,W
288878,12,USA2,2012-04-08,Puerto Rico FC,Tampa Bay Rowdies,1,0,1,W
288879,12,USA2,2012-04-08,Minnesota,Carolina RailHawks,0,0,0,D
288880,12,USA2,2012-04-15,Carolina RailHawks,Atlanta Silverbacks,4,4,0,D
288881,12,USA2,2012-04-15,Tampa Bay Rowdies,FC Edmonton,1,0,1,W
288882,12,USA2,2012-04-15,Fort Lauderdale Strikers,Minnesota,0,0,0,D
288883,12,USA2,2012-04-16,San Antonio Scorpions,Puerto Rico FC,0,4,-4,L
288884,12,USA2,2012-04-19,Puerto Rico FC,FC Edmonton,0,0,0,D
288885,12,USA2,2012-04-19,Tampa Bay Rowdies,Carolina RailHawks,1,1,0,D
288886,12,USA2,2012-04-22,Atlanta Silverbacks,Tampa Bay Rowdies,1,1,0,D
288887,12,USA2,2012-04-22,Puerto Rico FC,Carolina RailHawks,3,1,2,W
288888,12,USA2,2012-04-22,San Antonio Scorpions,Fort Lauderdale Strikers,2,2,0,D
288889,12,USA2,2012-04-22,FC Edmonton,Minnesota,3,4,-1,L
288890,12,USA2,2012-04-26,Fort Lauderdale Strikers,Puerto Rico FC,3,2,1,W
288891,12,USA2,2012-04-29,Carolina RailHawks,San Antonio Scorpions,0,1,-1,L
288892,12,USA2,2012-04-29,Atlanta Silverbacks,Minnesota,3,3,0,D
288893,12,USA2,2012-04-29,Tampa Bay Rowdies,Fort Lauderdale Strikers,3,1,2,W
288894,12,USA2,2012-05-03,Carolina RailHawks,Fort Lauderdale Strikers,3,3,0,D
288895,12,USA2,2012-05-06,Minnesota,Atlanta Silverbacks,2,0,2,W
288896,12,USA2,2012-05-06,San Antonio Scorpions,Tampa Bay Rowdies,2,0,2,W
288897,12,USA2,2012-05-06,FC Edmonton,Carolina RailHawks,3,0,3,W
288898,12,USA2,2012-05-13,Atlanta Silverbacks,FC Edmonton,0,2,-2,L
288899,12,USA2,2012-05-13,Puerto Rico FC,Fort Lauderdale Strikers,2,0,2,W
288900,12,USA2,2012-05-13,Tampa Bay Rowdies,San Antonio Scorpions,1,2,-1,L
288901,12,USA2,2012-05-13,Minnesota,Carolina RailHawks,2,1,1,W
288902,12,USA2,2012-05-17,Puerto Rico FC,Atlanta Silverbacks,3,0,3,W
288903,12,USA2,2012-05-20,Carolina RailHawks,Puerto Rico FC,1,1,0,D
288904,12,USA2,2012-05-20,Atlanta Silverbacks,Tampa Bay Rowdies,2,3,-1,L
288905,12,USA2,2012-05-20,Fort Lauderdale Strikers,Minnesota,1,3,-2,L
288906,12,USA2,2012-05-20,San Antonio Scorpions,FC Edmonton,2,0,2,W
288907,12,USA2,2012-05-26,Tampa Bay Rowdies,Minnesota,0,0,0,D
288908,12,USA2,2012-05-27,Fort Lauderdale Strikers,Atlanta Silverbacks,1,1,0,D
288909,12,USA2,2012-05-27,FC Edmonton,San Antonio Scorpions,2,2,0,D
288910,12,USA2,2012-06-03,Carolina RailHawks,Puerto Rico FC,2,1,1,W
288911,12,USA2,2012-06-03,Fort Lauderdale Strikers,Tampa Bay Rowdies,3,1,2,W
288912,12,USA2,2012-06-03,San Antonio Scorpions,Minnesota,0,0,0,D
288913,12,USA2,2012-06-03,FC Edmonton,Atlanta Silverbacks,1,2,-1,L
288914,12,USA2,2012-06-10,Carolina RailHawks,Minnesota,5,1,4,W
288915,12,USA2,2012-06-10,Puerto Rico FC,Tampa Bay Rowdies,2,0,2,W
288916,12,USA2,2012-06-10,San Antonio Scorpions,Atlanta Silverbacks,3,0,3,W
288917,12,USA2,2012-06-10,FC Edmonton,Fort Lauderdale Strikers,1,0,1,W
288918,12,USA2,2012-06-17,Atlanta Silverbacks,Carolina RailHawks,0,2,-2,L
288919,12,USA2,2012-06-17,Fort Lauderdale Strikers,FC Edmonton,1,0,1,W
288920,12,USA2,2012-06-17,Puerto Rico FC,San Antonio Scorpions,0,2,-2,L
288921,12,USA2,2012-06-17,Minnesota,Tampa Bay Rowdies,1,2,-1,L
288922,12,USA2,2012-06-24,Carolina RailHawks,FC Edmonton,2,0,2,W
288923,12,USA2,2012-06-24,Atlanta Silverbacks,Puerto Rico FC,1,2,-1,L
288924,12,USA2,2012-06-24,Tampa Bay Rowdies,San Antonio Scorpions,3,2,1,W
288925,12,USA2,2012-06-24,Minnesota,Fort Lauderdale Strikers,2,1,1,W
288926,12,USA2,2012-07-01,Fort Lauderdale Strikers,Carolina RailHawks,2,1,1,W
288927,12,USA2,2012-07-01,Tampa Bay Rowdies,Minnesota,2,0,2,W
288928,12,USA2,2012-07-01,San Antonio Scorpions,Atlanta Silverbacks,3,0,3,W
288929,12,USA2,2012-07-01,FC Edmonton,Puerto Rico FC,0,0,0,D
288930,12,USA2,2012-07-04,Carolina RailHawks,Atlanta Silverbacks,2,1,1,W
288931,12,USA2,2012-07-04,Tampa Bay Rowdies,Fort Lauderdale Strikers,3,1,2,W
288932,12,USA2,2012-07-05,Minnesota,Puerto Rico FC,4,0,4,W
288933,12,USA2,2012-07-05,San Antonio Scorpions,FC Edmonton,1,0,1,W
288934,12,USA2,2012-07-08,Carolina RailHawks,Fort Lauderdale Strikers,3,3,0,D
288935,12,USA2,2012-07-08,Puerto Rico FC,FC Edmonton,1,1,0,D
288936,12,USA2,2012-07-08,Minnesota,Atlanta Silverbacks,0,2,-2,L
288937,12,USA2,2012-07-12,Puerto Rico FC,San Antonio Scorpions,1,0,1,W
288938,12,USA2,2012-07-13,Minnesota,Tampa Bay Rowdies,2,1,1,W
288939,12,USA2,2012-07-15,Atlanta Silverbacks,Puerto Rico FC,2,1,1,W
288940,12,USA2,2012-07-15,Fort Lauderdale Strikers,San Antonio Scorpions,2,2,0,D
288941,12,USA2,2012-07-15,FC Edmonton,Tampa Bay Rowdies,0,1,-1,L
288942,12,USA2,2012-07-19,Minnesota,Fort Lauderdale Strikers,1,2,-1,L
288943,12,USA2,2012-07-22,Carolina RailHawks,Minnesota,1,0,1,W
288944,12,USA2,2012-07-22,Atlanta Silverbacks,FC Edmonton,1,2,-1,L
288945,12,USA2,2012-07-22,San Antonio Scorpions,Fort Lauderdale Strikers,1,0,1,W
288946,12,USA2,2012-07-22,Tampa Bay Rowdies,Puerto Rico FC,2,0,2,W
288947,12,USA2,2012-07-28,Fort Lauderdale Strikers,Atlanta Silverbacks,5,3,2,W
288948,12,USA2,2012-07-29,Puerto Rico FC,Minnesota,1,0,1,W
288949,12,USA2,2012-07-29,Tampa Bay Rowdies,FC Edmonton,1,0,1,W
288950,12,USA2,2012-07-29,San Antonio Scorpions,Carolina RailHawks,8,0,8,W
288951,12,USA2,2012-08-05,Carolina RailHawks,Tampa Bay Rowdies,3,3,0,D
288952,12,USA2,2012-08-05,Atlanta Silverbacks,Fort Lauderdale Strikers,4,2,2,W
288953,12,USA2,2012-08-05,FC Edmonton,Minnesota,1,1,0,D
288954,12,USA2,2012-08-06,San Antonio Scorpions,Puerto Rico FC,1,2,-1,L
288955,12,USA2,2012-08-09,FC Edmonton,San Antonio Scorpions,1,1,0,D
288956,12,USA2,2012-08-12,Fort Lauderdale Strikers,Carolina RailHawks,1,0,1,W
288957,12,USA2,2012-08-12,Tampa Bay Rowdies,Atlanta Silverbacks,0,0,0,D
288958,12,USA2,2012-08-12,Minnesota,San Antonio Scorpions,0,1,-1,L
288959,12,USA2,2012-08-12,FC Edmonton,Puerto Rico FC,1,0,1,W
288960,12,USA2,2012-08-19,Carolina RailHawks,FC Edmonton,3,2,1,W
288961,12,USA2,2012-08-19,Atlanta Silverbacks,Minnesota,0,0,0,D
288962,12,USA2,2012-08-19,Puerto Rico FC,Fort Lauderdale Strikers,0,0,0,D
288963,12,USA2,2012-08-20,San Antonio Scorpions,Tampa Bay Rowdies,4,0,4,W
288964,12,USA2,2012-08-26,Atlanta Silverbacks,Carolina RailHawks,0,1,-1,L
288965,12,USA2,2012-08-26,Fort Lauderdale Strikers,San Antonio Scorpions,2,1,1,W
288966,12,USA2,2012-08-26,Tampa Bay Rowdies,Puerto Rico FC,0,0,0,D
288967,12,USA2,2012-08-26,Minnesota,FC Edmonton,1,1,0,D
288968,12,USA2,2012-09-02,Fort Lauderdale Strikers,Tampa Bay Rowdies,0,3,-3,L
288969,12,USA2,2012-09-02,Puerto Rico FC,Carolina RailHawks,1,3,-2,L
288970,12,USA2,2012-09-02,Minnesota,San Antonio Scorpions,1,1,0,D
288971,12,USA2,2012-09-02,FC Edmonton,Atlanta Silverbacks,0,2,-2,L
288972,12,USA2,2012-09-09,Carolina RailHawks,San Antonio Scorpions,0,1,-1,L
288973,12,USA2,2012-09-09,Fort Lauderdale Strikers,Puerto Rico FC,1,1,0,D
288974,12,USA2,2012-09-09,Tampa Bay Rowdies,Atlanta Silverbacks,1,1,0,D
288975,12,USA2,2012-09-09,Minnesota,FC Edmonton,1,1,0,D
288976,12,USA2,2012-09-12,Minnesota,Puerto Rico FC,4,0,4,W
288977,12,USA2,2012-09-13,FC Edmonton,Carolina RailHawks,2,2,0,D
288978,12,USA2,2012-09-16,Atlanta Silverbacks,Fort Lauderdale Strikers,1,0,1,W
288979,12,USA2,2012-09-16,Puerto Rico FC,Minnesota,2,0,2,W
288980,12,USA2,2012-09-16,FC Edmonton,Tampa Bay Rowdies,0,3,-3,L
288981,12,USA2,2012-09-17,San Antonio Scorpions,Carolina RailHawks,1,2,-1,L
288982,12,USA2,2012-09-20,Atlanta Silverbacks,San Antonio Scorpions,3,1,2,W
288983,12,USA2,2012-09-20,Tampa Bay Rowdies,Carolina RailHawks,1,1,0,D
288984,12,USA2,2012-09-23,Carolina RailHawks,Tampa Bay Rowdies,0,0,0,D
288985,12,USA2,2012-09-23,Puerto Rico FC,Atlanta Silverbacks,1,1,0,D
288986,12,USA2,2012-09-23,FC Edmonton,Fort Lauderdale Strikers,2,2,0,D
288987,12,USA2,2012-09-24,San Antonio Scorpions,Minnesota,1,1,0,D
288988,13,USA2,2013-04-07,Tampa Bay Rowdies,Carolina RailHawks,0,0,0,D
288989,13,USA2,2013-04-07,Fort Lauderdale Strikers,FC Edmonton,1,1,0,D
288990,13,USA2,2013-04-07,Minnesota,San Antonio Scorpions,0,0,0,D
288991,13,USA2,2013-04-14,Carolina RailHawks,FC Edmonton,2,1,1,W
288992,13,USA2,2013-04-14,Atlanta Silverbacks,Fort Lauderdale Strikers,2,0,2,W
288993,13,USA2,2013-04-14,San Antonio Scorpions,Tampa Bay Rowdies,0,2,-2,L
288994,13,USA2,2013-04-20,Minnesota,FC Edmonton,2,0,2,W
