,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
260525,7,VEN1,2007-08-04,Trujillanos FC,Portuguesa FC,2,0,2,W
260526,7,VEN1,2007-08-05,Guaros de Lara,Monagas,2,2,0,D
260527,7,VEN1,2007-08-05,Caracas FC,Aragua FC,2,2,0,D
260528,7,VEN1,2007-08-05,Carabobo FC,Deportivo Italia,1,0,1,W
260529,7,VEN1,2007-08-05,Llaneros de Guanare,Union Lara,2,0,2,W
260530,7,VEN1,2007-08-05,Deportivo Anzoategui,UA Maracaibo,1,1,0,D
260531,7,VEN1,2007-08-05,Estudiantes de Merida,Zamora FC,2,2,0,D
260532,7,VEN1,2007-08-05,Mineros de Guayana,Atletico El Vigia,1,0,1,W
260533,7,VEN1,2007-08-05,Deportivo Tachira,Estrella Roja,6,1,5,W
260534,7,VEN1,2007-08-12,Monagas,Trujillanos FC,0,1,-1,L
260535,7,VEN1,2007-08-12,Estrella Roja,Atletico El Vigia,0,1,-1,L
260536,7,VEN1,2007-08-12,Union Lara,Caracas FC,0,2,-2,L
260537,7,VEN1,2007-08-12,Estudiantes de Merida,Carabobo FC,2,0,2,W
260538,7,VEN1,2007-08-12,Deportivo Italia,Guaros de Lara,1,1,0,D
260539,7,VEN1,2007-08-12,Zamora FC,Deportivo Anzoategui,0,1,-1,L
260540,7,VEN1,2007-08-12,Aragua FC,Mineros de Guayana,1,1,0,D
260541,7,VEN1,2007-08-12,UA Maracaibo,Llaneros de Guanare,3,2,1,W
260542,7,VEN1,2007-08-18,Llaneros de Guanare,Zamora FC,1,1,0,D
260543,7,VEN1,2007-08-18,Deportivo Tachira,Monagas,3,2,1,W
260544,7,VEN1,2007-08-18,Trujillanos FC,Deportivo Italia,1,1,0,D
260545,7,VEN1,2007-08-19,Guaros de Lara,Carabobo FC,3,1,2,W
260546,7,VEN1,2007-08-19,Mineros de Guayana,Union Lara,3,3,0,D
260547,7,VEN1,2007-08-19,Caracas FC,UA Maracaibo,0,0,0,D
260548,7,VEN1,2007-08-19,Atletico El Vigia,Portuguesa FC,2,1,1,W
260549,7,VEN1,2007-08-19,Deportivo Anzoategui,Estudiantes de Merida,3,0,3,W
260550,7,VEN1,2007-08-19,Aragua FC,Estrella Roja,3,2,1,W
260551,7,VEN1,2007-08-25,Zamora FC,Caracas FC,0,2,-2,L
260552,7,VEN1,2007-08-26,Union Lara,Aragua FC,6,4,2,W
260553,7,VEN1,2007-08-26,Carabobo FC,Trujillanos FC,1,0,1,W
260554,7,VEN1,2007-08-26,Deportivo Italia,Deportivo Tachira,0,0,0,D
260555,7,VEN1,2007-08-26,Monagas,Atletico El Vigia,4,1,3,W
260556,7,VEN1,2007-08-26,Portuguesa FC,Estrella Roja,1,2,-1,L
260557,7,VEN1,2007-08-26,Estudiantes de Merida,Llaneros de Guanare,1,0,1,W
260558,7,VEN1,2007-08-26,Deportivo Anzoategui,Guaros de Lara,3,1,2,W
260559,7,VEN1,2007-08-26,UA Maracaibo,Mineros de Guayana,2,1,1,W
260560,7,VEN1,2007-09-01,Trujillanos FC,Guaros de Lara,4,3,1,W
260561,7,VEN1,2007-09-02,Mineros de Guayana,Zamora FC,0,0,0,D
260562,7,VEN1,2007-09-02,Caracas FC,Estudiantes de Merida,2,1,1,W
260563,7,VEN1,2007-09-02,Llaneros de Guanare,Deportivo Anzoategui,1,0,1,W
260564,7,VEN1,2007-09-02,Union Lara,Portuguesa FC,1,1,0,D
260565,7,VEN1,2007-09-02,Estrella Roja,Monagas,1,1,0,D
260566,7,VEN1,2007-09-02,Atletico El Vigia,Deportivo Italia,1,2,-1,L
260567,7,VEN1,2007-09-02,Deportivo Tachira,Carabobo FC,0,0,0,D
260568,7,VEN1,2007-09-02,Aragua FC,UA Maracaibo,1,1,0,D
260569,7,VEN1,2007-09-16,Estudiantes de Merida,Mineros de Guayana,1,1,0,D
260570,7,VEN1,2007-09-16,Zamora FC,Aragua FC,1,0,1,W
260571,7,VEN1,2007-09-16,Llaneros de Guanare,Trujillanos FC,1,1,0,D
260572,7,VEN1,2007-09-16,Guaros de Lara,Deportivo Tachira,1,0,1,W
260573,7,VEN1,2007-09-16,Carabobo FC,Atletico El Vigia,0,1,-1,L
260574,7,VEN1,2007-09-16,Deportivo Italia,Estrella Roja,1,1,0,D
260575,7,VEN1,2007-09-16,Monagas,Portuguesa FC,0,1,-1,L
260576,7,VEN1,2007-09-16,Deportivo Anzoategui,Caracas FC,2,3,-1,L
260577,7,VEN1,2007-09-16,UA Maracaibo,Union Lara,2,1,1,W
260578,7,VEN1,2007-09-23,Mineros de Guayana,Deportivo Anzoategui,1,0,1,W
260579,7,VEN1,2007-09-23,Atletico El Vigia,Guaros de Lara,0,1,-1,L
260580,7,VEN1,2007-09-23,Caracas FC,Llaneros de Guanare,0,0,0,D
260581,7,VEN1,2007-09-23,Deportivo Tachira,Trujillanos FC,2,0,2,W
260582,7,VEN1,2007-09-23,Estrella Roja,Carabobo FC,3,2,1,W
260583,7,VEN1,2007-09-23,Portuguesa FC,Deportivo Italia,1,0,1,W
260584,7,VEN1,2007-09-23,Union Lara,Zamora FC,0,0,0,D
260585,7,VEN1,2007-09-23,Aragua FC,Estudiantes de Merida,5,2,3,W
260586,7,VEN1,2007-09-23,UA Maracaibo,Monagas,3,3,0,D
260587,7,VEN1,2007-09-30,Llaneros de Guanare,Mineros de Guayana,3,2,1,W
260588,7,VEN1,2007-09-30,Estudiantes de Merida,Union Lara,2,2,0,D
260589,7,VEN1,2007-09-30,Deportivo Anzoategui,Aragua FC,5,1,4,W
260590,7,VEN1,2007-09-30,Zamora FC,UA Maracaibo,4,0,4,W
260591,7,VEN1,2007-09-30,Deportivo Tachira,Caracas FC,0,1,-1,L
260592,7,VEN1,2007-09-30,Trujillanos FC,Atletico El Vigia,3,2,1,W
260593,7,VEN1,2007-09-30,Guaros de Lara,Estrella Roja,3,1,2,W
260594,7,VEN1,2007-09-30,Carabobo FC,Portuguesa FC,0,1,-1,L
260595,7,VEN1,2007-09-30,Deportivo Italia,Monagas,2,3,-1,L
260596,7,VEN1,2007-10-07,Atletico El Vigia,Deportivo Tachira,1,0,1,W
260597,7,VEN1,2007-10-07,Union Lara,Deportivo Anzoategui,0,3,-3,L
260598,7,VEN1,2007-10-07,Mineros de Guayana,Caracas FC,1,3,-2,L
260599,7,VEN1,2007-10-07,Deportivo Italia,Zamora FC,1,0,1,W
260600,7,VEN1,2007-10-07,Monagas,Carabobo FC,4,0,4,W
260601,7,VEN1,2007-10-07,Portuguesa FC,Guaros de Lara,1,0,1,W
260602,7,VEN1,2007-10-07,Estrella Roja,Trujillanos FC,3,2,1,W
260603,7,VEN1,2007-10-07,Aragua FC,Llaneros de Guanare,3,1,2,W
260604,7,VEN1,2007-10-07,UA Maracaibo,Estudiantes de Merida,4,2,2,W
260605,7,VEN1,2007-10-20,Llaneros de Guanare,Deportivo Tachira,1,1,0,D
260606,7,VEN1,2007-10-21,Union Lara,Monagas,1,3,-2,L
260607,7,VEN1,2007-10-21,Mineros de Guayana,Estrella Roja,6,0,6,W
260608,7,VEN1,2007-10-21,Estudiantes de Merida,Guaros de Lara,2,1,1,W
260609,7,VEN1,2007-10-21,Zamora FC,Carabobo FC,1,2,-1,L
260610,7,VEN1,2007-10-21,Caracas FC,Atletico El Vigia,2,0,2,W
260611,7,VEN1,2007-10-21,Deportivo Anzoategui,Trujillanos FC,4,0,4,W
260612,7,VEN1,2007-10-21,Aragua FC,Portuguesa FC,2,3,-1,L
260613,7,VEN1,2007-10-21,UA Maracaibo,Deportivo Italia,0,0,0,D
260614,7,VEN1,2007-10-27,Deportivo Italia,Union Lara,1,0,1,W
260615,7,VEN1,2007-10-28,Atletico El Vigia,Llaneros de Guanare,0,0,0,D
260616,7,VEN1,2007-10-28,Monagas,Aragua FC,1,0,1,W
260617,7,VEN1,2007-10-28,Portuguesa FC,Mineros de Guayana,0,3,-3,L
260618,7,VEN1,2007-10-28,Deportivo Tachira,Deportivo Anzoategui,0,0,0,D
260619,7,VEN1,2007-10-28,Estrella Roja,Caracas FC,1,1,0,D
260620,7,VEN1,2007-10-28,Trujillanos FC,Estudiantes de Merida,1,0,1,W
260621,7,VEN1,2007-10-28,Guaros de Lara,Zamora FC,0,3,-3,L
260622,7,VEN1,2007-10-31,Portuguesa FC,Deportivo Tachira,2,2,0,D
260623,7,VEN1,2007-11-03,Llaneros de Guanare,Estrella Roja,1,4,-3,L
260624,7,VEN1,2007-11-04,Estudiantes de Merida,Deportivo Tachira,0,1,-1,L
260625,7,VEN1,2007-11-04,Zamora FC,Trujillanos FC,3,0,3,W
260626,7,VEN1,2007-11-04,Union Lara,Carabobo FC,1,1,0,D
260627,7,VEN1,2007-11-04,Mineros de Guayana,Monagas,1,0,1,W
260628,7,VEN1,2007-11-04,Caracas FC,Portuguesa FC,3,1,2,W
260629,7,VEN1,2007-11-04,Aragua FC,Deportivo Italia,1,0,1,W
260630,7,VEN1,2007-11-04,UA Maracaibo,Guaros de Lara,2,1,1,W
260631,7,VEN1,2007-11-04,Deportivo Anzoategui,Atletico El Vigia,1,0,1,W
