,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL
225112,4,ZAF1,2004-08-06,Orlando Pirates,Jomo Cosmos,1,0,1,W
225113,4,ZAF1,2004-08-07,AmaZulu,Kaizer Chiefs,1,4,-3,L
225114,4,ZAF1,2004-08-08,Bloemfontein Celtic,Black Leopards,1,1,0,D
225115,4,ZAF1,2004-08-08,Moroka Swallows,Ajax Cape Town,3,0,3,W
225116,4,ZAF1,2004-08-08,Silver Stars,Bush Bucks,2,1,1,W
225117,4,ZAF1,2004-08-11,Manning Rangers,Golden Arrows,1,0,1,W
225118,4,ZAF1,2004-08-11,SuperSport United,BidVest Wits,0,0,0,D
225119,4,ZAF1,2004-08-25,Golden Arrows,SuperSport United,1,1,0,D
225120,4,ZAF1,2004-08-25,Engen Santos FC,Mamelodi Sundowns,0,2,-2,L
225121,4,ZAF1,2004-08-27,Ajax Cape Town,Bloemfontein Celtic,3,0,3,W
225122,4,ZAF1,2004-08-28,Black Leopards,AmaZulu,0,0,0,D
225123,4,ZAF1,2004-08-28,Kaizer Chiefs,Manning Rangers,3,0,3,W
225124,4,ZAF1,2004-08-28,Bush Bucks,SuperSport United,0,1,-1,L
225125,4,ZAF1,2004-08-29,Jomo Cosmos,Silver Stars,0,0,0,D
225126,4,ZAF1,2004-08-29,Mamelodi Sundowns,Moroka Swallows,1,1,0,D
225127,4,ZAF1,2004-08-29,Golden Arrows,Orlando Pirates,0,0,0,D
225128,4,ZAF1,2004-09-01,SuperSport United,Bloemfontein Celtic,1,1,0,D
225129,4,ZAF1,2004-09-04,Black Leopards,Bush Bucks,2,1,1,W
225130,4,ZAF1,2004-09-07,Silver Stars,AmaZulu,0,2,-2,L
225131,4,ZAF1,2004-09-08,Mamelodi Sundowns,Golden Arrows,0,0,0,D
225132,4,ZAF1,2004-09-08,Manning Rangers,Orlando Pirates,1,1,0,D
225133,4,ZAF1,2004-09-08,Engen Santos FC,Moroka Swallows,1,0,1,W
225134,4,ZAF1,2004-09-11,Black Leopards,Orlando Pirates,2,3,-1,L
225135,4,ZAF1,2004-09-11,Kaizer Chiefs,Silver Stars,2,1,1,W
225136,4,ZAF1,2004-09-11,Bush Bucks,BidVest Wits,2,0,2,W
225137,4,ZAF1,2004-09-12,Bloemfontein Celtic,Mamelodi Sundowns,1,2,-1,L
225138,4,ZAF1,2004-09-12,Moroka Swallows,AmaZulu,1,0,1,W
225139,4,ZAF1,2004-09-12,Ajax Cape Town,Manning Rangers,3,1,2,W
225140,4,ZAF1,2004-09-15,AmaZulu,Bloemfontein Celtic,1,1,0,D
225141,4,ZAF1,2004-09-15,Engen Santos FC,Golden Arrows,2,1,1,W
225142,4,ZAF1,2004-09-22,Bush Bucks,Mamelodi Sundowns,0,3,-3,L
225143,4,ZAF1,2004-09-22,Manning Rangers,Moroka Swallows,1,2,-1,L
225144,4,ZAF1,2004-09-22,Orlando Pirates,Ajax Cape Town,6,0,6,W
